gene_symbol,disease,mechanism_group,expected_mci_pattern
MYH7,HCM,sarcomeric,lower
MYBPC3,HCM,sarcomeric,lower
TNNT2,HCM,sarcomeric,lower
TNNI3,HCM,sarcomeric,lower
TPM1,HCM,sarcomeric,lower
MYL2,HCM,sarcomeric,lower
MYL3,HCM,sarcomeric,lower
ACTC1,HCM,sarcomeric,lower
LMNA,HCM,non_sarcomeric,higher
RBM20,HCM,non_sarcomeric,higher
PLN,HCM,non_sarcomeric,higher
FLNC,HCM,non_sarcomeric,higher
JPH2,HCM,non_sarcomeric,higher
CSRP3,HCM,non_sarcomeric,higher
BAG3,HCM,non_sarcomeric,higher
TTN,DCM,ttn_related,lower
ACTC1,DCM,ttn_related,lower
TNNT2,DCM,ttn_related,lower
RBM20,DCM,rna_processing,higher
LMNA,DCM,rna_processing,higher
SCN5A,DCM,rna_processing,higher
PLN,DCM,rna_processing,higher
