gene_symbol,disease_group,n_plp_variants,max_review_weight,review_status_examples,condition_examples
ABCC9,DCM,9,2,"criteria_provided,_multiple_submitters,_no_conflicts",ABCC9-related_disorder|Hypertrichotic_osteochondrodysplasia_Cantu_type|not_provided|Dilated_cardiomyopathy_1O | ABCC9-related_disorder|Low_anterior_hairline|Abnormal_facial_shape|Epicanthus|Tapered_finger|Macrocephaly|Large_hands|Coarse_facial_features|Micrognathia|Patent_ductus_arteriosus|Joint_hypermobility|Thick_upper_lip_vermilion|Abnormality_of_the_face|Bulbous_nose|Depressed_nasal_bridge|Left_ventricular_hypertrophy|not_provided|Hypertrichotic_osteochondrodysplasia_Cantu_type|Dilated_cardiomyopathy_1O | Cardiomyopathy|Dilated_cardiomyopathy_1O
ACTC1,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Inborn_genetic_diseases|Primary_dilated_cardiomyopathy
BAG3,DCM,43,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6 | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6|not_provided
CCDC30,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided"
CEP85L,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy
DES,DCM,9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|Dilated_cardiomyopathy_1I|not_provided | Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|not_provided | Desmin-related_myofibrillar_myopathy|DES-related_desminopathy|Primary_dilated_cardiomyopathy|Neuromuscular_disease|not_provided"
DMD,DCM,43,2,"criteria_provided,_multiple_submitters,_no_conflicts","Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_provided|Neuromuscular_disease_caused_by_qualitative_or_quantitative_defects_of_dystrophin | Becker_muscular_dystrophy,_Cardiomyopathy,_Duchenne_muscular_dystrophy,_Dystrophin_deficiency|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|Dilated_cardiomyopathy_3B|not_provided"
DSG2,DCM,8,2,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB | Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided | Cardiovascular_phenotype|Arrhythmogenic_right_ventricular_dysplasia_10|Dilated_cardiomyopathy_1BB|not_provided
DSG2-AS1,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1BB|Arrhythmogenic_right_ventricular_dysplasia_10
DSP,DCM,44,2,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiomyopathy,_dilated,_with_wooly_hair,_keratoderma,_and_tooth_agenesis | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy | Arrhythmogenic_cardiomyopathy_with_wooly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Dilated_and_arrhythmogenic_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy"
