feature_id,gene_symbol,mapping_source_column,has_gene_symbol
7896736,,,False
7896738,,,False
7896740,OR4F17,gene_assignment,True
7896742,ENST00000388975,gene_assignment,True
7896744,OR4F16,gene_assignment,True
7896746,,,False
7896748,,,False
7896750,AK172782,gene_assignment,True
7896752,,,False
7896754,AK290103,gene_assignment,True
7896756,BC037297,gene_assignment,True
7896759,AK096570,gene_assignment,True
7896761,SAMD11,gene_assignment,True
7896779,KLHL17,gene_assignment,True
7896798,PLEKHN1,gene_assignment,True
7896817,ISG15,gene_assignment,True
7896822,AGRN,gene_assignment,True
7896859,MIR200B,gene_assignment,True
7896861,MIR200A,gene_assignment,True
7896863,MIR429,gene_assignment,True
7896865,TTLL10,gene_assignment,True
7896878,B3GALT6,gene_assignment,True
7896882,SCNN1D,gene_assignment,True
7896908,PUSL1,gene_assignment,True
7896917,GLTPD1,gene_assignment,True
7896921,TAS1R3,gene_assignment,True
7896929,VWA1,gene_assignment,True
7896937,ATAD3C,gene_assignment,True
7896952,ATAD3A,gene_assignment,True
7896961,ATAD3B,gene_assignment,True
7896983,ENST00000366221,gene_assignment,True
7896985,MIB2,gene_assignment,True
7897006,MMP23B,gene_assignment,True
7897026,CALML6,gene_assignment,True
7897034,GABRD,gene_assignment,True
7897044,PRKCZ,gene_assignment,True
7897066,LOC100128003,gene_assignment,True
7897068,SKI,gene_assignment,True
7897076,,,False
7897078,RER1,gene_assignment,True
7897089,PLCH2,gene_assignment,True
7897119,C1ORF93,gene_assignment,True
7897128,ACTRT2,gene_assignment,True
7897132,PRDM16,gene_assignment,True
7897154,ARHGEF16,gene_assignment,True
7897172,TPRG1L,gene_assignment,True
7897179,TP73,gene_assignment,True
7897196,CCDC27,gene_assignment,True
7897210,DFFB,gene_assignment,True
7897227,AJAP1,gene_assignment,True
7897236,KCNAB2,gene_assignment,True
7897257,RNF207,gene_assignment,True
7897263,RNF207,gene_assignment,True
7897277,BC030279,gene_assignment,True
7897280,HES3,gene_assignment,True
7897286,AY358179,gene_assignment,True
7897288,ESPN,gene_assignment,True
7897295,TAS1R1,gene_assignment,True
7897305,ZBTB48,gene_assignment,True
7897322,PHF13,gene_assignment,True
7897329,THAP3,gene_assignment,True
7897339,CAMTA1,gene_assignment,True
7897368,,,False
7897370,VAMP3,gene_assignment,True
7897378,PER3,gene_assignment,True
7897404,PARK7,gene_assignment,True
7897416,SLC45A1,gene_assignment,True
7897424,,,False
7897426,CA6,gene_assignment,True
7897439,,,False
7897441,H6PD,gene_assignment,True
7897449,SPSB1,gene_assignment,True
7897460,SLC25A33,gene_assignment,True
7897469,TMEM201,gene_assignment,True
7897482,PIK3CD,gene_assignment,True
7897509,NMNAT1,gene_assignment,True
7897520,,,False
7897522,RBP7,gene_assignment,True
7897527,UBE4B,gene_assignment,True
7897559,,,False
7897561,KIF1B,gene_assignment,True
7897620,PGD,gene_assignment,True
7897632,APITD1-CORT,gene_assignment,True
7897648,PEX14,gene_assignment,True
7897663,TARDBP,gene_assignment,True
7897675,ANGPTL7,gene_assignment,True
7897683,,,False
7897685,UBIAD1,gene_assignment,True
7897691,PTCHD2,gene_assignment,True
7897714,FBXO44,gene_assignment,True
7897728,FBXO6,gene_assignment,True
7897737,C1ORF187,gene_assignment,True
7897745,AGTRAP,gene_assignment,True
7897753,ENST00000433342,gene_assignment,True
7897774,CLCN6,gene_assignment,True
7897801,RNU5E,gene_assignment,True
7897803,PLOD1,gene_assignment,True
7897824,MFN2,gene_assignment,True
7897849,MIIP,gene_assignment,True
7897860,TNFRSF8,gene_assignment,True
7897877,TNFRSF1B,gene_assignment,True
7897890,VPS13D,gene_assignment,True
7897953,SNORA59A,gene_assignment,True
7897955,AADACL4,gene_assignment,True
7897960,AADACL3,gene_assignment,True
7897964,,,False
7897966,C1ORF158,gene_assignment,True
7897974,PRAMEF12,gene_assignment,True
7897978,PRAMEF1,gene_assignment,True
7897987,PRAMEF2,gene_assignment,True
7897991,PRAMEF7,gene_assignment,True
7897995,,,False
7897997,PRAMEF3,gene_assignment,True
7898002,PRAMEF22,gene_assignment,True
7898007,PRAMEF5,gene_assignment,True
7898012,PRAMEF15,gene_assignment,True
7898020,PRAMEF10,gene_assignment,True
7898026,PRAMEF16,gene_assignment,True
7898030,PRAMEF20,gene_assignment,True
7898034,PRAMEF10,gene_assignment,True
7898040,PRAMEF15,gene_assignment,True
7898048,PRAMEF17,gene_assignment,True
7898052,PRAMEF20,gene_assignment,True
7898057,PDPN,gene_assignment,True
7898070,PRDM2,gene_assignment,True
7898084,KAZ,gene_assignment,True
7898102,KAZ,gene_assignment,True
7898112,,,False
7898115,TMEM51,gene_assignment,True
7898124,FHAD1,gene_assignment,True
7898161,EFHD2,gene_assignment,True
7898167,CTRC,gene_assignment,True
7898176,CELA2A,gene_assignment,True
7898184,CELA2B,gene_assignment,True
7898192,DNAJC16,gene_assignment,True
7898209,,,False
7898211,DDI2,gene_assignment,True
7898227,PLEKHM2,gene_assignment,True
7898249,SLC25A34,gene_assignment,True
7898256,TMEM82,gene_assignment,True
7898263,FBLIM1,gene_assignment,True
7898276,,,False
7898278,SPEN,gene_assignment,True
7898294,,,False
7898296,ENST00000329454,gene_assignment,True
7898300,CLCNKA,gene_assignment,True
7898314,CLCNKB,gene_assignment,True
7898328,C1ORF144,gene_assignment,True
7898337,NECAP2,gene_assignment,True
7898350,BC126340,gene_assignment,True
7898353,LOC388692,gene_assignment,True
7898357,MST1P2,gene_assignment,True
7898371,ENST00000369173,gene_assignment,True
7898375,RNU1-1,gene_assignment,True
7898377,CROCC,gene_assignment,True
7898407,BC036435,gene_assignment,True
7898411,RNU1-1,gene_assignment,True
7898413,PADI1,gene_assignment,True
7898431,PADI3,gene_assignment,True
7898448,PADI4,gene_assignment,True
7898466,PADI6,gene_assignment,True
7898483,ARHGEF10L,gene_assignment,True
7898516,ACTL8,gene_assignment,True
7898521,IGSF21,gene_assignment,True
7898533,KLHDC7A,gene_assignment,True
7898535,,,False
7898537,PAX7,gene_assignment,True
7898549,MRTO4,gene_assignment,True
7898556,PQLC2,gene_assignment,True
7898568,AK096102,gene_assignment,True
7898572,,,False
7898574,C1ORF151,gene_assignment,True
7898582,BC072682,gene_assignment,True
7898585,NBL1,gene_assignment,True
7898594,HTR6,gene_assignment,True
7898602,OTUD3,gene_assignment,True
7898607,,,False
7898609,PLA2G5,gene_assignment,True
7898616,PLA2G2F,gene_assignment,True
7898623,UBXN10,gene_assignment,True
7898627,VWA5B1,gene_assignment,True
7898653,FAM43B,gene_assignment,True
7898655,CDA,gene_assignment,True
7898663,PINK1,gene_assignment,True
7898673,,,False
7898677,HS6ST1,gene_assignment,True
7898679,NBPF3,gene_assignment,True
7898693,ALPL,gene_assignment,True
7898707,LDLRAD2,gene_assignment,True
7898713,CELA3B,gene_assignment,True
7898721,,,False
7898723,,,False
7898725,CELA3A,gene_assignment,True
7898732,,,False
7898734,,,False
7898736,HSPC157,gene_assignment,True
7898739,CDC42,gene_assignment,True
7898750,ZBTB40,gene_assignment,True
7898773,EPHA8,gene_assignment,True
7898793,C1QA,gene_assignment,True
7898799,C1QC,gene_assignment,True
7898805,C1QB,gene_assignment,True
7898809,EPHB2,gene_assignment,True
