dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM,mean_Control,n_DCM,n_Control,abs_log2FC,direction
GSE141910,DCM_vs_Control,SMOC2,1.8300767892434333,0.0612094603860994,29.898593741875914,6.099627040676459e-96,1.1292239540404328e-91,14.12859096792708,12.298514178683643,166,166,1.8300767892434333,up_in_DCM
GSE141910,DCM_vs_Control,FNDC1,2.9815566844154313,0.10683901393554297,27.90700301871219,7.455581268868917e-89,6.901258801528513e-85,11.392563069986778,8.411006385571344,166,166,2.9815566844154313,up_in_DCM
GSE141910,DCM_vs_Control,FRZB,2.1406472412994217,0.08129569834754848,26.33161759860784,4.234392647401401e-83,2.6130437027114046e-79,12.316042024505894,10.175394783206471,166,166,2.1406472412994217,up_in_DCM
GSE141910,DCM_vs_Control,IL1RL1,-4.131266954131543,0.15732914273132423,-26.258752081212528,7.870657184909378e-83,3.6427369116056826e-79,8.915729179545036,13.046996133676576,166,166,4.131266954131543,down_in_DCM
GSE141910,DCM_vs_Control,FHAD1-AS1,3.561098565379233,0.1374591663086341,25.90659219759543,1.5881230869701046e-81,5.88018454181551e-78,8.434049866968582,4.872951301589351,166,166,3.561098565379233,up_in_DCM
GSE141910,DCM_vs_Control,SEZ6L,3.515280837597589,0.13952848868247017,25.19400067177274,7.242026877021908e-79,2.2345273929051097e-75,9.33600536930559,5.820724531707997,166,166,3.515280837597589,up_in_DCM
GSE141910,DCM_vs_Control,FREM1,1.82094497950529,0.07237523072978196,25.159781338783112,9.73107619009412e-79,2.5735916215316064e-75,11.70251079721299,9.881565817707703,166,166,1.82094497950529,up_in_DCM
GSE141910,DCM_vs_Control,SFRP4,3.442255088436539,0.1370396527905244,25.1186792898424,1.3878442464790532e-78,3.211645066883339e-75,12.524520475080793,9.082265386644247,166,166,3.442255088436539,up_in_DCM
GSE141910,DCM_vs_Control,CD163,-2.4722352681789412,0.10104129720241548,-24.46757253349911,3.93776222656352e-76,8.099976900041161e-73,13.212532311283763,15.684767579462697,166,166,2.4722352681789412,down_in_DCM
GSE141910,DCM_vs_Control,MARK3,-0.8822732407403056,0.03794040937349607,-23.25418347638159,1.6474113906349415e-71,3.0498527074824675e-68,14.118688601080127,15.000961841820436,166,166,0.8822732407403056,down_in_DCM
GSE141910,DCM_vs_Control,PPP3CC,-0.6447133772703513,0.028188886609642805,-22.871189848619593,4.878429484371765e-70,8.21039682219768e-67,13.087835795843203,13.73254917311355,166,166,0.6447133772703513,down_in_DCM
GSE141910,DCM_vs_Control,ST6GALNAC3,-1.4133396842469046,0.0618410142261458,-22.85440660915548,5.661008862587035e-70,8.733521422756148e-67,10.426244291209121,11.83958397545602,166,166,1.4133396842469046,down_in_DCM
GSE141910,DCM_vs_Control,SCUBE2,2.1503401810601144,0.09414908730157749,22.839734751460355,6.447449469232305e-70,9.181664001838283e-67,10.96610814787524,8.815767966815127,166,166,2.1503401810601144,up_in_DCM
GSE141910,DCM_vs_Control,MFAP4,1.6507289607521716,0.07267500778504887,22.713846356020195,1.9699807619600922e-69,2.605018131869085e-66,14.787603929096656,13.136874968344479,166,166,1.6507289607521716,up_in_DCM
GSE141910,DCM_vs_Control,COL22A1,3.4334983820690512,0.1521470485396898,22.566973300000445,7.263631435711017e-69,8.964773917954537e-66,8.760501990171125,5.327003608102077,166,166,3.4334983820690512,up_in_DCM
GSE141910,DCM_vs_Control,SSC5D,2.0403339943409065,0.09151499456806468,22.29507857123238,8.172072723989343e-68,9.45559889620092e-65,11.175061890696375,9.134727896355471,166,166,2.0403339943409065,up_in_DCM
GSE141910,DCM_vs_Control,MYH6,-2.7561169135560135,0.12424529584944631,-22.18286732477764,2.2229593387808134e-67,2.420802719932306e-64,15.771071455421119,18.527188368977118,166,166,2.7561169135560135,down_in_DCM
GSE141910,DCM_vs_Control,ITIH5,1.439610746161736,0.06512627586984854,22.10491429048888,4.4576719946110213e-67,4.584715646457436e-64,13.664596052348863,12.224985306187126,166,166,1.439610746161736,up_in_DCM
GSE141910,DCM_vs_Control,VSIG4,-1.9506415243773185,0.08907790896292365,-21.89815125980586,2.8288955404606075e-66,2.756386481081433e-63,12.209757642167729,14.160399166545055,166,166,1.9506415243773185,down_in_DCM
GSE141910,DCM_vs_Control,RNASE2,-3.1557009253135813,0.1455926483376105,-21.674864502745493,2.088649883775294e-65,1.9333587649166011e-62,5.567255719091537,8.722956644405118,166,166,3.1557009253135813,down_in_DCM
GSE141910,DCM_vs_Control,LEFTY2,2.8074391513540307,0.12969201075250628,21.646970658134986,2.6819126348953062e-65,2.364297552848419e-62,9.155464371709545,6.3480252203555105,166,166,2.8074391513540307,up_in_DCM
GSE141910,DCM_vs_Control,MATN2,1.3754335673759774,0.06366728629196271,21.603458345445624,3.961588189293018e-65,3.3336764612900747e-62,13.887136156180365,12.511702588804393,166,166,1.3754335673759774,up_in_DCM
GSE141910,DCM_vs_Control,BLM,-1.942638256850021,0.0901802216802777,-21.541732994817792,6.891492442823872e-65,5.547052156260798e-62,9.877757389434276,11.820395646284291,166,166,1.942638256850021,down_in_DCM
GSE141910,DCM_vs_Control,LUM,1.9447419704426814,0.09031722880187444,21.53234766213642,7.496926328064539e-65,5.782941546310784e-62,16.396649612548543,14.451907642105875,166,166,1.9447419704426814,up_in_DCM
GSE141910,DCM_vs_Control,CYS1,1.7035386097929979,0.07968847756660838,21.377477168754776,3.0111311507599946e-64,2.2298028397607912e-61,10.4927520475947,8.789213437801694,166,166,1.7035386097929979,up_in_DCM
GSE141910,DCM_vs_Control,TLL2,1.6803646278103086,0.07907579460530043,21.25005048887203,9.464908132486687e-64,6.49332429776819e-61,12.28412045381753,10.603755826007216,166,166,1.6803646278103086,up_in_DCM
GSE141910,DCM_vs_Control,C1QTNF7,1.7178656640231367,0.08085571460550985,21.246063712435166,9.810379897897264e-64,6.49332429776819e-61,10.877171040582883,9.15930537655975,166,166,1.7178656640231367,up_in_DCM
GSE141910,DCM_vs_Control,TUBA3E,-2.852473331639817,0.13425965723791383,-21.245945284852866,9.820832946443544e-64,6.49332429776819e-61,10.794359651515046,13.646832983154864,166,166,2.852473331639817,down_in_DCM
GSE141910,DCM_vs_Control,CCDC144NL-AS1,2.3924614751709994,0.11305177829603626,21.16252845582069,2.0797918937351647e-63,1.3276961147834172e-60,9.644644253360521,7.252182778189523,166,166,2.3924614751709994,up_in_DCM
GSE141910,DCM_vs_Control,BCL6,-0.9791032570053266,0.046710570691320945,-20.961063898695823,1.2760520716621865e-62,7.874517334227353e-60,13.30041845991956,14.279521716924888,166,166,0.9791032570053266,down_in_DCM
GSE141910,DCM_vs_Control,PENK,3.3061056836479086,0.15819905761074535,20.89839050610974,2.244856791343217e-62,1.3406139928431284e-59,10.687254160505566,7.381148476857655,166,166,3.3061056836479086,up_in_DCM
GSE141910,DCM_vs_Control,EXT1,0.8196243102893979,0.03929770951599263,20.856795991019347,3.266322585201653e-62,1.8896696881199439e-59,12.977054033107006,12.15742972281761,166,166,0.8196243102893979,up_in_DCM
GSE141910,DCM_vs_Control,TUBA3D,-2.8212488045609554,0.13617082527952845,-20.718452713858188,1.1378741227608695e-61,6.383473828688478e-59,11.33226938290494,14.153518187465888,166,166,2.8212488045609554,down_in_DCM
GSE141910,DCM_vs_Control,FCN3,-2.4303497230748445,0.11804313689266753,-20.588657562401753,3.673526918049427e-61,2.000235406877913e-58,10.5263033498057,12.956653072880544,166,166,2.4303497230748445,down_in_DCM
GSE141910,DCM_vs_Control,GALNT15,-2.131049886314833,0.10395098844571068,-20.500525470498943,8.145707177772396e-61,4.3086136280600106e-58,10.980388324631878,13.11143821094671,166,166,2.131049886314833,down_in_DCM
GSE141910,DCM_vs_Control,S1PR3,-1.322491037752946,0.0646264350421089,-20.463623544935526,1.1370874046293504e-60,5.8474719783064346e-58,12.120693495975535,13.443184533728486,166,166,1.322491037752946,down_in_DCM
GSE141910,DCM_vs_Control,APCDD1L,3.052113561479273,0.14924105645422373,20.45089758806042,1.2757316679454728e-60,6.383140640182308e-58,8.14511964807311,5.0930060865938325,166,166,3.052113561479273,up_in_DCM
