gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,dataset,contrast,log2FC,SE,t_stat,p_value,FDR,mean_DCM,mean_Control,n_DCM,n_Control,abs_log2FC,direction,matched_in_DE
ACTC1,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Inborn_genetic_diseases|Primary_dilated_cardiomyopathy,,,,GSE141910,DCM_vs_Control,0.07802093353078465,0.049423106155587634,1.5786327408311593,0.11537836436970585,0.15498473803340332,19.589212147625904,19.511191214095124,166.0,166.0,0.07802093353078465,up_in_DCM,True
LMNA,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,82,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2B1|Dilated_cardiomyopathy_1A|Emery-Dreifuss_muscular_dystrophy_2,_autosomal_dominant|Congenital_muscular_dystrophy_due_to_LMNA_mutation|Emery-Dreifuss_muscular_dystrophy_3,_autosomal_recessive|Familial_partial_lipodystrophy,_Dunnigan_type|Hutchinson-Gilford_syndrome|Mandibuloacral_dysplasia_with_type_A_lipodystrophy|LMNA-related_disorder|Charcot-Marie-Tooth_disease_type_2|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|Cardiomyopathy|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1",,,,GSE141910,DCM_vs_Control,0.06117255187491466,0.09983074355424251,0.6127626590467783,0.5404553211847642,0.5986626794168337,14.581038914734453,14.51986636285954,166.0,166.0,0.06117255187491466,up_in_DCM,True
PLN,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,,GSE141910,DCM_vs_Control,-0.23112318654222097,0.06283227281615253,-3.6784151867064923,0.00027393700302474357,0.0006190668624264011,18.271022376937196,18.502145563479427,166.0,166.0,0.23112318654222097,down_in_DCM,True
RBM20,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|not_provided|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD|Left_ventricular_noncompaction_cardiomyopathy | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1DD,,,,GSE141910,DCM_vs_Control,0.06435863088696969,0.06427386632179473,1.0013188029602977,0.31740635929107286,0.3785931273471833,15.441991933275363,15.37763330238839,166.0,166.0,0.06435863088696969,up_in_DCM,True
SCN5A,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,28,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Atrial_fibrillation,_familial,_10|Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Long_QT_syndrome_3|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Progressive_familial_heart_block,_type_1A|Sick_sinus_syndrome_1|Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Brugada_syndrome|SCN5A-related_disorder|Cardiac_arrhythmia | Brugada_syndrome_1|Progressive_familial_heart_block,_type_1A|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Atrial_fibrillation,_familial,_10|Dilated_cardiomyopathy_1E|Long_QT_syndrome_3|Sick_sinus_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|not_provided | Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Cardiovascular_phenotype|Sick_sinus_syndrome_1|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Atrial_fibrillation,_familial,_10|Long_QT_syndrome_3|Progressive_familial_heart_block,_type_1A|Cardiac_arrhythmia|not_provided|Brugada_syndrome",,,,GSE141910,DCM_vs_Control,-0.39477133607189163,0.06513967421191887,-6.060382414372879,3.7064402543035225e-09,1.653429600672798e-08,15.113245786925903,15.508017122997797,166.0,166.0,0.39477133607189163,down_in_DCM,True
TNNT2,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3 | not_provided|Primary_dilated_cardiomyopathy",,,,GSE141910,DCM_vs_Control,-0.07587468237068062,0.05378825218192165,-1.410618105121889,0.15929918791953263,0.20641883292183855,19.473399563356935,19.549274245727613,166.0,166.0,0.07587468237068062,down_in_DCM,True
TTN,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1111,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Cardiovascular_phenotype|Hereditary_inclusion-body_myopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Primary_familial_dilated_cardiomyopathy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Restrictive_cardiomyopathy|Autosomal_recessive_titinopathy|Primary_dilated_cardiomyopathy|Myocarditis|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy",,,,GSE141910,DCM_vs_Control,-0.5342814051051121,0.0985930422492117,-5.41905790628328,1.1580512957922223e-07,4.285229590046254e-07,19.627981871716674,20.162263276821793,166.0,166.0,0.5342814051051121,down_in_DCM,True
ABCC9,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",ABCC9-related_disorder|Hypertrichotic_osteochondrodysplasia_Cantu_type|not_provided|Dilated_cardiomyopathy_1O | ABCC9-related_disorder|Low_anterior_hairline|Abnormal_facial_shape|Epicanthus|Tapered_finger|Macrocephaly|Large_hands|Coarse_facial_features|Micrognathia|Patent_ductus_arteriosus|Joint_hypermobility|Thick_upper_lip_vermilion|Abnormality_of_the_face|Bulbous_nose|Depressed_nasal_bridge|Left_ventricular_hypertrophy|not_provided|Hypertrichotic_osteochondrodysplasia_Cantu_type|Dilated_cardiomyopathy_1O | Cardiomyopathy|Dilated_cardiomyopathy_1O,,,,GSE141910,DCM_vs_Control,-0.32157037043706627,0.07378682878398653,-4.358099890408281,1.7545409580074892e-05,4.805002478637966e-05,14.121447121727325,14.443017492164381,166.0,166.0,0.32157037043706627,down_in_DCM,True
ACTN2,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",,,,GSE141910,DCM_vs_Control,0.17998093027083684,0.04509149885830204,3.9914603601095324,8.096340676681766e-05,0.00019934506576327907,18.84496491176963,18.664983981498814,166.0,166.0,0.17998093027083684,up_in_DCM,True
BAG3,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6 | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6|not_provided,,,,GSE141910,DCM_vs_Control,-0.03099324192716324,0.05002980817318033,-0.6194955179495951,0.5360174425561892,0.5947773147178703,14.652647300014154,14.68364054194133,166.0,166.0,0.03099324192716324,down_in_DCM,True
