dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_HCM,mean_Control,n_HCM,n_Control,abs_log2FC,direction
GSE141910,HCM_vs_Control,CD163,-2.7628129224436853,0.144892020064378,-19.068082018706896,3.556171432159485e-46,6.583540172356854e-42,12.921954657019013,15.684767579462697,28,166,2.7628129224436853,down_in_HCM
GSE141910,HCM_vs_Control,FKBP5,-2.6272352523870923,0.15649730939862888,-16.78773432260753,1.6156854153558776e-39,1.495559204724168e-35,13.816668828876578,16.443904081263664,28,166,2.6272352523870923,down_in_HCM
GSE141910,HCM_vs_Control,SLCO4A1,-2.7292872297214164,0.16876691110356715,-16.17193330063697,1.0971000185176713e-37,6.770204214272549e-34,9.862486046636862,12.59177327635828,28,166,2.7292872297214164,down_in_HCM
GSE141910,HCM_vs_Control,CPM,-2.117972473489298,0.13164446520993328,-16.088579721994158,1.945877021809614e-37,9.006005326190346e-34,10.565299799928967,12.683272273418268,28,166,2.117972473489298,down_in_HCM
GSE141910,HCM_vs_Control,CYP4B1,-3.7449908697891585,0.2375934435450816,-15.762181034589762,1.8430165361974095e-36,6.823953026924529e-33,9.953246410269946,13.698237280059105,28,166,3.7449908697891585,down_in_HCM
GSE141910,HCM_vs_Control,GALNT15,-2.868252396966632,0.18232614823550414,-15.731437452744371,2.2784788450751806e-36,7.03024647647947e-33,10.243185813980075,13.11143821094671,28,166,2.868252396966632,down_in_HCM
GSE141910,HCM_vs_Control,TUBA3E,-3.6660422939514206,0.2340829888607725,-15.661293081539997,3.69747881680641e-36,9.778775047933866e-33,9.98079068920344,13.646832983154864,28,166,3.6660422939514206,down_in_HCM
GSE141910,HCM_vs_Control,SMOC2,1.7211175079389487,0.11022588660541506,15.614458281475919,5.109321512565327e-36,1.1823608645265236e-32,14.019631686622585,12.298514178683643,28,166,1.7211175079389487,up_in_HCM
GSE141910,HCM_vs_Control,SEZ6L,3.8510657179370362,0.25041494636186606,15.37873746709988,2.6066314231899533e-35,5.361840837501735e-32,9.671790249645033,5.820724531707997,28,166,3.8510657179370362,up_in_HCM
GSE141910,HCM_vs_Control,TUBA3D,-3.47852729034941,0.22651322147253475,-15.356839957226027,3.0331054970003296e-35,5.61518820659671e-32,10.674990897116485,14.153518187465888,28,166,3.47852729034941,down_in_HCM
GSE141910,HCM_vs_Control,BLM,-2.461399723223228,0.1634220326618256,-15.061614906704047,2.344686967555701e-34,3.946108166396245e-31,9.358995923061068,11.820395646284291,28,166,2.461399723223228,down_in_HCM
GSE141910,HCM_vs_Control,FRZB,2.3664683281550745,0.15851839736107193,14.928666751309326,5.896642210866889e-34,9.097044770814892e-31,12.541863111361549,10.175394783206471,28,166,2.3664683281550745,up_in_HCM
GSE141910,HCM_vs_Control,TUBA3C,-3.4942471563972406,0.23456542925590315,-14.896684338701643,7.36207709495853e-34,1.0484164096843636e-30,3.7019670214939113,7.19621417789115,28,166,3.4942471563972406,down_in_HCM
GSE141910,HCM_vs_Control,IL1RL1,-4.307855379527337,0.29171055942274016,-14.76756750956174,1.8043767387990175e-33,2.386030468956158e-30,8.739140754149238,13.046996133676576,28,166,4.307855379527337,down_in_HCM
GSE141910,HCM_vs_Control,NPTX2,-3.0310230726932916,0.2073516158587098,-14.617793356183165,5.107984184683881e-33,6.3042740807368455e-30,8.308890862465478,11.33991393515877,28,166,3.0310230726932916,down_in_HCM
