"feature_id","ensembl_gene_id","gene_symbol","cohort","disease","comparison","model","n_hcm","n_control","n_samples_model","mean_expression_hcm","mean_expression_control","log2FC","SE","moderated_t","p_value","FDR","B_statistic","average_expression","abs_log2FC"
"ENSG00000177575","ENSG00000177575","CD163","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.2454929900745,11.3981859469688,-2.77704548110996,0.147140391965548,-18.8734408275885,1.10426727187626e-45,2.29477781768607e-41,92.8766467140878,15.2860110751925,2.77704548110996
"ENSG00000096060","ENSG00000096060","FKBP5","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.01551009858041,6.28440738647091,-2.6096550249011,0.159443242252836,-16.3672977796253,2.56227206321547e-38,2.03151613955195e-34,76.2663513804777,16.0647154881356,2.6096550249011
"ENSG00000135678","ENSG00000135678","CPM","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.3444999644162,13.2560923797699,-2.16471165493184,0.132417260455877,-16.3476547353368,2.93275030973286e-38,2.03151613955195e-34,76.133896116248,12.3775855246672,2.16471165493184
"ENSG00000101187","ENSG00000101187","SLCO4A1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.3814406391719,11.4981656210782,-2.74859564287579,0.169712481484525,-16.1956010473303,8.34973446735364e-38,4.3378957991519e-34,75.1075916994678,12.1978555318624,2.74859564287579
"ENSG00000106236","ENSG00000106236","NPTX2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.15245111936574,9.51612411016603,-3.08558159878911,0.191041142001972,-16.1513984184478,1.1321333161763e-37,4.70537248869193e-34,74.8089185400725,10.9024466875536,3.08558159878911
"ENSG00000265542","ENSG00000265542","ENSG00000265542","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.1416546626759,11.3612026195974,-2.60338257201779,0.163462627564445,-15.9264696206563,5.34074700491336e-37,1.84976772515174e-33,73.2869364124557,8.71323991325137,2.60338257201779
"ENSG00000100095","ENSG00000100095","SEZ6L","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,14.8732151219325,14.3031689380478,3.93523332213697,0.252595011193725,15.5792202844374,5.89295617635284e-36,1.74945031858269e-32,70.9306415134014,6.37654844976077,3.93523332213697
"ENSG00000142973","ENSG00000142973","CYP4B1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.3774876852392,13.6357715688451,-3.7299904310807,0.239947365938275,-15.5450359560947,7.46696710002058e-36,1.9396380413191e-32,70.6982758337784,13.157723133904,3.7299904310807
"ENSG00000112562","ENSG00000112562","SMOC2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.9699271116256,13.0307377747332,1.73765620571402,0.112655836017487,15.424466828725,1.72177548257353e-35,3.68217946075042e-32,69.8781743010929,12.5469228911697,1.73765620571402
"ENSG00000152086","ENSG00000152086","TUBA3E","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.6043806452312,11.5768344262274,-3.644829412894,0.236365238051814,-15.4203276375818,1.77189714679294e-35,3.68217946075042e-32,69.8500052308322,13.1177134768114,3.644829412894
"ENSG00000131386","ENSG00000131386","GALNT15","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.91205948455559,9.91161606909235,-2.86071610322865,0.185814141006918,-15.3955780099758,2.10358861125429e-35,3.97406135731595e-32,69.6815530009404,12.6974636381886,2.86071610322865
"ENSG00000197299","ENSG00000197299","BLM","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.4464214002705,12.894209579465,-2.43082423370404,0.159926870256977,-15.1995986027744,8.19446900911196e-35,1.41907717065296e-31,68.3465111512948,11.465142077984,2.43082423370404
"ENSG00000075886","ENSG00000075886","TUBA3D","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.5373100858104,12.3841117161318,-3.45145775155205,0.22933323532409,-15.0499675577965,2.31700053597507e-34,3.70381447216138e-31,67.3259033651792,13.6514627022608,3.45145775155205
"ENSG00000115602","ENSG00000115602","IL1RL1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.0528971011358,13.6934052026102,-4.36907474008502,0.295530089558715,-14.7838575307473,1.47463821975858e-33,2.18888977462879e-30,65.5083447782965,12.4252438108582,4.36907474008502
"ENSG00000162998","ENSG00000162998","FRZB","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.4425878324385,11.6776071612116,2.37856814024581,0.161751332219531,14.7050914982115,2.55152430078194e-33,3.5348817663033e-30,64.9698228373502,10.5169469130433,2.37856814024581
"ENSG00000198033","ENSG00000198033","TUBA3C","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,4.19404486155236,6.13259704315072,-3.49262722838574,0.23896190357503,-14.6158328006837,4.75046134090727e-33,6.16995857033712e-30,64.3592956090394,6.69188984604,3.49262722838574
"ENSG00000155659","ENSG00000155659","VSIG4","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.7331825663258,12.9018414319003,-2.21763207942002,0.156087084152742,-14.2076590863208,8.17070069454417e-32,9.98796065490131e-29,61.5643861024546,13.8439564542838,2.21763207942002
"ENSG00000157152","ENSG00000157152","SYN2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.5745864252915,12.7674280666624,-3.06130399431688,0.221414018137337,-13.8261525628339,1.16982842498349e-30,1.30500754445781e-27,58.9490525370191,10.0132062576978,3.06130399431688
"ENSG00000169436","ENSG00000169436","COL22A1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.9212081715063,10.7989539892448,3.6286154254956,0.262499525204108,13.8233218619125,1.19316410878679e-30,1.30500754445781e-27,58.9296413140282,5.83842895004164,3.6286154254956
"ENSG00000115290","ENSG00000115290","GRB14","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.9494300099916,11.8962218476335,-1.4726435824484,0.107221961210422,-13.7345331667489,2.21699226510773e-30,2.30356581306019e-27,58.3207609421433,12.0068637226779,1.4726435824484
"ENSG00000175356","ENSG00000175356","SCUBE2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,14.1895294616692,14.1571547601284,2.38689304019259,0.174218381694166,13.7005809431906,2.8096539248376e-30,2.78035324819286e-27,58.0879212008025,9.15262543217306,2.38689304019259
"ENSG00000136867","ENSG00000136867","SLC31A2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.90947362584151,9.00714909677452,-1.22375403193383,0.0902468276366123,-13.5600781100184,7.48887776913414e-30,7.07392586001712e-27,57.124366270325,12.0247004368967,1.22375403193383
"ENSG00000179593","ENSG00000179593","ALOX15B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,6.35755029208551,5.58071236500224,-4.26426067042668,0.317731298062439,-13.4209651250305,1.97656907316867e-29,1.7752293379319e-26,56.1704120191397,7.918074595701,4.26426067042668
"ENSG00000134709","ENSG00000134709","HOOK1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.4029143073353,10.2560351628323,-1.97757079767209,0.147439793140903,-13.4127344833033,2.09337528711208e-29,1.7752293379319e-26,56.1139755964007,10.2532774221069,1.97757079767209
"ENSG00000182107","ENSG00000182107","CDC50B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.6236771926011,13.6605543263108,2.20769441527638,0.16463206394266,13.4098690279756,2.13563993303006e-29,1.7752293379319e-26,56.0943276956036,7.9059138768637,2.20769441527638
"ENSG00000133800","ENSG00000133800","LYVE1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.7466187470333,11.9359410034933,-2.0584590388221,0.155877896661718,-13.2055864423762,8.87699797328049e-29,7.09511134164392e-26,54.6938575467497,14.2147281355566,2.0584590388221
"ENSG00000164694","ENSG00000164694","FNDC1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.3248032950965,11.8651279689288,2.81370219604013,0.21378170372043,13.1615669024684,1.20656350863102e-28,9.28651713809672e-26,54.392164626824,8.80324191581104,2.81370219604013
"ENSG00000137393","ENSG00000137393","RNF144B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.6759412616293,13.9154535500585,-1.20826250555047,0.0918917993955744,-13.1487522662296,1.31931154444248e-28,9.79164757323545e-26,54.3043450659025,12.6235503785698,1.20826250555047
"ENSG00000106483","ENSG00000106483","SFRP4","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.8663497202953,11.2326020532753,3.57390089537114,0.275945746605573,12.9514621599859,5.21707691681727e-28,3.73848535890964e-25,52.9527760540141,9.59063213021514,3.57390089537114
"ENSG00000180730","ENSG00000180730","SHISA2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.28933315569521,9.19612963887979,2.65566167891899,0.205194269131372,12.9421824993501,5.56543842802339e-28,3.8551791990918e-25,52.8892290870413,5.56824383949219,2.65566167891899
