"gene_symbol_target","disease_group","stratum","sources","is_prespecified_h4_gene","present_in_strict_clinvar_filter","n_plp_variants","max_review_weight","review_status_examples","condition_examples","matched_in_expression_matrix","expression_gene_id","expression_symbol_match_type","gene_symbol_upper","feature_id","ensembl_gene_id","gene_symbol_de","cohort","disease","comparison","model","n_hcm","n_control","n_samples_model","mean_expression_hcm","mean_expression_control","log2FC","SE","moderated_t","p_value","FDR","B_statistic","average_expression","abs_log2FC","gene_symbol"
"ACTC1","DCM","DCM_TTN_related","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",5,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Inborn_genetic_diseases|Primary_dilated_cardiomyopathy",NA,NA,NA,"ACTC1","ENSG00000159251","ENSG00000159251","ACTC1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.3164993871555,10.2664669566819,-0.00595379927732986,0.0876636838033715,-0.0679163710560481,0.945922598801674,0.966764251497447,-6.96168352422992,19.5049109681624,0.00595379927732986,"ACTC1"
"LMNA","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",82,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2B1|Dilated_cardiomyopathy_1A|Emery-Dreifuss_muscular_dystrophy_2,_autosomal_dominant|Congenital_muscular_dystrophy_due_to_LMNA_mutation|Emery-Dreifuss_muscular_dystrophy_3,_autosomal_recessive|Familial_partial_lipodystrophy,_Dunnigan_type|Hutchinson-Gilford_syndrome|Mandibuloacral_dysplasia_with_type_A_lipodystrophy|LMNA-related_disorder|Charcot-Marie-Tooth_disease_type_2|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|Cardiomyopathy|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1",NA,NA,NA,"LMNA","ENSG00000160789","ENSG00000160789","LMNA","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.3710232706388,10.4261447869304,0.17941624061699,0.181203398908905,0.990137280521907,0.323348201550807,0.476796918784313,-6.47681691718125,14.5502050688824,0.17941624061699,"LMNA"
"PLN","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy",NA,NA,NA,"PLN","ENSG00000198523","ENSG00000198523","PLN","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.273022560586,11.6707314748619,-0.089782387783773,0.108813986563812,-0.825099701049202,0.410334844298057,0.562441026275175,-6.62542047519178,18.4845523878127,0.089782387783773,"PLN"
"RBM20","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|not_provided|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD|Left_ventricular_noncompaction_cardiomyopathy | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1DD",NA,NA,NA,"RBM20","ENSG00000203867","ENSG00000203867","RBM20","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.3918813399684,10.2349553516606,0.205913519089472,0.111468700626999,1.84727657119203,0.0662396021872089,0.146798034878147,-5.27893869734454,15.3994162943952,0.205913519089472,"RBM20"
"SCN5A","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",28,2,"criteria_provided,_multiple_submitters,_no_conflicts","Atrial_fibrillation,_familial,_10|Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Long_QT_syndrome_3|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Progressive_familial_heart_block,_type_1A|Sick_sinus_syndrome_1|Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Brugada_syndrome|SCN5A-related_disorder|Cardiac_arrhythmia | Brugada_syndrome_1|Progressive_familial_heart_block,_type_1A|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Atrial_fibrillation,_familial,_10|Dilated_cardiomyopathy_1E|Long_QT_syndrome_3|Sick_sinus_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|not_provided | Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Cardiovascular_phenotype|Sick_sinus_syndrome_1|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Atrial_fibrillation,_familial,_10|Long_QT_syndrome_3|Progressive_familial_heart_block,_type_1A|Cardiac_arrhythmia|not_provided|Brugada_syndrome",NA,NA,NA,"SCN5A","ENSG00000183873","ENSG00000183873","SCN5A","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,15.0519185453133,15.1745050650062,-0.37886415235594,0.11559134117691,-3.2776170645524,0.00124175859939881,0.0056934347278416,-1.75708792343409,15.4496474218958,0.37886415235594,"SCN5A"
"TNNT2","DCM","DCM_TTN_related","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",27,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3 | not_provided|Primary_dilated_cardiomyopathy",NA,NA,NA,"TNNT2","ENSG00000118194","ENSG00000118194","TNNT2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.5937917514289,11.4934264828125,-0.092042502622809,0.0816445072384269,-1.12735694948855,0.260992867663011,0.409582599524621,-6.33290909679779,19.535896099215,0.092042502622809,"TNNT2"
"TTN","DCM","DCM_TTN_related","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",1111,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Cardiovascular_phenotype|Hereditary_inclusion-body_myopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Primary_familial_dilated_cardiomyopathy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Restrictive_cardiomyopathy|Autosomal_recessive_titinopathy|Primary_dilated_cardiomyopathy|Myocarditis|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy",NA,NA,NA,"TTN","ENSG00000155657","ENSG00000155657","TTN","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.39087119241232,8.03327839944579,-0.351367147348918,0.182154269653789,-1.9289536721634,0.0552052204278648,0.126918872188456,-5.12809639073709,20.1088557871504,0.351367147348918,"TTN"
"ABCC9","DCM","","ClinVar_PLP_review2plus","False","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","ABCC9-related_disorder|Hypertrichotic_osteochondrodysplasia_Cantu_type|not_provided|Dilated_cardiomyopathy_1O | ABCC9-related_disorder|Low_anterior_hairline|Abnormal_facial_shape|Epicanthus|Tapered_finger|Macrocephaly|Large_hands|Coarse_facial_features|Micrognathia|Patent_ductus_arteriosus|Joint_hypermobility|Thick_upper_lip_vermilion|Abnormality_of_the_face|Bulbous_nose|Depressed_nasal_bridge|Left_ventricular_hypertrophy|not_provided|Hypertrichotic_osteochondrodysplasia_Cantu_type|Dilated_cardiomyopathy_1O | Cardiomyopathy|Dilated_cardiomyopathy_1O",NA,NA,NA,"ABCC9","ENSG00000069431","ENSG00000069431","ABCC9","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.2878369472735,12.3385482982138,-0.209797138982383,0.133507717830548,-1.57142330339781,0.11772423956931,0.22883055116358,-5.74164236132687,14.4134428886162,0.209797138982383,"ABCC9"
"ACTN2","DCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",NA,NA,NA,"ACTN2","ENSG00000077522","ENSG00000077522","ACTN2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,7.84753986078354,7.30436662648746,0.186471625479617,0.0649201163822677,2.87232426358604,0.00453099940867791,0.0167810904850714,-2.9400483370647,18.6883386158376,0.186471625479617,"ACTN2"
"BAG3","DCM","","ClinVar_PLP_review2plus","False","True",43,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6 | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6|not_provided",NA,NA,NA,"BAG3","ENSG00000151929","ENSG00000151929","BAG3","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.4977783203848,12.6646815442656,-0.182113180308161,0.103682597776177,-1.75644885655059,0.0805996669057387,0.171052050446094,-5.43927964582328,14.6589475308314,0.182113180308161,"BAG3"
