"gene_symbol_target","disease_group","stratum","sources","is_prespecified_h4_gene","present_in_strict_clinvar_filter","n_plp_variants","max_review_weight","review_status_examples","condition_examples","matched_in_expression_matrix","expression_gene_id","expression_symbol_match_type","gene_symbol_upper","mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol_de","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC","gene_symbol"
"ACTC1","DCM","DCM_TTN_related","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",5,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Inborn_genetic_diseases|Primary_dilated_cardiomyopathy",NA,NA,NA,"ACTC1",448142.900482935,0.19119323995466,0.0959764695874835,1.99208452630554,0.0463617844364575,0.0956099984673639,"ACTC1","ACTC1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.19119323995466,"ACTC1"
"LMNA","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",82,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2B1|Dilated_cardiomyopathy_1A|Emery-Dreifuss_muscular_dystrophy_2,_autosomal_dominant|Congenital_muscular_dystrophy_due_to_LMNA_mutation|Emery-Dreifuss_muscular_dystrophy_3,_autosomal_recessive|Familial_partial_lipodystrophy,_Dunnigan_type|Hutchinson-Gilford_syndrome|Mandibuloacral_dysplasia_with_type_A_lipodystrophy|LMNA-related_disorder|Charcot-Marie-Tooth_disease_type_2|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|Cardiomyopathy|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1",NA,NA,NA,"LMNA",4247.36829615297,-0.670531692330559,0.140887094782237,-4.75935495275114,1.94212633010141e-06,1.31567573937145e-05,"LMNA","LMNA","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.670531692330559,"LMNA"
"PLN","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy",NA,NA,NA,"PLN",89002.6401815539,0.583084861425442,0.136547549607513,4.2701964487934,1.9530086647311e-05,0.000107118148864075,"PLN","PLN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.583084861425442,"PLN"
"RBM20","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|not_provided|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD|Left_ventricular_noncompaction_cardiomyopathy | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1DD",NA,NA,NA,"RBM20",14460.9452599853,0.765149951094259,0.0894229699971599,8.55652581342982,1.16319801259175e-17,3.98896054286009e-16,"RBM20","RBM20","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.765149951094259,"RBM20"
"SCN5A","DCM","DCM_RNA_processing","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",28,2,"criteria_provided,_multiple_submitters,_no_conflicts","Atrial_fibrillation,_familial,_10|Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Long_QT_syndrome_3|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Progressive_familial_heart_block,_type_1A|Sick_sinus_syndrome_1|Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Brugada_syndrome|SCN5A-related_disorder|Cardiac_arrhythmia | Brugada_syndrome_1|Progressive_familial_heart_block,_type_1A|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Atrial_fibrillation,_familial,_10|Dilated_cardiomyopathy_1E|Long_QT_syndrome_3|Sick_sinus_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|not_provided | Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Cardiovascular_phenotype|Sick_sinus_syndrome_1|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Atrial_fibrillation,_familial,_10|Long_QT_syndrome_3|Progressive_familial_heart_block,_type_1A|Cardiac_arrhythmia|not_provided|Brugada_syndrome",NA,NA,NA,"SCN5A",11074.1436082993,0.141383479387418,0.107762828949883,1.31198745212201,0.189524368337743,0.297675360941255,"SCN5A","SCN5A","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.141383479387418,"SCN5A"
"TNNT2","DCM","DCM_TTN_related","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",27,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3 | not_provided|Primary_dilated_cardiomyopathy",NA,NA,NA,"TNNT2",312026.730456362,-0.0426254913332086,0.0743059661297348,-0.573648302463176,0.566205818512264,0.677374880621769,"TNNT2","TNNT2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0426254913332086,"TNNT2"
"TTN","DCM","DCM_TTN_related","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",1111,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Cardiovascular_phenotype|Hereditary_inclusion-body_myopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Primary_familial_dilated_cardiomyopathy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Restrictive_cardiomyopathy|Autosomal_recessive_titinopathy|Primary_dilated_cardiomyopathy|Myocarditis|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy",NA,NA,NA,"TTN",416609.520937027,0.183362929734852,0.11175838947371,1.64070841212316,0.100857957889985,0.180958421818624,"TTN","TTN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.183362929734852,"TTN"
"ABCC9","DCM","","ClinVar_PLP_review2plus","False","True",9,2,"criteria_provided,_multiple_submitters,_no_conflicts","ABCC9-related_disorder|Hypertrichotic_osteochondrodysplasia_Cantu_type|not_provided|Dilated_cardiomyopathy_1O | ABCC9-related_disorder|Low_anterior_hairline|Abnormal_facial_shape|Epicanthus|Tapered_finger|Macrocephaly|Large_hands|Coarse_facial_features|Micrognathia|Patent_ductus_arteriosus|Joint_hypermobility|Thick_upper_lip_vermilion|Abnormality_of_the_face|Bulbous_nose|Depressed_nasal_bridge|Left_ventricular_hypertrophy|not_provided|Hypertrichotic_osteochondrodysplasia_Cantu_type|Dilated_cardiomyopathy_1O | Cardiomyopathy|Dilated_cardiomyopathy_1O",NA,NA,NA,"ABCC9",3355.43220907498,-0.112236437196586,0.11559116907191,-0.970977610986552,0.331559427796049,0.45729187426241,"ABCC9","ABCC9","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.112236437196586,"ABCC9"
"ACTN2","DCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",NA,NA,NA,"ACTN2",143493.596634007,0.248713642942233,0.0724028700368727,3.43513513781388,0.000592258403869114,0.00225268961585519,"ACTN2","ACTN2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.248713642942233,"ACTN2"
"BAG3","DCM","","ClinVar_PLP_review2plus","False","True",43,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6 | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6|not_provided",NA,NA,NA,"BAG3",5216.37457026774,-0.319946131364508,0.0826198881864554,-3.87250743601175,0.000107721388362222,0.000494555927326215,"BAG3","BAG3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.319946131364508,"BAG3"
