gene_symbol,disease_group,stratum,present_in_strict_clinvar_filter,log2FC,SE,p_value,FDR
ACTC1,DCM,DCM_TTN_related,True,0.2628886150655369,0.0871655862463068,0.003137570751511,0.0075797885381488
LMNA,DCM,DCM_RNA_processing,True,-0.7357543737749255,0.1458262886822073,1.6584916632624517e-06,9.337349364209024e-06
PLN,DCM,DCM_RNA_processing,True,0.590576844046081,0.1573990568685179,0.0002734446187009,0.0008939340085854
RBM20,DCM,DCM_RNA_processing,True,0.8086368574171772,0.0911381399594163,9.165392279636428e-15,2.855344453100908e-13
SCN5A,DCM,DCM_RNA_processing,True,0.0785825343970298,0.1119035683006703,0.4839159083086504,0.5707596635037041
TNNT2,DCM,DCM_TTN_related,True,-0.0918823279888405,0.0658336304734708,0.1654332055450589,0.233846544386933
TTN,DCM,DCM_TTN_related,True,0.1722246403847425,0.1151072943348679,0.1372689271727204,0.1998912441512213
ACTC1,HCM,HCM_sarcomeric,True,0.2628886150655369,0.0871655862463068,0.003137570751511,0.0075797885381488
BAG3,HCM,HCM_non_sarcomeric,False,-0.5495780678896001,0.1253307934320202,2.5335769510535456e-05,0.0001073243812295
CSRP3,HCM,HCM_non_sarcomeric,True,0.0526345920651192,0.128838726831346,0.6836244272699467,0.7508529520420693
FLNC,HCM,HCM_non_sarcomeric,True,-1.0243574877286916,0.2039269348024408,1.8248447738655489e-06,1.016185552118092e-05
JPH2,HCM,HCM_non_sarcomeric,True,0.1443302892079416,0.0917733444962934,0.1184699943489364,0.1762792525917891
LMNA,HCM,HCM_non_sarcomeric,True,-0.7357543737749255,0.1458262886822073,1.6584916632624517e-06,9.337349364209024e-06
MYBPC3,HCM,HCM_sarcomeric,True,0.0773712582059218,0.1572773813511198,0.6236746903790067,0.698704809303921
MYH7,HCM,HCM_sarcomeric,True,0.630645313784695,0.1346202073872552,7.570556940143945e-06,3.624606772096488e-05
MYL2,HCM,HCM_sarcomeric,True,0.633444464042233,0.0821530264518608,4.373396765020374e-12,8.171591169210441e-11
MYL3,HCM,HCM_sarcomeric,True,-0.6203883311351372,0.128495183468001,4.17245821223277e-06,2.143243221901844e-05
PLN,HCM,HCM_non_sarcomeric,True,0.590576844046081,0.1573990568685179,0.0002734446187009,0.0008939340085854
RBM20,HCM,HCM_non_sarcomeric,False,0.8086368574171772,0.0911381399594163,9.165392279636428e-15,2.855344453100908e-13
TNNI3,HCM,HCM_sarcomeric,True,0.408234870196916,0.1612279787381082,0.01265425724055,0.0256029500241555
TNNT2,HCM,HCM_sarcomeric,True,-0.0918823279888405,0.0658336304734708,0.1654332055450589,0.233846544386933
TPM1,HCM,HCM_sarcomeric,True,0.1308904849986678,0.0535380110389217,0.0159705971544262,0.0313314330687925
