feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,normalization,transformation,n_samples,n_hcm,n_control,mean_log2CPM_hcm,mean_log2CPM_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
MT1M,MT1M,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.596565380085459,3.4281110608134484,-2.8315456807279893,0.12455548207911471,-22.733207992639443,6.229090257722071e-45,9.85815824187095e-41,2.8315456807279893
SLC11A1,SLC11A1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.6574753020097595,3.7367800453618254,-3.0793047433520657,0.1369259344981743,-22.488834964957814,1.7590820178472788e-44,1.3919616007225517e-40,3.0793047433520657
SLCO4A1,SLCO4A1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.0108237086585201,4.420700029707158,-3.409876321048638,0.15597177443763102,-21.86213712925448,2.6039426655167232e-43,1.373666554148922e-39,3.409876321048638
SLA,SLA,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.319308216677491,3.919891580077259,-2.600583363399768,0.12277755101361656,-21.18126108502809,5.134342895964109e-42,2.0314027667881997e-38,2.600583363399768
S100A9,S100A9,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.0297500826404342,4.694903790892015,-3.6651537082515824,0.1769301920461654,-20.715253094255697,4.0825027351133867e-41,1.2921937657180891e-37,3.6651537082515824
SERPINA3,SERPINA3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.553808819272455,7.529616784330535,-4.975807965058083,0.24158207354095027,-20.59675990079057,6.946137550462266e-41,1.8321595478935972e-37,4.975807965058083
IL1RL1,IL1RL1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.41201801236798596,4.3021043186635595,-3.890086306295574,0.195972886478658,-19.850125066761294,2.058833948388052e-39,4.6547294381699016e-36,3.890086306295574
FPR1,FPR1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.6044327676347787,3.3300988903666346,-2.7256661227318557,0.13774600338316598,-19.78762400205479,2.7428898544347253e-39,5.4261218545354955e-36,2.7256661227318557
LILRA6,LILRA6,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.7112825584462592,2.643903907114741,-1.9326213486684813,0.10696278516816245,-18.068165910508917,8.907825784650891e-36,1.5663916763098334e-32,1.9326213486684813
TUBA3E,TUBA3E,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.6292149192671308,5.231723870784647,-3.602508951517516,0.20317032686120753,-17.73147194855138,4.5332791248909337e-35,6.743397735276706e-32,3.602508951517516
SRRM4,SRRM4,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.937950879510268,1.2761081647585115,1.661842714751756,0.09375911103341229,17.72459973686756,4.687057695440652e-35,6.743397735276706e-32,1.661842714751756
CEBPD,CEBPD,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.299711628612793,3.5379676991609963,-2.2382560705482035,0.1268554891473632,-17.644140475057462,6.929707056362913e-35,9.139128656166622e-32,2.2382560705482035
CD163,CD163,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.868866518431849,6.492758790253498,-3.623892271821649,0.20720384461678276,-17.48950304722351,1.472585824985179e-34,1.7927033281704187e-31,3.623892271821649
S100A8,S100A8,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.9229389366461974,4.247563845103906,-3.3246249084577095,0.19065336808473962,-17.43806019193962,1.8935368913718195e-34,2.140508203060744e-31,3.3246249084577095
LILRB3,LILRB3,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.5613525555406308,2.2284868486925347,-1.6671342931519044,0.09617632266129734,-17.3341446940431,3.149818264958375e-34,3.3232682574154162e-31,1.6671342931519044
IL18R1,IL18R1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,0.9924920336454656,2.7913538252001775,-1.7988617915547125,0.10494632744925424,-17.140778865506604,8.149018990650654e-34,8.060398409127327e-31,1.7988617915547125
TUBA3D,TUBA3D,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.335263383731423,6.193931897985955,-3.8586685142545316,0.22545379764161882,-17.115118727732714,9.247830783950771e-34,8.609186469812053e-31,3.8586685142545316
BEST1,BEST1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.2912474473811455,2.525718747457566,-1.234471300076421,0.0725135835932905,-17.02400073068025,1.450098808688807e-33,1.27495909701717e-30,1.234471300076421
MT1X,MT1X,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.6573945613992724,5.579846810320362,-2.9224522489210907,0.17893841569371385,-16.332167900287033,4.5626439174663563e-32,3.800442244095924e-29,2.9224522489210907
METTL7B,METTL7B,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.4805533369658999,4.056259286154605,-2.5757059491887055,0.15806193374121552,-16.29554876511723,5.485364103471417e-32,4.340568615076933e-29,2.5757059491887055
RP11-343H19.2,RP11-343H19.2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.0887538805198904,4.816112196529156,-2.727358316009266,0.1677602316310413,-16.257478244352953,6.644149613810263e-32,5.0071577041981534e-29,2.727358316009266
RP11-259K5.2,RP11-259K5.2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.9330378100487415,1.621408770860289,1.311629039188452,0.08099759070925962,16.193432763902038,9.175593430594786e-32,6.600588256026959e-29,1.311629039188452
IL15RA,IL15RA,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.6573920562660298,3.359183878094817,-1.701791821828788,0.10538269466966475,-16.148683872273978,1.1500488896368141e-31,7.913336403214008e-29,1.701791821828788
FCER1G,FCER1G,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.2736998288649906,4.288476022320657,-2.014776193455666,0.12695969319616313,-15.869416054295845,4.733439888876784e-31,3.121309153390166e-28,2.014776193455666
THEMIS2,THEMIS2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.424138860712993,3.2635754792604295,-1.8394366185474373,0.1164347752598194,-15.798000334889728,6.807002959330463e-31,4.309105153374556e-28,1.8394366185474373
FOSL2,FOSL2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.00324001895689,6.797244637851232,-1.7940046188943453,0.11363950446021635,-15.786804310840706,7.206345257617628e-31,4.386446924886791e-28,1.7940046188943453
