cohort,step,file_role,relative_path,absolute_path,exists,size_mb
GSE249925,Step 3 real differential expression,gene_symbol_raw_count_matrix,data/processed/expression_matrices/GSE249925_count_matrix_gene_symbol_raw_counts.csv,/content/drive/MyDrive/MCI_Project/data/processed/expression_matrices/GSE249925_count_matrix_gene_symbol_raw_counts.csv,True,18.5166
GSE249925,Step 3 real differential expression,ensembl_raw_count_matrix,data/processed/expression_matrices/GSE249925_count_matrix_ensembl_raw_counts.csv,/content/drive/MyDrive/MCI_Project/data/processed/expression_matrices/GSE249925_count_matrix_ensembl_raw_counts.csv,True,20.2557
GSE249925,Step 3 real differential expression,gene_annotation,data/processed/expression_matrices/GSE249925_gene_annotation_from_Gene_Index.csv,/content/drive/MyDrive/MCI_Project/data/processed/expression_matrices/GSE249925_gene_annotation_from_Gene_Index.csv,True,6.4574
GSE249925,Step 3 real differential expression,filtered_log2CPM_matrix,data/processed/expression_matrices/GSE249925_log2CPM_gene_symbol_filtered.csv,/content/drive/MyDrive/MCI_Project/data/processed/expression_matrices/GSE249925_log2CPM_gene_symbol_filtered.csv,True,33.3444
GSE249925,Step 3 real differential expression,analysis_design_table,data/processed/sample_metadata/GSE249925_analysis_design_table.csv,/content/drive/MyDrive/MCI_Project/data/processed/sample_metadata/GSE249925_analysis_design_table.csv,True,0.014
GSE249925,Step 3 real differential expression,sample_count_qc,results/quality_control/GSE249925_sample_count_qc.csv,/content/drive/MyDrive/MCI_Project/results/quality_control/GSE249925_sample_count_qc.csv,True,0.0043
GSE249925,Step 3 real differential expression,target_gene_match_summary,results/quality_control/GSE249925_target_gene_symbol_match_summary.csv,/content/drive/MyDrive/MCI_Project/results/quality_control/GSE249925_target_gene_symbol_match_summary.csv,True,0.0008
GSE249925,Step 3 real differential expression,code6_count_design_summary,results/quality_control/GSE249925_CODE6_clean_count_matrix_design_summary.json,/content/drive/MyDrive/MCI_Project/results/quality_control/GSE249925_CODE6_clean_count_matrix_design_summary.json,True,0.0018
GSE249925,Step 3 real differential expression,disease_only_de_gene_level,results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_gene_level.csv,/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_gene_level.csv,True,4.2472
GSE249925,Step 3 real differential expression,disease_only_locked_MCI_target_genes,results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,0.0765
GSE249925,Step 3 real differential expression,disease_only_de_summary_json,results/quality_control/differential_expression/GSE249925_disease_only_log2CPM_DE_summary.json,/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE249925_disease_only_log2CPM_DE_summary.json,True,0.0011
