feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,n_samples_used,n_hcm,n_control,n_male,n_female,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
TUBA3E,TUBA3E,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.779104013311325,9.888076702222223,-2.192248592770795,0.09941637185229843,-22.05118283764961,4.531894130988701e-47,1.7151406528139838e-42,2.192248592770795
TUBA3C,TUBA3C,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.698195099886794,8.673993848694446,-2.059986395023592,0.09681963718368275,-21.276534956596247,2.0694167933016353e-45,3.9159573979646845e-41,2.059986395023592
TUBA3D,TUBA3D,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.220400993632076,11.375472421500003,-2.2532708237507517,0.10996078007203128,-20.491586384479234,1.0737374230463655e-43,1.354555550420425e-39,2.2532708237507517
RASD1,RASD1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.048725774962267,10.568802294000001,-3.576086259347604,0.1809033185710431,-19.76794172486796,4.384889588747503e-42,4.14876328439345e-38,3.576086259347604
CDC42EP4,CDC42EP4,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.741571528292452,10.94862078972222,-1.2348224361312372,0.06366501981452485,-19.395618500216326,3.0343591623128156e-41,2.2967671371378163e-37,1.2348224361312372
CEBPD,CEBPD,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.803418320641509,11.079723466305555,-2.263695753232694,0.1187107079456587,-19.069010642821947,1.6798526328911604e-40,1.0595950457399809e-36,2.263695753232694
ZFP36,ZFP36,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.422185028084906,10.649963659194446,-2.2201858513098007,0.11699884756201878,-18.976134360066442,2.7395339139607533e-40,1.4811485786822667e-36,2.2201858513098007
MT1M,MT1M,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.430185709952831,8.552472482222221,-2.186162488840296,0.1210049719510576,-18.066716214971105,3.4847667712704903e-38,1.6485560403187872e-34,2.186162488840296
SERPINA3,SERPINA3,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.599983869669809,11.108591618249998,-3.5074827914440507,0.19623161422475704,-17.874198330890245,9.848533084958235e-38,4.141417590370327e-34,3.5074827914440507
FCN3,FCN3,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.664814940301884,9.62932274897222,-2.0252266308869573,0.11385754354560301,-17.787373307204714,1.575807486374166e-37,5.963801012931669e-34,2.0252266308869573
MAP3K6,MAP3K6,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.896094963745282,10.063565899277776,-1.1986067182926954,0.06758802827136536,-17.73400924613897,2.104568930640579e-37,7.240865068093033e-34,1.1986067182926954
AXUD1,AXUD1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.845402908783018,9.916615707666669,-2.0719369428672514,0.11757916321393515,-17.621633682639537,3.87499729320241e-37,1.22210956298782e-33,2.0719369428672514
MYH6,MYH6,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,12.2572736645283,14.176104840555555,-1.943368285515463,0.11068765584035485,-17.557226871968354,5.501913531095537e-37,1.601733996137244e-33,1.943368285515463
S100A9,S100A9,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.959292557933959,9.777576164694443,-2.8129895140087293,0.1644555247816388,-17.104864781792937,6.544246518300273e-36,1.769096812368515e-32,2.8129895140087293
S1PR3,S1PR3,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.420084014462268,8.420421915416666,-1.0326570758641749,0.0606879652402602,-17.015846087044512,1.068345131798272e-35,2.6955059905358267e-32,1.0326570758641749
