feature_id,gene_symbol,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
TUBA3E,TUBA3E,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.779104013311325,9.952149493435899,-2.1730454801245775,0.10250512762555576,-21.19938319634667,5.576721827126262e-46,2.1105661426942051e-41,2.1730454801245775
CEBPD,CEBPD,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.803418320641509,11.11145728376923,-2.3080389631277236,0.11166152536579808,-20.669957315796044,8.574761922377365e-45,1.6226021985714688e-40,2.3080389631277236
TUBA3C,TUBA3C,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.698195099886794,8.735555193102565,-2.0373600932157734,0.09903217361285414,-20.572709038785845,1.4220059207753512e-44,1.7939078692554648e-40,2.0373600932157734
ZFP36,ZFP36,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.422185028084906,10.661716944897435,-2.2395319168125316,0.10963281179497039,-20.42756981368669,3.032006182168527e-44,2.868732649258752e-40,2.2395319168125316
RASD1,RASD1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.048725774962267,10.563063318128206,-3.5143375431659423,0.17255196170165438,-20.366836218543252,4.1655459135653617e-44,3.1529850128958934e-40,3.5143375431659423
TUBA3D,TUBA3D,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.220400993632076,11.425257430615387,-2.2048564369833104,0.1105627041758883,-19.942135581956478,3.889872923540035e-43,2.4536021777382694e-39,2.2048564369833104
CDC42EP4,CDC42EP4,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.741571528292452,10.954874339743586,-1.2133028114511386,0.061752735287937434,-19.647758205265134,1.8546668857726634e-42,1.0027388994136031e-38,1.2133028114511386
SERPINA3,SERPINA3,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.599983869669809,11.161393561717947,-3.561409692048138,0.18716613116223843,-19.0280670436098,5.148380771626861e-41,2.4355702335373773e-37,3.561409692048138
AXUD1,AXUD1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.845402908783018,9.949897420564103,-2.104494511781085,0.11300609157773032,-18.622841321200152,4.642910576121443e-40,1.952395485154357e-36,2.104494511781085
S100A9,S100A9,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.959292557933959,9.873829502384613,-2.9145369444506546,0.159236338606157,-18.303215019652317,2.6691110607742656e-39,1.0101517720606284e-35,2.9145369444506546
MYH6,MYH6,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,12.2572736645283,14.171820575384613,-1.9145469108563165,0.10471348812544527,-18.283670471971256,2.971596708120562e-39,1.0223913546866435e-35,1.9145469108563165
FCN3,FCN3,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.664814940301884,9.7028613755641,-2.038046435262217,0.11219526172769281,-18.165173857419436,5.7028930371536386e-39,1.798597415700972e-35,2.038046435262217
MT1M,MT1M,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.430185709952831,8.654486805923076,-2.224301095970248,0.12336748479217939,-18.029881209925197,1.2029168235267878e-38,3.501968469476524e-35,2.224301095970248
LYVE1,LYVE1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.912601176160379,8.785791097461539,-1.8731899213011625,0.10479017645263977,-17.875625222825693,2.8247674896814155e-38,7.636153601034489e-35,1.8731899213011625
MAP3K6,MAP3K6,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.896094963745282,10.052072162871793,-1.155977199126514,0.06476077737145917,-17.849958663960795,3.256806031364928e-38,8.217138737535804e-35,1.155977199126514
PRKCD,PRKCD,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.005319021481129,7.734893741205129,-0.7295747197239975,0.04163582522106579,-17.52276352997242,2.012460680467465e-37,4.76022418206073e-34,0.7295747197239975
