gene_symbol_upper,gene_symbol,log2FC_disease_only,SE_disease_only,p_value_disease_only,FDR_disease_only,log2FC_adjusted_age_sex,SE_adjusted_age_sex,p_value_adjusted_age_sex,FDR_adjusted_age_sex,same_direction,abs_log2FC_change
TUBA3E,TUBA3E,-2.173045480124577,0.1025051276255557,5.576721827126262e-46,2.1105661426942046e-41,-2.192248592770795,0.09941637185229843,4.531894130988701e-47,1.7151406528139838e-42,True,0.019203112646217768
CEBPD,CEBPD,-2.308038963127724,0.111661525365798,8.574761922377366e-45,1.6226021985714686e-40,-2.263695753232694,0.1187107079456587,1.6798526328911604e-40,1.0595950457399809e-36,True,0.04434320989503027
TUBA3C,TUBA3C,-2.0373600932157734,0.0990321736128541,1.4220059207753512e-44,1.7939078692554646e-40,-2.059986395023592,0.09681963718368275,2.0694167933016353e-45,3.9159573979646845e-41,True,0.02262630180781855
ZFP36,ZFP36,-2.239531916812532,0.1096328117949703,3.032006182168527e-44,2.868732649258752e-40,-2.2201858513098007,0.11699884756201878,2.7395339139607533e-40,1.4811485786822667e-36,True,0.019346065502731324
RASD1,RASD1,-3.5143375431659423,0.1725519617016543,4.1655459135653617e-44,3.152985012895893e-40,-3.576086259347604,0.1809033185710431,4.384889588747503e-42,4.14876328439345e-38,True,0.06174871618166167
TUBA3D,TUBA3D,-2.2048564369833104,0.1105627041758883,3.889872923540035e-43,2.453602177738269e-39,-2.2532708237507517,0.10996078007203128,1.0737374230463655e-43,1.354555550420425e-39,True,0.048414386767441364
CDC42EP4,CDC42EP4,-1.2133028114511386,0.0617527352879374,1.8546668857726637e-42,1.0027388994136031e-38,-1.2348224361312372,0.06366501981452485,3.0343591623128156e-41,2.2967671371378163e-37,True,0.021519624680098604
SERPINA3,SERPINA3,-3.561409692048138,0.1871661311622384,5.148380771626861e-41,2.4355702335373773e-37,-3.5074827914440507,0.19623161422475704,9.848533084958235e-38,4.141417590370327e-34,True,0.05392690060408745
AXUD1,AXUD1,-2.104494511781085,0.1130060915777303,4.642910576121443e-40,1.952395485154357e-36,-2.0719369428672514,0.11757916321393515,3.87499729320241e-37,1.22210956298782e-33,True,0.032557568913833546
S100A9,S100A9,-2.9145369444506546,0.159236338606157,2.6691110607742656e-39,1.0101517720606284e-35,-2.8129895140087293,0.1644555247816388,6.544246518300273e-36,1.769096812368515e-32,True,0.10154743044192527
MYH6,MYH6,-1.9145469108563165,0.1047134881254452,2.9715967081205617e-39,1.0223913546866435e-35,-1.943368285515463,0.11068765584035485,5.501913531095537e-37,1.601733996137244e-33,True,0.02882137465914658
FCN3,FCN3,-2.038046435262217,0.1121952617276928,5.702893037153639e-39,1.798597415700972e-35,-2.0252266308869573,0.11385754354560301,1.575807486374166e-37,5.963801012931669e-34,True,0.012819804375259647
MT1M,MT1M,-2.224301095970248,0.1233674847921793,1.2029168235267878e-38,3.501968469476524e-35,-2.186162488840296,0.1210049719510576,3.4847667712704903e-38,1.6485560403187872e-34,True,0.03813860712995165
LYVE1,LYVE1,-1.8731899213011625,0.1047901764526397,2.8247674896814155e-38,7.636153601034488e-35,-1.8402191000210362,0.11032248550581329,6.830950359550291e-35,1.4362452628196683e-31,True,0.032970821280126295
MAP3K6,MAP3K6,-1.155977199126514,0.0647607773714591,3.256806031364928e-38,8.217138737535804e-35,-1.1986067182926954,0.06758802827136536,2.104568930640579e-37,7.240865068093033e-34,True,0.04262951916618141
PRKCD,PRKCD,-0.7295747197239975,0.0416358252210657,2.012460680467465e-37,4.76022418206073e-34,-0.7083830728974809,0.044269774247276523,3.0333517238086758e-33,5.2181922426937795e-30,True,0.02119164682651653
CD163,CD163,-2.136505796387519,0.124014828066064,1.0505075839067237e-36,2.338677060031404e-33,-2.05882065307079,0.12441014388855944,1.4202131403555974e-34,2.8289150794683126e-31,True,0.07768514331672893
YPEL2,YPEL2,1.0724544636744051,0.0627201825717756,2.1685578757173963e-36,4.559513409133365e-33,1.0773597036416114,0.0645632165035906,6.587721218333997e-35,1.4362452628196683e-31,True,0.004905239967206265
S1PR3,S1PR3,-1.0088360773326086,0.059092336789645,2.5226715008747528e-36,5.0248960853739935e-33,-1.0326570758641749,0.0606879652402602,1.068345131798272e-35,2.6955059905358267e-32,True,0.023820998531566273
C1R,C1R,-1.1822235448763916,0.0694160598791163,3.182943656552686e-36,6.023084281294648e-33,-1.1694043304950217,0.07260531832504746,1.6831476506193715e-33,3.0333526659686062e-30,True,0.012819214381369903
FPR1,FPR1,-1.3706269691168362,0.0825207939179959,3.4687821737641287e-35,6.25140619753701e-32,-1.3166741705540903,0.08389698986501676,1.719965587893924e-32,2.71224240164306e-29,True,0.05395279856274593
FCER1G,FCER1G,-1.4956007457905185,0.0911717084709626,1.1179912367269579e-34,1.9232498338712927e-31,-1.4478966821403978,0.09665205308446558,9.995121136176283e-31,1.1821104828741489e-27,True,0.0477040636501207
FKBP5,FKBP5,-1.9338163521294172,0.1190726981650375,2.8506527321551133e-34,4.6906871000496725e-31,-1.9573650968048453,0.11604606611141248,2.427623597992804e-35,5.742240168102229e-32,True,0.023548744675428113
PIK3IP1,PIK3IP1,1.355199620628929,0.0836313553978602,3.5079279011688024e-34,5.5317099728181035e-31,1.3360427631185878,0.08476564620982105,1.1731317748797266e-32,1.9303628326999188e-29,True,0.01915685751034113
AP3M2,AP3M2,0.8305050157481834,0.0512975769676827,3.812084682667711e-34,5.770886276009687e-31,0.8261094209178034,0.05318891370573556,4.315129158389429e-32,6.532415125136252e-29,True,0.00439559483037999
MYC,MYC,-1.5107319948209983,0.093625277318493,5.197164308139696e-34,7.565072323302112e-31,-1.4324616790309521,0.09402758405095175,2.3399415744412587e-31,3.162765315225138e-28,True,0.07827031579004617
MT1X,MT1X,-2.3719588448026143,0.1480739695820623,1.0193863844173437e-33,1.428877670542918e-30,-2.480170333181604,0.1501933044130473,1.7302133049375494e-34,3.274082636933325e-31,True,0.10821148837898953
S100A8,S100A8,-2.648366209393083,0.1657362084086467,1.2784346628794318e-33,1.7279870804048208e-30,-2.52163330242497,0.16822786729969288,9.499111602765992e-31,1.1596883152202637e-27,True,0.12673290696811312
MAFB,MAFB,-1.3387785221671509,0.0847151323154409,3.530167708803419e-33,4.606990589909455e-30,-1.251634001189194,0.08732249776919938,4.149176854727663e-29,3.2714530675838153e-26,True,0.08714452097795689
CMTM7,CMTM7,-0.72554969539526,0.0459807678800914,4.0524848811413175e-33,5.1123447603891446e-30,-0.685753863996367,0.046671160206752535,5.200290743147672e-30,4.892428746784058e-27,True,0.03979583139889309
SLA,SLA,-0.877378017419207,0.0559146917957786,6.743366420290201e-33,8.232562759429127e-30,-0.8257539844972182,0.053569332060839,8.384497878122567e-32,1.2204604103670256e-28,True,0.051624032921988805
JAK2,JAK2,1.21007789164562,0.0772614614840331,7.987828572051027e-33,9.4471050043076e-30,1.168535283043695,0.07954354169063899,5.284768760754534e-30,4.892428746784058e-27,True,0.041542608601925046
FES,FES,-0.7711218066013568,0.0493889421012716,1.0601776299547404e-32,1.195876769155943e-29,-0.7447124599438678,0.04877310191512008,1.9227435473969722e-31,2.695116751658734e-28,True,0.026409346657488952
SCN2B,SCN2B,1.2862978079975798,0.0824234310228766,1.1058411232534215e-32,1.195876769155943e-29,1.233313573050844,0.08395596058429616,5.3001526876855246e-30,4.892428746784058e-27,True,0.052984234946735764
DYRK1B,DYRK1B,0.6024074547377825,0.0386011246805241,1.1059474428065848e-32,1.195876769155943e-29,0.5985968429451977,0.03950539683784994,3.7411545457808143e-31,4.719591164654024e-28,True,0.003810611792584795
CHN1,CHN1,0.6433602707890655,0.041702735658065,3.1202338387232736e-32,3.2802324961200275e-29,0.6605944793576122,0.043506061159069215,3.121904913311761e-31,4.074193563765411e-28,True,0.017234208568546627
GALK1,GALK1,-0.7443623259753283,0.0482663267631419,3.2181040780652306e-32,3.291685592931263e-29,-0.7139673459572023,0.05016340051091199,7.43091244311242e-29,5.514319849451621e-26,True,0.030394980018125906
ZDHHC9,ZDHHC9,-1.0068414734472677,0.0654035307703985,3.780235585719677e-32,3.764915683609129e-29,-0.9952887085784939,0.06652879600107932,1.1224010765780227e-30,1.2872239740658134e-27,True,0.011552764868773768
NFKBIZ,NFKBIZ,-0.9209839616090963,0.059944225653867,4.5086585268366025e-32,4.2966982327012336e-29,-0.9196359266602875,0.062005949581988205,2.350704951478638e-30,2.4712438776016818e-27,True,0.0013480349488088628
PROS1,PROS1,1.4721436960972407,0.0958253616138755,4.5412442347420956e-32,4.2966982327012336e-29,1.4728402501586144,0.09977635471199268,3.514657113226847e-30,3.595019273167115e-27,True,0.0006965540613736998
C7ORF41,C7ORF41,1.3059743864961282,0.0851641855932404,5.345039166367804e-32,4.933862250984293e-29,1.2895726444570617,0.08925891130028793,2.1453047755857573e-29,1.7274724369535865e-26,True,0.016401742039066525
TIPARP,TIPARP,-1.302047694394776,0.0851285114146018,6.735682828277479e-32,6.069491721880702e-29,-1.311265203128737,0.08921452701249588,5.0650619562552906e-30,4.892428746784058e-27,True,0.009217508733960988
SLCO4A1,SLCO4A1,-1.0012826838439777,0.0656227232304273,8.352570358850734e-32,7.35142739072244e-29,-1.0187395203714371,0.06861267590704344,2.1410032697547102e-30,2.3150974213467646e-27,True,0.01745683652745944
LOC653888,LOC653888,-1.2075319459837937,0.0794175808726315,1.1399946992120995e-31,9.805508951450255e-29,-1.1690056685495764,0.08033309860284682,1.1740428346210088e-29,1.0333215143969001e-26,True,0.038526277434217215
CORO1A,CORO1A,-0.7918001353720386,0.0521329451840726,1.2570555130779138e-31,1.0572116210654827e-28,-0.7360589933585245,0.05159436456089266,6.122374804608487e-29,4.634147937104256e-26,True,0.0557411420135141
ALOX5,ALOX5,-0.8981325515691839,0.0595770565751755,2.431867425750278e-31,2.0007924911944567e-28,-0.8699395052162887,0.06239666783506761,4.020022459672929e-28,2.817440185347809e-25,True,0.028193046352895212
SORBS2,SORBS2,0.8266509625447482,0.0551003428511713,3.716562046827802e-31,2.992702281366915e-28,0.7966939274766407,0.05761171568777174,7.779584016836779e-28,5.07631270174491e-25,True,0.02995703506810754
CTSC,CTSC,-1.2488844414508955,0.0833898782064043,4.332628081964012e-31,3.416096716458541e-28,-1.1479052143227224,0.07681367743084962,1.2319541574306249e-30,1.3713099130035127e-27,True,0.10097922712817309
CD97,CD97,-0.7944298082522994,0.0530959235802444,4.710833943665853e-31,3.6384943149383236e-28,-0.7699552792748592,0.05321058665386745,1.8847952211980423e-29,1.5851546653658023e-26,True,0.02447452897744018
XLKD1,XLKD1,-1.1600060483955017,0.0777271583092609,5.888596616831775e-31,4.4571965512123075e-28,-1.1243944477494539,0.08118278036321314,6.864587693510973e-28,4.621184808318461e-25,True,0.03561160064604785
SEC14L1,SEC14L1,-0.5240717493584921,0.0355072541006353,1.5461932224142187e-30,1.1473966410880104e-27,-0.5160980228397182,0.03726934238572115,6.959983461241671e-28,4.621184808318461e-25,True,0.007973726518773927
HS.177532,HS.177532,1.0590348649726635,0.0718057315209041,1.6490100107217165e-30,1.2001621704956551e-27,1.0076391426637634,0.07466536032420922,5.443628403862627e-27,2.8221857612682876e-24,True,0.051395722308900105
STAT3,STAT3,-1.1188717662784238,0.0760055227301189,1.940394533785996e-30,1.3855881419936756e-27,-1.0975479583780001,0.0796187857645965,1.0032453037529003e-27,6.394220875355867e-25,True,0.021323807900423652
MT1A,MT1A,-1.5494964522210952,0.1059258607684667,3.349546623080162e-30,2.3475359536498484e-27,-1.5741441921224653,0.10992076073610826,4.4668481641266867e-29,3.450047665704869e-26,True,0.024647739901370036
PIM1,PIM1,-1.3637694952675383,0.093287158832062,3.5333344923862225e-30,2.4313195854336177e-27,-1.3617984671342098,0.09958859925236574,1.914621955326432e-27,1.1147812695582176e-24,True,0.0019710281333285007
ARPC1B,ARPC1B,-0.965696734925014,0.0663623769052368,5.2483940488209886e-30,3.5469771637799845e-27,-0.9493624144922224,0.06558999972904063,1.8393067183470027e-29,1.582054592330924e-26,True,0.016334320432791594
HCK,HCK,-0.6372058089506535,0.0438797655351563,6.272352782551855e-30,4.164622165060657e-27,-0.6136824538797468,0.04508114087993722,2.7401794120072348e-27,1.5250710298062619e-24,True,0.023523355070906637
EBI2,EBI2,-0.5868694586683618,0.0404276376240674,6.463467038395813e-30,4.2175236816401366e-27,-0.5600497879126459,0.042734920997185184,5.358535685074767e-26,2.33102461537172e-23,True,0.026819670755715896
IFITM2,IFITM2,-1.2081897482510913,0.0834755485205332,8.327361744264083e-30,5.341649704634211e-27,-1.1311836331686125,0.0847145450243607,1.253642179521465e-26,5.930667740771171e-24,True,0.07700611508247879
WAS,WAS,-0.938732770073296,0.0650114423167669,1.0181923322459564e-29,6.422417834363411e-27,-0.8754899981428774,0.06666816729728989,4.57697942314558e-26,2.014190270329856e-23,True,0.0632427719304186
ITGB2,ITGB2,-1.413178277866476,0.0983183432451265,1.503446550800093e-29,9.327776747800051e-27,-1.3371532766001997,0.10275333669978255,9.197535965725293e-26,3.783586371291733e-23,True,0.07602500126627643
SMOC2,SMOC2,1.4870515634581507,0.1036364860372195,1.7403765712654607e-29,1.0623595438082684e-26,1.5161525768347757,0.1082786692917868,2.8320102353454184e-28,2.0222690446581643e-25,True,0.029101013376624962
CD248,CD248,-0.9834891910251584,0.0687133361779002,2.1504421290201368e-29,1.2918354415062873e-26,-0.9849542575127075,0.07323184434916909,7.107758627763794e-27,3.5866697736846474e-24,True,0.0014650664875490715
RANGAP1,RANGAP1,-0.94123080261055,0.0657973308352476,2.2536706838526837e-29,1.3264432250517362e-26,-0.8953128204035095,0.0645499925634908,6.113084458923432e-28,4.206468989680295e-25,True,0.045917982207040575
F13A1,F13A1,-1.5787001790573307,0.1103741256093343,2.2781485395646267e-29,1.3264432250517362e-26,-1.565754434005242,0.11580065649672762,4.6835793869070086e-27,2.5689093547374295e-24,True,0.012945745052088675
IFITM3,IFITM3,-1.1860653143468811,0.0832198801247363,3.079976021620463e-29,1.7512001042642462e-26,-1.1210984647885749,0.08529617258126128,4.277149633569757e-26,1.9270595837152505e-23,True,0.06496684955830623
LCP1,LCP1,-1.410086347432754,0.0989459237825763,3.100206282981148e-29,1.7512001042642462e-26,-1.3219019153982239,0.10194310685713169,1.2065739199387332e-25,4.806736481473821e-23,True,0.08818443203453019
SMYD2,SMYD2,0.8608536239598427,0.0605265100250463,3.6660024252512726e-29,2.0403459968538187e-26,0.8275661425540268,0.060177198164216184,1.2152577323666802e-27,7.539777727729406e-25,True,0.03328748140581583
HCLS1,HCLS1,-1.1161745171371575,0.0786783935558009,4.5424409189045124e-29,2.4914959277805822e-26,-1.0545673621623335,0.08094533831057153,8.426110689436411e-26,3.5043361005759384e-23,True,0.06160715497482405
IL18R1,IL18R1,-0.7906264115249161,0.055774461861413,4.8517666580235376e-29,2.623142299136555e-26,-0.7649053310999117,0.056181868264982386,2.7089001989381917e-27,1.5250710298062619e-24,True,0.025721080425004428
SLCO2B1,SLCO2B1,-0.9115062462448013,0.0643533154361477,5.188464527672844e-29,2.7656708241451607e-26,-0.9029961042516459,0.06723401249888425,7.951330814462903e-27,3.959553500054777e-24,True,0.008510141993155362
BTG2,BTG2,-1.520996290714563,0.1077966046115479,7.154184281631973e-29,3.7605174767033847e-26,-1.539628413076799,0.11407804241757112,5.4160031510070064e-27,2.8221857612682876e-24,True,0.01863212236223588
MGST1,MGST1,-0.680607022866716,0.0482631755154055,7.496170388015963e-29,3.886302253491126e-26,-0.6710029917865845,0.04576476471123323,6.22745840077534e-30,5.611533110374846e-27,True,0.009604031080131525
CHRDL2,CHRDL2,-1.1713365464828265,0.083138498349789,8.0974565205022e-29,4.141301884796301e-26,-1.2026244434657676,0.0877436101197989,1.5895959709547679e-27,9.549182399484784e-25,True,0.0312878969829411
C10ORF71,C10ORF71,0.8531473994668584,0.060879329036199,1.265168019874347e-28,6.384206517355272e-26,0.8292228755384259,0.06044725460573926,1.4820864491713622e-27,9.04694254118377e-25,True,0.023924523928432473
INPP1,INPP1,-0.6956965648548641,0.049734227954199,1.471538582607295e-28,7.327874894388908e-26,-0.6335189220850326,0.04465541952986432,9.701818273218204e-29,7.061057968619541e-26,True,0.06217764276983151
IRX6,IRX6,1.3843437618996128,0.0990719930751837,1.6102671695351844e-28,7.914567701068649e-26,1.3961086483747014,0.10335623051393648,5.064830263134528e-27,2.7195572857082053e-24,True,0.011764886475088554
SAP18,SAP18,0.6348444762215757,0.0454612516776687,1.694530701169534e-28,8.221949861084896e-26,0.6257939773075715,0.04849657447833448,1.7494333631795653e-25,6.657750531084012e-23,True,0.009050498914004224
IL13RA1,IL13RA1,-0.8333527488188218,0.0597641505235483,1.9138274206007485e-28,9.168444627855182e-26,-0.792172961894362,0.061992132428791445,3.6566189014002357e-25,1.2580763540217575e-22,True,0.04117978692445978
HS.19985,HS.19985,-0.8437860797445577,0.060555879461068,2.0311371878018357e-28,9.608802251193532e-26,-0.7868952910737046,0.05986686486209511,4.264845272925456e-26,1.9270595837152505e-23,True,0.056890788670853065
MGC42367,MGC42367,-1.024647193707549,0.073583974157895,2.1444405467458873e-28,1.0019567522487018e-25,-0.9929392274734333,0.07653291164233553,1.1581966062687469e-25,4.6630966766858507e-23,True,0.03170796623411565
MFSD10,MFSD10,-0.6627309270829735,0.047617868350523,2.237816182366147e-28,1.032834039485722e-25,-0.6290562157627557,0.048786416118288455,1.853187287216367e-25,6.876051575685354e-23,True,0.03367471132021782
CHST7,CHST7,-1.0712849728584914,0.0770436996082137,2.4145434704468846e-28,1.1009736407534073e-25,-1.0836543284379387,0.0792977374993435,2.0131962682026324e-27,1.1544155449454065e-24,True,0.012369355579447294
BCL6,BCL6,-0.9323436232772148,0.0673005561302726,3.2785825441411237e-28,1.4771575591138688e-25,-0.9309806268648884,0.07106386036576122,5.504679721359051e-26,2.367387599256303e-23,True,0.0013629964123264005
NFKBIA,NFKBIA,-1.0725340973398656,0.0781975994780939,7.440344585653876e-28,3.31279154339596e-25,-1.0712710129290193,0.08143556471453332,4.0042301545543895e-26,1.8480987125520175e-23,True,0.0012630844108463268
LMOD2,LMOD2,1.2849898225636176,0.093702254549016,7.536141974018286e-28,3.31642824591507e-25,1.2676731706315298,0.09398848090849601,5.699918247361259e-27,2.9151230539139756e-24,True,0.017316651932087757
MNS1,MNS1,0.4712037663543768,0.0344330781523666,8.95234959544793e-28,3.894374974589913e-25,0.4724923492928288,0.03669848622857245,2.0736134770735277e-25,7.619220937215993e-23,True,0.0012885829384520209
TUBB2C,TUBB2C,-0.9614465338335776,0.0704039732554349,1.0607900665715792e-27,4.562120552212271e-25,-0.9562028890368629,0.07410738525172618,1.7591688767859251e-25,6.657750531084012e-23,True,0.005243644796714686
LOC653879,LOC653879,-1.1338543423292229,0.0831393203246621,1.1818489235253875e-27,5.025646557274361e-25,-1.1537518760283936,0.08660556641012547,1.5030642261309298e-26,7.022835642240885e-24,True,0.01989753369917069
SLC15A3,SLC15A3,-0.8943269381867467,0.0657893829801252,1.53820695421754e-27,6.468331154368558e-25,-0.8873090563256332,0.06924579239019948,2.970468384539863e-25,1.0409291340860709e-22,True,0.007017881861113517
ZGPAT,ZGPAT,-0.4174418770766822,0.0307135862715119,1.5598886448977619e-27,6.487422599428648e-25,-0.41194680347832274,0.0315385254424701,6.918314538664546e-26,2.909228133669982e-23,True,0.0054950735983594345
C1QC,C1QC,-1.3306566240510418,0.0979791121492352,1.6598400518881234e-27,6.828076804756296e-25,-1.2910467994134887,0.10399724055489666,3.132860778836879e-24,8.591757176511633e-22,True,0.03960982463755314
NNMT,NNMT,-0.9074912263251113,0.0668595901603212,1.7402465695031855e-27,7.081867921442749e-25,-0.8532447044198802,0.06762352364373933,9.442543096274777e-25,3.0030461010219767e-22,True,0.05424652190523105
RHBDF2,RHBDF2,-0.5828831097929374,0.0429694520593332,1.82562436398573e-27,7.35027443397914e-25,-0.5583489806847289,0.0440881707682865,7.166431277137478e-25,2.318126137731154e-22,True,0.024534129108208513
CYBA,CYBA,-0.9837968716187736,0.0725371926730875,1.851981572301466e-27,7.3779046931917135e-25,-0.9000680138514638,0.07317321218092447,6.130926942239073e-24,1.5468737403731997e-21,True,0.08372885776730976
MT2A,MT2A,-1.7469835257087585,0.1288360220990243,1.884401333963675e-27,7.428859675540547e-25,-1.7439476046609776,0.13593577924974798,2.71471044465585e-25,9.692540706457104e-23,True,0.003035921047780832
ZNF415,ZNF415,0.5897208672730991,0.043502627101521,1.9271518230587904e-27,7.519070917060101e-25,0.5713574431241862,0.044518371720435886,2.6361072112647925e-25,9.501534620716889e-23,True,0.0183634241489129
DOCK2,DOCK2,-0.8696844460517674,0.0643209777727873,2.374217416627396e-27,9.168840035681676e-25,-0.8352341812729795,0.06814932916041,7.977105308689995e-24,1.960399529303127e-21,True,0.034450264778787876
C1ORF162,C1ORF162,-1.0425221182856808,0.0771206269516872,2.416182554499562e-27,9.236651005817216e-25,-0.9978384113579145,0.07595877114572701,4.457006971674959e-26,1.9844692452942408e-23,True,0.04468370692776624
LAPTM5,LAPTM5,-1.1307037878033404,0.0837128685219584,2.582265033371393e-27,9.75537236775433e-25,-1.0366069094948025,0.08461109424449843,8.192516093527805e-24,2.0003481553267955e-21,True,0.09409687830853786
C1QB,C1QB,-1.4686261290314475,0.1087423235370074,2.603426013695469e-27,9.75537236775433e-25,-1.3837270021181736,0.11381249158091732,1.4231452653800073e-23,3.387443755570551e-21,True,0.08489912691327395
HEG1,HEG1,0.6745880544808878,0.050009387814277,2.8699466303182002e-27,1.0648627467747315e-24,0.6512324729600206,0.05163350307693354,9.723679495343647e-25,3.066686451506464e-22,True,0.02335558152086714
LRRC8A,LRRC8A,-0.9610473045856334,0.0714255208931647,3.5155027944694705e-27,1.2917254248494332e-24,-0.9096819698797612,0.06776136209786227,8.228569001760458e-27,4.0443950966315104e-24,True,0.05136533470587212
CEBPB,CEBPB,-1.0124135358926,0.0752910094159688,3.699927100672798e-27,1.3464177024236798e-24,-0.9880114315593475,0.07367701593594661,8.970761293406207e-27,4.297562429243687e-24,True,0.024402104333252628
C5ORF4,C5ORF4,0.5670466035406372,0.0422199663632026,4.0684798257427036e-27,1.4664351189053178e-24,0.5266210853949933,0.041824493714672284,1.1029999838562679e-24,3.4216506056577306e-22,True,0.04042551814564388
ZNF627,ZNF627,0.4700038473575225,0.035056348137382,4.686261450952997e-27,1.6731721780449733e-24,0.47114970430749464,0.037508461471724756,1.3168463112817807e-24,4.019142378771796e-22,True,0.0011458569499721571
FGD2,FGD2,-0.7057674277975343,0.0526800137493265,4.970070035183847e-27,1.7579184163697934e-24,-0.6834302877303793,0.055460422877994714,5.3734236356195504e-24,1.3834189858071938e-21,True,0.022337140067155037
CD14,CD14,-1.3936195969329963,0.1040485015695502,5.069315627111983e-27,1.7764196224414824e-24,-1.314814253008998,0.10927581103936594,2.994763012859111e-23,6.551433582928666e-21,True,0.0788053439239984
CD68,CD68,-0.9380879458277706,0.0701819189865665,5.97169519223464e-27,2.073438314177176e-24,-0.8865657739009912,0.07167945756928489,4.104418647417441e-24,1.0787210286816698e-21,True,0.051522171926779325
MBP,MBP,0.9628954772191568,0.0722302007128372,7.386997088627173e-27,2.5415299256016732e-24,0.9443088052352989,0.07397661946317378,3.9624580046821147e-25,1.3389570146892796e-22,True,0.018586671983857883
MASP1,MASP1,0.8251941057232695,0.0619417636476399,7.787345294664154e-27,2.655133964160897e-24,0.8090952008094126,0.06256617669531754,1.4842392543268632e-25,5.790981321572625e-23,True,0.016098904913856904
TSPYL2,TSPYL2,-0.6876015269741178,0.0516391575910096,8.100186841093197e-27,2.7371399213215454e-24,-0.6946135611440336,0.05313779338214614,6.514859786741873e-26,2.77035262347228e-23,True,0.007012034169915804
S100A10,S100A10,-1.0355967191122415,0.0777929722773554,8.261159700901244e-27,2.766830531330164e-24,-1.0120529287645696,0.0784485871228092,1.7809632513798423e-25,6.673498535814011e-23,True,0.023543790347671845
VAMP8,VAMP8,-0.9320003317157726,0.0700735564251198,8.870241461952954e-27,2.9442270805167933e-24,-0.8698363501483348,0.07160324464299535,1.5093428770531056e-23,3.547986989127444e-21,True,0.06216398156743774
TKT,TKT,-1.0392504482218217,0.0781456884155768,8.94641743538105e-27,2.9442270805167933e-24,-0.9900681511901667,0.07854532413813606,1.0165617569280063e-24,3.1795699382394483e-22,True,0.049182297031655
TDRD9,TDRD9,-0.7225581498717963,0.0543477379370951,9.151579322157474e-27,2.985781646779067e-24,-0.7419897989327184,0.053832695919218874,1.0137220644753792e-27,6.394220875355867e-25,True,0.019431649060922096
SRGN,SRGN,-1.2063806352070647,0.0909912672978706,1.1410168395297408e-26,3.6908481460549214e-24,-1.1782104437098124,0.09493445735332243,3.197553880943908e-24,8.706088070374325e-22,True,0.028170191497252306
IVNS1ABP,IVNS1ABP,0.7834120268592144,0.0590989814351418,1.1566212567650654e-26,3.7096176341975136e-24,0.7470644219293336,0.06259286202534653,5.306931409554111e-23,1.0975198148960924e-20,True,0.03634760492988076
MTCH1,MTCH1,-0.5050814818456729,0.0381112165079732,1.1782713275275464e-26,3.747298879126683e-24,-0.5277379525078314,0.03652062114686264,2.110158224017719e-29,1.7274724369535865e-26,True,0.02265647066215848
LILRA5,LILRA5,-0.7701523222796332,0.0581231554535361,1.1958588307030014e-26,3.771539442232149e-24,-0.7151632172219449,0.05807324871505637,5.633305110598222e-24,1.4405274676736508e-21,True,0.05498910505768828
