dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction
GSE57338,DCM_HF_vs_Control,SERPINA3,-2.6390867221318963,0.1085599588959931,-24.30994584900588,6.885047357101312e-74,1.4079921845272183e-69,5.912630634096042,8.551717356227941,177,136,2.6390867221318963,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,TUBA3D,-0.9945938833178385,0.0431933977323208,-23.02652570843258,3.592158161447464e-69,3.672981720080032e-65,6.8976564434689225,7.892250326786766,177,136,0.9945938833178385,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HMOX2,-0.6683521032758386,0.02930291790637877,-22.80838056507503,2.3140542541297086e-68,1.5774136498984178e-64,8.266871691841812,8.935223795117643,177,136,0.6683521032758386,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,FREM1,1.0546407003114,0.046587260189731236,22.63796359812256,9.948671665934978e-68,5.086258389209257e-64,6.067661451723167,5.013020751411766,177,136,1.0546407003114,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HMGN2,0.5776249847071702,0.026203119307398978,22.044130621657175,1.6367814235382941e-65,6.6944360222716235e-62,9.313966417694912,8.736341432987748,177,136,0.5776249847071702,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,FCN3,-1.7868957692774599,0.08538886202917023,-20.926567315852353,2.6313117108957714e-61,8.96838741463642e-58,7.232934008774009,9.019829778051468,177,136,1.7868957692774599,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,MNS1,1.061537773299435,0.05099487034669452,20.816559902642126,6.862325939951745e-61,2.0047795067430454e-57,5.213889936299437,4.152352163000001,177,136,1.061537773299435,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SMOC2,1.1855172672016039,0.058151829592726065,20.3865858650455,2.9315345371762162e-59,7.493735160656702e-56,7.56781564028248,6.38229837308088,177,136,1.1855172672016039,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ZMAT1,0.7333669478849281,0.03746126238134145,19.57667471051911,3.564511127539876e-56,8.099361395354496e-53,7.071278615723166,6.337911667838236,177,136,0.7333669478849281,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,FURIN,-0.6034456256078022,0.0318954844790212,-18.919468867284646,1.16332232498151e-53,2.3789941545871883e-50,6.589357875796614,7.1928035014044145,177,136,0.6034456256078022,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,LAD1,-0.669342856095339,0.03542450393658084,-18.894911197447914,1.4446869043447102e-53,2.6858042903499387e-50,5.240751232779659,5.910094088874997,177,136,0.669342856095339,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ECM2,1.0004348062488377,0.0534082445925287,18.731842131894165,6.090742320743467e-53,1.037964003826699e-49,6.629930372028247,5.629495565779416,177,136,1.0004348062488377,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,LCN6,-0.917414388416085,0.04963170698436257,-18.484441582981102,5.412558872761303e-52,8.51437145753605e-49,5.2345972198192126,6.152011608235294,177,136,0.917414388416085,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GGT5,-0.8300973886780492,0.04509128557801761,-18.40926418568844,1.0515575337799477e-51,1.5360251118428522e-48,6.552736999395482,7.382834388073526,177,136,0.8300973886780492,down_in_DCM_HF
