file_path,relative_path,exists,size_MB,github_recommended,reason
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE36961/GSE36961_disease_only_DE_gene_level.csv,results/differential_expression/GSE36961/GSE36961_disease_only_DE_gene_level.csv,True,7.9841,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE36961/GSE36961_disease_only_DE_locked_MCI_target_genes.csv,results/differential_expression/GSE36961/GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,0.069,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE36961/GSE36961_adjusted_age_sex_DE_gene_level.csv,results/differential_expression/GSE36961/GSE36961_adjusted_age_sex_DE_gene_level.csv,True,9.9994,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE36961/GSE36961_adjusted_age_sex_DE_locked_MCI_target_genes.csv,results/differential_expression/GSE36961/GSE36961_adjusted_age_sex_DE_locked_MCI_target_genes.csv,True,0.0744,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE36961/GSE36961_disease_only_vs_adjusted_age_sex_DE_comparison.csv,results/differential_expression/GSE36961/GSE36961_disease_only_vs_adjusted_age_sex_DE_comparison.csv,True,7.2268,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE36961_STEP3_DE_QA_metrics.json,results/quality_control/differential_expression/GSE36961_STEP3_DE_QA_metrics.json,True,0.0014,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE36961_STEP3_DE_QA_metrics.csv,results/quality_control/differential_expression/GSE36961_STEP3_DE_QA_metrics.csv,True,0.0012,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE36961/STEP3_GSE36961_DE_COMPLETE.txt,results/differential_expression/GSE36961/STEP3_GSE36961_DE_COMPLETE.txt,True,0.0002,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_gene_level.csv,results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_gene_level.csv,True,4.2472,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,results/differential_expression/GSE249925/GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,0.0765,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE249925/GSE249925_H4_prespecified_target_DE_snapshot.csv,results/differential_expression/GSE249925/GSE249925_H4_prespecified_target_DE_snapshot.csv,True,0.0024,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE249925_STEP3_DE_QA_metrics.json,results/quality_control/differential_expression/GSE249925_STEP3_DE_QA_metrics.json,True,0.0013,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE249925_STEP3_DE_QA_metrics.csv,results/quality_control/differential_expression/GSE249925_STEP3_DE_QA_metrics.csv,True,0.001,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE249925_FINAL_DE_for_MCI_summary.json,results/quality_control/differential_expression/GSE249925_FINAL_DE_for_MCI_summary.json,True,0.0016,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE249925/STEP3_GSE249925_DE_COMPLETE.txt,results/differential_expression/GSE249925/STEP3_GSE249925_DE_COMPLETE.txt,True,0.0002,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_HCM_vs_Control_disease_only_DE_gene_level.csv,results/differential_expression/GSE141910/GSE141910_HCM_vs_Control_disease_only_DE_gene_level.csv,True,3.6359,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,results/differential_expression/GSE141910/GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,0.0334,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_HCM_vs_Control_H4_prespecified_target_DE_snapshot.csv,results/differential_expression/GSE141910/GSE141910_HCM_vs_Control_H4_prespecified_target_DE_snapshot.csv,True,0.0121,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE141910_HCM_vs_Control_STEP3_DE_QA_metrics.json,results/quality_control/differential_expression/GSE141910_HCM_vs_Control_STEP3_DE_QA_metrics.json,True,0.0015,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE141910_HCM_vs_Control_STEP3_DE_QA_metrics.csv,results/quality_control/differential_expression/GSE141910_HCM_vs_Control_STEP3_DE_QA_metrics.csv,True,0.0013,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/STEP3_GSE141910_HCM_vs_Control_DE_COMPLETE.txt,results/differential_expression/GSE141910/STEP3_GSE141910_HCM_vs_Control_DE_COMPLETE.txt,True,0.0002,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_gene_level.csv,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_gene_level.csv,True,3.6837,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,0.0353,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_H4_prespecified_target_DE_snapshot.csv,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_H4_prespecified_target_DE_snapshot.csv,True,0.008,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE141910_DCM_vs_Control_STEP3_DE_QA_metrics.json,results/quality_control/differential_expression/GSE141910_DCM_vs_Control_STEP3_DE_QA_metrics.json,True,0.0015,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE141910_DCM_vs_Control_STEP3_DE_QA_metrics.csv,results/quality_control/differential_expression/GSE141910_DCM_vs_Control_STEP3_DE_QA_metrics.csv,True,0.0013,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/STEP3_GSE141910_DCM_vs_Control_DE_COMPLETE.txt,results/differential_expression/GSE141910/STEP3_GSE141910_DCM_vs_Control_DE_COMPLETE.txt,True,0.0002,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/differential_expression/GSE141910/GSE141910_STEP3_DE_file_manifest_CODE15.csv,results/differential_expression/GSE141910/GSE141910_STEP3_DE_file_manifest_CODE15.csv,True,0.0059,True,Safe locked DE/QC/manifest/completion output for GitHub.
/content/drive/MyDrive/MCI_Project/results/quality_control/differential_expression/GSE141910_STEP3_COMPLETION_SUMMARY_CODE15.json,results/quality_control/differential_expression/GSE141910_STEP3_COMPLETION_SUMMARY_CODE15.json,True,0.0012,True,Safe locked DE/QC/manifest/completion output for GitHub.
