gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction
ACTC1,-0.0379735325882936,0.8120481730950254,0.0637474719892316,0.5523260537857642,DCM_TTN_related,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
LMNA,-0.5129365916265141,2.5909063902644696e-16,0.0512566129980918,3.3818838365762517e-18,DCM_RNA_processing,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,82,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PLN,0.330043208555151,0.0002921462667866,0.0771675869230013,3.4466867864572055e-05,DCM_RNA_processing,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
RBM20,0.8235595133730028,1.0031201789497471e-14,0.088219925009888,1.7891088114756624e-16,DCM_RNA_processing,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,9,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
SCN5A,0.0464045167283489,0.0837197821256219,0.0196167121467321,0.0193449151670588,DCM_RNA_processing,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,28,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TNNT2,0.0379053936284437,0.7042390838481823,0.0448157986456867,0.3990750077829658,DCM_TTN_related,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TTN,0.0245110130324128,0.8943587158326973,0.065988221605729,0.7108556822283563,DCM_TTN_related,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1111,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
ABCC9,0.0203817843756641,0.8069981533421732,0.0334625223043789,0.5434293160274747,,DCM,ClinVar_PLP_review2plus,False,True,9,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
ACTN2,0.3426919379487149,7.89448560835886e-09,0.0509524558737118,3.886124475075981e-10,,DCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
BAG3,-0.4216179181253052,2.492225589324881e-06,0.0770601646403808,1.945260897021006e-07,,DCM,ClinVar_PLP_review2plus,False,True,43,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
CCDC30,,,,,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
CEP85L,,,,,,DCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
CSRP3,0.097889451561438,0.6921188074381123,0.1124482459791489,0.3854704208062594,,DCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
