gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction,abs_log2FC_calc
ACTC1,-0.043513132533908,0.731318077032931,0.0862643551427661,0.6145473626317348,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.043513132533908
ACTC1,0.2628886150655369,0.0075797885381488,0.0871655862463068,0.003137570751511,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.2628886150655369
ACTC1,-0.0379735325882936,0.8120481730950254,0.0637474719892316,0.5523260537857642,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0379735325882936
ACTN2,0.1618142522048826,0.0330796504023443,0.0630146083317134,0.0109926002957501,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.1618142522048826
ACTN2,0.230575361126692,0.0017606495277162,0.0652985740832255,0.0005912961101865,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.230575361126692
ACTN2,0.3426919379487149,7.89448560835886e-09,0.0509524558737118,3.886124475075981e-10,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.3426919379487149
ALPK3,0.3189508504500202,0.0265516880786465,0.1198158385475857,0.0084260340010829,,HCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.3189508504500202
ALPK3,0.4300191019143207,8.067123952508962e-05,0.0963183661127049,1.8474920508046272e-05,,HCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.4300191019143207
ALPK3,0.06823707330624,0.458640032798237,0.0511513665986658,0.1843171428856611,,HCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.06823707330624
BAG3,-0.1710872912614531,0.1841042284836613,0.1012639472327967,0.0927432633737711,HCM_non_sarcomeric,HCM,PreSpecified_H4_Stratum,True,False,0,,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.1710872912614531
BAG3,-0.5495780678896001,0.0001073243812295,0.1253307934320202,2.5335769510535456e-05,HCM_non_sarcomeric,HCM,PreSpecified_H4_Stratum,True,False,0,,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.5495780678896001
BAG3,-0.4216179181253052,2.492225589324881e-06,0.0770601646403808,1.945260897021006e-07,HCM_non_sarcomeric,HCM,PreSpecified_H4_Stratum,True,False,0,,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.4216179181253052
CACNA1C,-0.0816768650585157,0.5053459664741419,0.0888058773661141,0.3588712483787362,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0816768650585157
CACNA1C,-0.202467326923923,0.0513617441302739,0.0912013764765533,0.0283291207199014,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.202467326923923
CACNA1C,0.0911373298630856,0.4028138740452049,0.0629883780594907,0.1501159139548055,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0911373298630856
CASR,-0.0135691425418498,0.8291552979366176,0.024663162238062,0.583055275167447,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0135691425418498
CAV3,0.0848428805938757,0.710835483732169,0.1568838944456551,0.5892719801673201,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.0848428805938757
CAV3,0.5251589830466012,3.2099484480510006e-06,0.0987533918821668,5.047680552993549e-07,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.5251589830466012
CAV3,0.4731388857513285,3.2513003854312975e-13,0.0544555436629849,7.688828000214055e-15,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.4731388857513285
CEP85L,-0.2729891245687437,0.1268641692743559,0.1428989449795317,0.0575764462941251,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.2729891245687437
