gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-2.4159978488662484,0.44094915612907926,1.0223913546866435e-35,3,1.0,0.9087438847811883,1.0,0.9680603596734159,HIGH
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.09247562371886907,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,3,GSE141910|GSE249925|GSE36961,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2450271837600965,0.09130074305875979,7.89448560835886e-09,3,1.0,0.8136926245127329,1.0,0.9347924185794565,HIGH
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.5615719330364249,0.22624608361421614,3.0588594203661688e-12,3,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.332139698146006,0.18209993462226903,3.645971157622413e-10,3,1.0,0.7258684589063796,1.0,0.9040539606172329,HIGH
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.46664017990704765,0.3163765295613309,4.693406821358356e-07,3,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.19252474426121322,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.21808565495412738,0.01687362208966747,0.0146968358731026,1,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.36104691646393516,0.24060969370296414,3.2513003854312975e-13,2,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.27240234189019363,0.18532844302157916,8.067123952508962e-05,2,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH
