gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_log2FC,GSE141910_FDR,GSE141910_SE,GSE141910_p_value,GSE249925_log2FC,GSE249925_FDR,GSE249925_SE,GSE249925_p_value,GSE36961_log2FC,GSE36961_FDR,GSE36961_SE,GSE36961_p_value
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-2.4159978488662484,0.44094915612907926,1.0223913546866435e-35,3,1.0,0.9087438847811883,1.0,0.9680603596734159,HIGH,-2.743184915210445,1.499044514363099e-20,0.2424555387314312,4.534461881074572e-23,-2.590261720531984,1.3348183553712822e-25,0.1775291126706898,3.458078640858244e-28,-1.9145469108563165,1.0223913546866435e-35,0.1047134881254452,2.9715967081205617e-39
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.09247562371886907,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH,0.5216546375856148,0.0048337355573696,0.157472788211246,0.0011042959767472,0.408234870196916,0.0256029500241555,0.1612279787381082,0.01265425724055,0.3384252288340567,1.8888011868672745e-07,0.0559364575559216,1.2042692131032958e-08
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,3,GSE141910|GSE249925|GSE36961,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH,-0.4111015190743852,2.316239392365999e-06,0.0758568346400058,1.7791240835869125e-07,-0.6492459624229141,5.314147751268396e-13,0.0742407138050206,1.819959611517421e-14,-0.5106256107532672,3.5664993852147904e-20,0.0439981513663339,2.3411869305209306e-22
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2450271837600965,0.09130074305875979,7.89448560835886e-09,3,1.0,0.8136926245127329,1.0,0.9347924185794565,HIGH,0.1618142522048826,0.0330796504023443,0.0630146083317134,0.0109926002957501,0.230575361126692,0.0017606495277162,0.0652985740832255,0.0005912961101865,0.3426919379487149,7.89448560835886e-09,0.0509524558737118,3.886124475075981e-10
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.5615719330364249,0.22624608361421614,3.0588594203661688e-12,3,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH,-0.3257268882396701,0.0028294820683606,0.093185329604639,0.0005876604846781,-0.7768090303163863,2.0999825802606102e-09,0.1107335114297235,1.5511687326707018e-10,-0.5821798805532185,3.0588594203661688e-12,0.0703949117023426,8.405680381495575e-14
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.332139698146006,0.18209993462226903,3.645971157622413e-10,3,1.0,0.7258684589063796,1.0,0.9040539606172329,HIGH,-0.1219077685477436,0.0349581201454645,0.0479429533059291,0.0117866054864195,-0.433750235370922,3.161974888141509e-09,0.0626324116352243,2.4375138149454316e-10,-0.4407610905193525,3.645971157622413e-10,0.0599765552662587,1.4065206072316027e-11
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.46664017990704765,0.3163765295613309,4.693406821358356e-07,3,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH,-0.710044935498903,4.693406821358356e-07,0.1228702484612385,2.996600692943108e-08,-0.5808608874031778,9.743404645131927e-05,0.1316431875657013,2.273625259349944e-05,-0.1090147168190623,0.0410327279441679,0.0407621410943813,0.0083581170988107
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.19252474426121322,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH,-0.1710872912614531,0.1841042284836613,0.1012639472327967,0.0927432633737711,-0.5495780678896001,0.0001073243812295,0.1253307934320202,2.5335769510535456e-05,-0.4216179181253052,2.492225589324881e-06,0.0770601646403808,1.945260897021006e-07
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.21808565495412738,0.01687362208966747,0.0146968358731026,1,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH,-0.2142254910891646,0.0938865333151366,0.1033964236202358,0.0396125809822574,-0.2365548866116291,0.0146968358731026,0.0856460884206196,0.0066649305611814,-0.2034765871615884,0.2066365594253865,0.1069608853661458,0.0591365157516345
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH,0.150925016046866,0.2989243500926736,0.1108388574062277,0.1749003395868839,0.8086368574171772,2.855344453100908e-13,0.0911381399594163,9.165392279636428e-15,0.8235595133730028,1.0031201789497473e-14,0.088219925009888,1.7891088114756624e-16
