gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,bootstrap_n,MCI_bootstrap_mean,MCI_bootstrap_median,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,tier_stability_note
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-2.4159978488662484,0.4409491561290792,1.0223913546866435e-35,3,1.0,0.9087438847811884,1.0,0.968060359673416,HIGH,1000,0.9765992011063438,0.9680941232395492,0.9617837957178976,1.0,0.03821620428210237,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.092475623718869,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH,1000,0.9724444345564045,0.9743084121975354,0.9536602195813106,1.0,0.04633978041868936,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,3,GSE141910|GSE249925|GSE36961,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH,1000,0.9711129268032611,0.9748475714213589,0.9509437988197817,1.0,0.04905620118021825,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2450271837600965,0.0913007430587597,7.89448560835886e-09,3,1.0,0.8136926245127329,1.0,0.9347924185794564,HIGH,1000,0.9519340136821807,0.9577236529209789,0.9177188161943441,1.0,0.08228118380565586,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.5615719330364249,0.2262460836142161,3.0588594203661688e-12,3,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH,1000,0.9471680485590526,0.9369884392064927,0.9042704134486832,1.0,0.0957295865513168,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.332139698146006,0.182099934622269,3.645971157622413e-10,3,1.0,0.7258684589063796,1.0,0.9040539606172328,HIGH,1000,0.9269957180987914,0.9040539606172329,0.8588218279454006,1.0,0.14117817205459937,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.4666401799070476,0.3163765295613309,4.693406821358356e-07,3,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH,1000,0.9042808098783424,0.8813520672732007,0.8037036585699497,1.0,0.19629634143005026,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.1925247442612132,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH,1000,0.8471164940574705,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.2180856549541273,0.0168736220896674,0.0146968358731026,1,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH,1000,0.8226550399667713,0.8197933145443262,0.7447549899346929,1.0,0.2552450100653071,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH,1000,0.8186375091151197,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,0.771,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.3610469164639351,0.2406096937029641,3.2513003854312975e-13,2,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH,1000,0.8185351573465472,0.8000427752056666,0.6412562876994091,1.0,0.3587437123005909,0.763,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.2724023418901936,0.1853284430215791,8.067123952508962e-05,2,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH,1000,0.8144570343681291,0.7985343062627502,0.6397575936793855,1.0,0.36024240632061455,0.789,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
PMS2,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,3,GSE141910|GSE249925|GSE36961,0.1370606832033087,0.1106295196518835,0.0001046892457475,2,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,HIGH,1000,0.8294314500121889,0.8125030462739969,0.6746318002650559,1.0,0.32536819973494413,0.908,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TNNC1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.1299762378745638,0.0431896359044197,0.0197426142010275,1,1.0,0.8338556469602514,0.3333333333333333,0.7751828097694213,HIGH,1000,0.7906359012171638,0.7751828097694213,0.6743865142816066,1.0,0.32561348571839344,0.787,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
KIF5B,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.321913670100112,0.2706686852640833,2.505756121928153e-09,2,1.0,0.579594297471263,0.6666666666666666,0.7695246707816087,HIGH,1000,0.7878946592488424,0.7698187720499566,0.5484836045565706,1.0,0.45151639544342936,0.774,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
MYL3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,3,GSE141910|GSE249925|GSE36961,-0.3041335448558479,0.2850764072358427,2.143243221901844e-05,2,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,HIGH,1000,0.7933290868364073,0.7883768003265806,0.6108987375679494,1.0,0.38910126243205057,0.766,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
FLNC,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,3,GSE141910|GSE249925|GSE36961,-0.4688656469169615,0.5044500897403315,1.016185552118092e-05,2,1.0,0.4620526231156447,0.6666666666666666,0.7283850847571424,HIGH,1000,0.7629415990015539,0.7736751959038533,0.5626445724244521,1.0,0.4373554275755479,0.748,1.0,0.0,HIGH,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
MT-TL1,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,2,GSE141910|GSE249925,-0.3984599964379101,0.378689723917444,0.0193693541020183,1,1.0,0.5248083530306746,0.5,0.7086829235607361,HIGH,1000,0.792630681315443,0.75,0.7086829235607361,1.0,0.29131707643926386,1.0,1.0,0.0,HIGH,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
LAMP2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.1173363951143119,0.0958734471048353,0.0135238106609304,1,1.0,0.591459039578329,0.3333333333333333,0.6903439971857486,MODERATE,1000,0.7205232401898026,0.6903439971857486,0.5810674459569171,1.0,0.41893255404308294,0.451,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
RAF1,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,3,GSE141910|GSE249925|GSE36961,-0.1572348444042574,0.1420532234473193,0.0001988088629154,1,1.0,0.5482768975746417,0.3333333333333333,0.6752302474844579,MODERATE,1000,0.7301968194013095,0.6991505365938835,0.6470003306746381,1.0,0.35299966932536186,0.443,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
SSUH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,2,GSE141910|GSE249925,0.5742054293823804,0.7148060414612941,1.4836386558915442e-08,1,1.0,0.377569416027514,0.5,0.6571492956096299,MODERATE,1000,0.7615748731511519,0.6571492956096299,0.6571492956096299,1.0,0.34285070439037013,0.465,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
CSRP3,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,3,GSE141910|GSE249925|GSE36961,0.2001976411705827,0.2175746481775564,0.0016196160006942,1,1.0,0.4566003702506983,0.3333333333333333,0.6431434629210778,MODERATE,1000,0.7107020814089364,0.6824805945744021,0.6164098516536075,1.0,0.3835901483463925,0.328,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
SLC25A4,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.0842482689144887,0.114269854115312,0.0076632974898595,1,1.0,0.3218266939627278,0.3333333333333333,0.5959726762202882,MODERATE,1000,0.6923303661033497,0.7137936315718616,0.5863013653604052,1.0,0.4136986346395948,0.579,1.0,0.0,HIGH,True,False,PRIMARY_TIER_DIFFERS_FROM_BOOTSTRAP_MAJORITY
PRKAG2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.1336291743048665,0.1904756327909202,1.5538981905361973e-05,1,1.0,0.2872977260326324,0.3333333333333333,0.5838875374447547,MODERATE,1000,0.6773830858345482,0.6878786990644548,0.5703568397147402,1.0,0.42964316028525984,0.321,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.0476605372000985,0.0722510543665977,0.0313314330687925,1,1.0,0.2420243390956957,0.3333333333333333,0.5680418520168269,MODERATE,1000,0.6376757066750749,0.5957759261690173,0.5205612837145948,1.0,0.47943871628540524,0.314,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
MT-TI,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,2,GSE141910|GSE249925,-0.2049254242782458,0.2413092288232419,0.1328220788472755,0,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE,1000,0.6440796867489769,0.5439293516517061,0.5439293516517061,0.75,0.20607064834829392,0.486,1.0,0.0,MODERATE,True,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
PTPN11,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,3,GSE141910|GSE249925|GSE36961,0.3337111709803695,0.4131719225570806,1.0519159325724516e-18,2,0.3333333333333333,0.3809438243507508,0.6666666666666666,0.4333303385227627,UNSTABLE,1000,0.5719075302145818,0.4333303385227627,0.21666666666666667,1.0,0.7833333333333333,0.343,0.343,0.657,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2662414927797327,0.360495812616969,0.0002921462667866,2,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.4130468243349183,UNSTABLE,1000,0.5533853720950171,0.41304682433491835,0.21666666666666667,1.0,0.7833333333333333,0.346,0.346,0.654,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
LZTR1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.2034731979081104,0.2775036453680588,6.145025628838597e-05,2,0.3333333333333333,0.3180830492147154,0.6666666666666666,0.4113290672251504,UNSTABLE,1000,0.5551979702467771,0.4113290672251504,0.21666666666666667,1.0,0.7833333333333333,0.356,0.356,0.644,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
LMNA,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.3461623578906416,0.4945396786888619,2.5909063902644696e-16,2,0.3333333333333333,0.2856824732441083,0.6666666666666666,0.3999888656354379,UNSTABLE,1000,0.5570695182697102,0.3999888656354379,0.21666666666666667,1.0,0.7833333333333333,0.358,0.358,0.642,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
