gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,MCI_tier,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,tier_stability_note,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,mean_log2FC_rounded,sd_log2FC_rounded,min_FDR_rounded,D_g_direction_agreement_rounded,S_g_effect_size_consistency_rounded,R_g_statistical_reproducibility_rounded,MCI_rounded,MCI_CI95_lower_rounded,MCI_CI95_upper_rounded,MCI_CI95_width_rounded,bootstrap_prob_HIGH_rounded,bootstrap_prob_MODERATE_or_HIGH_rounded,bootstrap_prob_UNSTABLE_rounded
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.1925247442612132,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3808,0.1925,0.0,1.0,0.7472,0.6667,0.8282,0.7047,1.0,0.2953,1.0,1.0,0.0
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,HIGH,0.771,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.5944,0.3841,0.0,1.0,0.6769,0.6667,0.8036,0.6522,1.0,0.3478,0.771,1.0,0.0
FLNC,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,3,GSE141910|GSE249925|GSE36961,-0.4688656469169615,0.5044500897403315,1.016185552118092e-05,2,1.0,0.4620526231156447,0.6666666666666666,0.7283850847571424,0.5626445724244521,1.0,0.4373554275755479,HIGH,0.748,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,-0.4689,0.5045,0.0,1.0,0.4621,0.6667,0.7284,0.5626,1.0,0.4374,0.748,1.0,0.0
CSRP3,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,3,GSE141910|GSE249925|GSE36961,0.2001976411705827,0.2175746481775564,0.0016196160006942,1,1.0,0.4566003702506983,0.3333333333333333,0.6431434629210778,0.6164098516536075,1.0,0.3835901483463925,MODERATE,0.328,1.0,0.0,MODERATE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.2002,0.2176,0.0016,1.0,0.4566,0.3333,0.6431,0.6164,1.0,0.3836,0.328,1.0,0.0
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2662414927797327,0.360495812616969,0.0002921462667866,2,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.4130468243349183,0.2166666666666666,1.0,0.7833333333333333,UNSTABLE,0.346,0.346,0.654,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.2662,0.3605,0.0003,0.3333,0.323,0.6667,0.413,0.2167,1.0,0.7833,0.346,0.346,0.654
LMNA,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.3461623578906416,0.4945396786888619,2.5909063902644696e-16,2,0.3333333333333333,0.2856824732441083,0.6666666666666666,0.3999888656354379,0.2166666666666666,1.0,0.7833333333333333,UNSTABLE,0.358,0.358,0.642,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.3462,0.4945,0.0,0.3333,0.2857,0.6667,0.4,0.2167,1.0,0.7833,0.358,0.358,0.642
JPH2,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0199939792573354,0.1194447619036121,0.1762792525917891,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.107,0.34,0.66,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.02,0.1194,0.1763,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.107,0.34,0.66
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.092475623718869,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,0.9536602195813106,1.0,0.0463397804186893,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.4228,0.0925,0.0,1.0,0.8906,1.0,0.9617,0.9537,1.0,0.0463,1.0,1.0,0.0
MYL3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,3,GSE141910|GSE249925|GSE36961,-0.3041335448558479,0.2850764072358427,2.143243221901844e-05,2,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,0.6108987375679494,1.0,0.3891012624320505,HIGH,0.766,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,-0.3041,0.2851,0.0,1.0,0.5313,0.6667,0.7526,0.6109,1.0,0.3891,0.766,1.0,0.0
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.0476605372000985,0.0722510543665977,0.0313314330687925,1,1.0,0.2420243390956957,0.3333333333333333,0.5680418520168269,0.5205612837145948,1.0,0.4794387162854052,MODERATE,0.314,1.0,0.0,MODERATE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.0477,0.0723,0.0313,1.0,0.242,0.3333,0.568,0.5206,1.0,0.4794,0.314,1.0,0.0
MYL2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,3,GSE141910|GSE249925|GSE36961,0.2541927489442626,0.3745457850129671,8.171591169210441e-11,2,0.3333333333333333,0.2632642225858798,0.6666666666666666,0.3921424779050579,0.2166666666666666,1.0,0.7833333333333333,UNSTABLE,0.326,0.453,0.547,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.2542,0.3745,0.0,0.3333,0.2633,0.6667,0.3921,0.2167,1.0,0.7833,0.326,0.453,0.547
MYH7,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,3,GSE141910|GSE249925|GSE36961,0.2355887776832755,0.3687196073331015,3.624606772096488e-05,1,0.3333333333333333,0.2174508247824809,0.3333333333333333,0.292774455340535,0.1333333333333333,1.0,0.8666666666666667,UNSTABLE,0.22,0.449,0.551,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.2356,0.3687,0.0,0.3333,0.2175,0.3333,0.2928,0.1333,1.0,0.8667,0.22,0.449,0.551
ACTC1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,3,GSE141910|GSE249925|GSE36961,0.0604673166477784,0.1753238669769115,0.0075797885381488,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,0.2166666666666666,1.0,0.7833333333333333,UNSTABLE,0.339,0.567,0.433,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.0605,0.1753,0.0076,0.3333,0.0,0.3333,0.2167,0.2167,1.0,0.7833,0.339,0.567,0.433
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,3,GSE141910|GSE249925|GSE36961,-0.048889459351539,0.0751676362866279,0.233846544386933,0,0.3333333333333333,0.231249053644304,0.0,0.2142705021088397,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.315,0.315,0.685,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.0489,0.0752,0.2338,0.3333,0.2312,0.0,0.2143,0.1333,0.75,0.6167,0.315,0.315,0.685
MYBPC3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,3,GSE141910|GSE249925|GSE36961,0.0190331057431457,0.0641582785214783,0.698704809303921,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.093,0.309,0.691,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.019,0.0642,0.6987,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.093,0.309,0.691
