gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,MCI_tier,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,tier_stability_note,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,mean_log2FC_rounded,sd_log2FC_rounded,min_FDR_rounded,D_g_direction_agreement_rounded,S_g_effect_size_consistency_rounded,R_g_statistical_reproducibility_rounded,MCI_rounded,MCI_CI95_lower_rounded,MCI_CI95_upper_rounded,MCI_CI95_width_rounded,bootstrap_prob_HIGH_rounded,bootstrap_prob_MODERATE_or_HIGH_rounded,bootstrap_prob_UNSTABLE_rounded
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-2.4159978488662484,0.4409491561290792,1.0223913546866435e-35,3,1.0,0.9087438847811884,1.0,0.968060359673416,0.9617837957178976,1.0,0.0382162042821023,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-2.416,0.4409,0.0,1.0,0.9087,1.0,0.9681,0.9618,1.0,0.0382,1.0,1.0,0.0
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.092475623718869,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,0.9536602195813106,1.0,0.0463397804186893,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.4228,0.0925,0.0,1.0,0.8906,1.0,0.9617,0.9537,1.0,0.0463,1.0,1.0,0.0
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,3,GSE141910|GSE249925|GSE36961,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,1.0,0.8857976337228206,1.0,0.9600291718029872,0.9509437988197816,1.0,0.0490562011802182,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.5237,0.1196,0.0,1.0,0.8858,1.0,0.96,0.9509,1.0,0.0491,1.0,1.0,0.0
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2450271837600965,0.0913007430587597,7.89448560835886e-09,3,1.0,0.8136926245127329,1.0,0.9347924185794564,0.917718816194344,1.0,0.0822811838056558,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.245,0.0913,0.0,1.0,0.8137,1.0,0.9348,0.9177,1.0,0.0823,1.0,1.0,0.0
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.5615719330364249,0.2262460836142161,3.0588594203661688e-12,3,1.0,0.7985600149290748,1.0,0.9294960052251762,0.9042704134486832,1.0,0.0957295865513168,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.5616,0.2262,0.0,1.0,0.7986,1.0,0.9295,0.9043,1.0,0.0957,1.0,1.0,0.0
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.332139698146006,0.182099934622269,3.645971157622413e-10,3,1.0,0.7258684589063796,1.0,0.9040539606172328,0.8588218279454006,1.0,0.1411781720545993,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3321,0.1821,0.0,1.0,0.7259,1.0,0.9041,0.8588,1.0,0.1412,1.0,1.0,0.0
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.4666401799070476,0.3163765295613309,4.693406821358356e-07,3,1.0,0.6610059064948592,1.0,0.8813520672732007,0.8037036585699497,1.0,0.1962963414300502,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.4666,0.3164,0.0,1.0,0.661,1.0,0.8814,0.8037,1.0,0.1963,1.0,1.0,0.0
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.1925247442612132,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3808,0.1925,0.0,1.0,0.7472,0.6667,0.8282,0.7047,1.0,0.2953,1.0,1.0,0.0
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.2180856549541273,0.0168736220896674,0.0146968358731026,1,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,0.7447549899346929,1.0,0.2552450100653071,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.2181,0.0169,0.0147,1.0,0.9613,0.3333,0.8198,0.7448,1.0,0.2552,1.0,1.0,0.0
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,HIGH,0.771,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.5944,0.3841,0.0,1.0,0.6769,0.6667,0.8036,0.6522,1.0,0.3478,0.771,1.0,0.0
