gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,MCI_tier,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,tier_stability_note,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,mean_log2FC_rounded,sd_log2FC_rounded,min_FDR_rounded,D_g_direction_agreement_rounded,S_g_effect_size_consistency_rounded,R_g_statistical_reproducibility_rounded,MCI_rounded,MCI_CI95_lower_rounded,MCI_CI95_upper_rounded,MCI_CI95_width_rounded,bootstrap_prob_HIGH_rounded,bootstrap_prob_MODERATE_or_HIGH_rounded,bootstrap_prob_UNSTABLE_rounded
CEP85L,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,2,GSE141910|GSE249925,-0.1119601171554263,0.2277294062193911,0.1268641692743559,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,UNSTABLE,0.5,0.5,0.5,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.112,0.2277,0.1269,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5,0.5
DES,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.0473109209529854,0.1535557298408886,0.1301612926694358,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.091,0.312,0.688,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.0473,0.1536,0.1302,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.091,0.312,0.688
JPH2,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0199939792573354,0.1194447619036121,0.1762792525917891,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.107,0.34,0.66,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.02,0.1194,0.1763,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.107,0.34,0.66
CACNA1C,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.064335620706451,0.1475685016814658,0.0513617441302739,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.125,0.342,0.658,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.0643,0.1476,0.0514,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.125,0.342,0.658
MYBPC3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,3,GSE141910|GSE249925|GSE36961,0.0190331057431457,0.0641582785214783,0.698704809303921,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.093,0.309,0.691,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.019,0.0642,0.6987,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.093,0.309,0.691
MYO6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0005354183293971,0.052978628630767,0.6450664126415696,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.343,0.343,0.657,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.0005,0.053,0.6451,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.343,0.343,0.657
TTN,HCM,,ClinVar_PLP_review2plus,False,True,115,2.0,3,GSE141910|GSE249925|GSE36961,-0.0577673178640442,0.2803379728801225,0.0968923401853897,0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.112,0.35,0.65,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.0578,0.2803,0.0969,0.3333,0.0,0.0,0.1333,0.1333,0.75,0.6167,0.112,0.35,0.65
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,3,GSE141910|GSE249925|GSE36961,-0.048889459351539,0.0751676362866279,0.233846544386933,0,0.3333333333333333,0.231249053644304,0.0,0.2142705021088397,0.1333333333333333,0.75,0.6166666666666667,UNSTABLE,0.315,0.315,0.685,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.0489,0.0752,0.2338,0.3333,0.2312,0.0,0.2143,0.1333,0.75,0.6167,0.315,0.315,0.685
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,3,GSE141910|GSE249925|GSE36961,-0.0478947793058324,0.134115506288489,0.0032713764106017,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,0.2166666666666666,1.0,0.7833333333333333,UNSTABLE,0.117,0.45,0.55,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,-0.0479,0.1341,0.0033,0.3333,0.0,0.3333,0.2167,0.2167,1.0,0.7833,0.117,0.45,0.55
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,3,GSE141910|GSE249925|GSE36961,0.1231790161141297,0.2893329595762849,7.321173813635676e-08,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,0.1333333333333333,1.0,0.8666666666666667,UNSTABLE,0.308,0.308,0.692,UNSTABLE,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,True,0.1232,0.2893,0.0,0.3333,0.0,0.3333,0.2167,0.1333,1.0,0.8667,0.308,0.308,0.692
