gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,MCI_tier,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,tier_stability_note,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,mean_log2FC_rounded,sd_log2FC_rounded,min_FDR_rounded,D_g_direction_agreement_rounded,S_g_effect_size_consistency_rounded,R_g_statistical_reproducibility_rounded,MCI_rounded,MCI_CI95_lower_rounded,MCI_CI95_upper_rounded,MCI_CI95_width_rounded,bootstrap_prob_HIGH_rounded,bootstrap_prob_MODERATE_or_HIGH_rounded,bootstrap_prob_UNSTABLE_rounded,n_disease_cohorts,sigma_disease,mean_log2FC_across_HCM_cohorts,min_log2FC_across_HCM_cohorts,max_log2FC_across_HCM_cohorts,gtex_name,n_gtex_lv_samples,gtex_lv_mean_log2_tpm_plus1,sigma_GTEx,gtex_expression_scale,gtex_tissue,gtex_release,sigma_GTEx_safe,sigma_disease_to_GTEx_ratio,Adj_MCI,GTEx_low_confidence_flag,GTEx_adjustment_status
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-2.4159978488662484,0.4409491561290792,1.0223913546866435e-35,3,1.0,0.9087438847811884,1.0,0.968060359673416,0.9617837957178976,1.0,0.0382162042821023,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-2.416,0.4409,0.0,1.0,0.9087,1.0,0.9681,0.9618,1.0,0.0382,1.0,1.0,0.0,3,0.44094915612907926,-2.4159978488662484,-2.743184915210445,-1.9145469108563165,ENSG00000197616.11,432.0,7.989057813613346,2.6323670951169484,log2(TPM+1),Heart - Left Ventricle,GTEx v8,2.6323670951169484,0.16751051057697908,1.1843594468897292,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.092475623718869,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,0.9536602195813106,1.0,0.0463397804186893,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.4228,0.0925,0.0,1.0,0.8906,1.0,0.9617,0.9537,1.0,0.0463,1.0,1.0,0.0,3,0.09247562371886907,0.4227715788721958,0.3384252288340567,0.5216546375856148,ENSG00000129991.12,432.0,11.8020406866428,1.399283286140379,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.399283286140379,0.06608784985486614,1.050513268377105,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,3,GSE141910|GSE249925|GSE36961,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,1.0,0.8857976337228206,1.0,0.9600291718029872,0.9509437988197816,1.0,0.0490562011802182,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.5237,0.1196,0.0,1.0,0.8858,1.0,0.96,0.9509,1.0,0.0491,1.0,1.0,0.0,3,0.1196058963285282,-0.5236576974168555,-0.6492459624229141,-0.4111015190743852,ENSG00000102393.9,432.0,2.364379976698297,0.6775958072198032,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.6775958072198032,0.17651510687363153,1.185175064753784,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2450271837600965,0.0913007430587597,7.89448560835886e-09,3,1.0,0.8136926245127329,1.0,0.9347924185794564,0.917718816194344,1.0,0.0822811838056558,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.245,0.0913,0.0,1.0,0.8137,1.0,0.9348,0.9177,1.0,0.0823,1.0,1.0,0.0,3,0.09130074305875979,0.2450271837600965,0.1618142522048826,0.3426919379487149,ENSG00000077522.12,432.0,8.44747987332358,1.8361160700874373,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.8361160700874373,0.04972493000097319,1.0002384823478871,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.5615719330364249,0.2262460836142161,3.0588594203661688e-12,3,1.0,0.7985600149290748,1.0,0.9294960052251762,0.9042704134486832,1.0,0.0957295865513168,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.5616,0.2262,0.0,1.0,0.7986,1.0,0.9295,0.9043,1.0,0.0957,1.0,1.0,0.0,3,0.2262460836142161,-0.5615719330364249,-0.7768090303163863,-0.3257268882396701,ENSG00000170876.7,432.0,4.712111237387202,0.9582135539646427,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.9582135539646427,0.23611238087596953,1.213745096319404,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.332139698146006,0.182099934622269,3.645971157622413e-10,3,1.0,0.7258684589063796,1.0,0.9040539606172328,0.8588218279454006,1.0,0.1411781720545993,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3321,0.1821,0.0,1.0,0.7259,1.0,0.9041,0.8588,1.0,0.1412,1.0,1.0,0.0,3,0.182099934622269,-0.332139698146006,-0.4407610905193525,-0.1219077685477436,ENSG00000092330.15,432.0,4.167165991340742,0.7162623622139433,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.7162623622139433,0.2542363583916431,1.1995071545733207,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.4666401799070476,0.3163765295613309,4.693406821358356e-07,3,1.0,0.6610059064948592,1.0,0.8813520672732007,0.8037036585699497,1.0,0.1962963414300502,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.4666,0.3164,0.0,1.0,0.661,1.0,0.8814,0.8037,1.0,0.1963,1.0,1.0,0.0,3,0.3163765295613309,-0.4666401799070477,-0.710044935498903,-0.1090147168190623,ENSG00000055118.14,432.0,4.2974556706536235,1.4776507918776602,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.4776507918776602,0.2141077792536552,1.1280394250871606,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.1925247442612132,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3808,0.1925,0.0,1.0,0.7472,0.6667,0.8282,0.7047,1.0,0.2953,1.0,1.0,0.0,3,0.19252474426121322,-0.38076109242545275,-0.5495780678896001,-0.1710872912614531,ENSG00000151929.9,432.0,6.113659264907202,1.4558911584160967,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.4558911584160967,0.13223841847536602,0.9765728481841062,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.2180856549541273,0.0168736220896674,0.0146968358731026,1,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,0.7447549899346929,1.0,0.2552450100653071,HIGH,1.0,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.2181,0.0169,0.0147,1.0,0.9613,0.3333,0.8198,0.7448,1.0,0.2552,1.0,1.0,0.0,3,0.01687362208966747,-0.21808565495412738,-0.2365548866116291,-0.2034765871615884,ENSG00000158022.6,432.0,6.293670647254856,1.6249011549739085,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.6249011549739085,0.010384399098995295,0.8320117341291485,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,HIGH,0.771,1.0,0.0,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.5944,0.3841,0.0,1.0,0.6769,0.6667,0.8036,0.6522,1.0,0.3478,0.771,1.0,0.0,3,0.3841103832087607,0.5943737956123486,0.150925016046866,0.8235595133730028,ENSG00000203867.7,432.0,4.374347567338185,1.4297909889891085,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.4297909889891085,0.26864792558269973,1.0794343248820968,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE
