gene_symbol,H4_group_locked,stratum,MCI,Adj_MCI,bootstrap_median_MCI,MCI_CI95_lower,MCI_CI95_upper,MCI_tier,GTEx_low_confidence_flag
JPH2,HCM_non_sarcomeric,HCM_non_sarcomeric,0.1333333333333333,0.1504335909638775,0.1333333333333333,0.1333333333333333,0.75,UNSTABLE,True
LMNA,HCM_non_sarcomeric,HCM_non_sarcomeric,0.3999888656354379,0.6623972027678536,0.3999888656354379,0.2166666666666666,1.0,UNSTABLE,True
PLN,HCM_non_sarcomeric,HCM_non_sarcomeric,0.4130468243349183,0.5114963955709492,0.4130468243349183,0.2166666666666666,1.0,UNSTABLE,True
CSRP3,HCM_non_sarcomeric,HCM_non_sarcomeric,0.6431434629210778,0.7429309961102324,0.6824805945744021,0.6164098516536075,1.0,MODERATE,True
FLNC,HCM_non_sarcomeric,HCM_non_sarcomeric,0.7283850847571424,0.9666235731777928,0.7736751959038533,0.5626445724244521,1.0,HIGH,True
RBM20,HCM_non_sarcomeric,HCM_non_sarcomeric,0.8035740008093487,1.0794343248820968,0.8035740008093487,0.6521712865278577,1.0,HIGH,True
BAG3,HCM_non_sarcomeric,HCM_non_sarcomeric,0.8281811808437982,0.9765728481841062,0.8281811808437982,0.7046833992655648,1.0,HIGH,True
MYBPC3,HCM_sarcomeric,HCM_sarcomeric,0.1333333333333333,0.1404081704251487,0.1333333333333333,0.1333333333333333,0.75,UNSTABLE,True
TNNT2,HCM_sarcomeric,HCM_sarcomeric,0.2142705021088397,0.2295415370272766,0.2142705021088397,0.1333333333333333,0.75,UNSTABLE,True
ACTC1,HCM_sarcomeric,HCM_sarcomeric,0.2166666666666666,0.242137708777757,0.4574227493244788,0.2166666666666666,1.0,UNSTABLE,True
MYH7,HCM_sarcomeric,HCM_sarcomeric,0.292774455340535,0.3739348605156427,0.292774455340535,0.1333333333333333,1.0,UNSTABLE,True
MYL2,HCM_sarcomeric,HCM_sarcomeric,0.3921424779050579,0.5096261954292214,0.3921424779050579,0.2166666666666666,1.0,UNSTABLE,True
TPM1,HCM_sarcomeric,HCM_sarcomeric,0.5680418520168269,0.6055232772584626,0.5957759261690173,0.5205612837145948,1.0,MODERATE,True
MYL3,HCM_sarcomeric,HCM_sarcomeric,0.7526322412963301,0.9653464993132008,0.7883768003265806,0.6108987375679494,1.0,HIGH,True
TNNI3,HCM_sarcomeric,HCM_sarcomeric,0.9617210925247786,1.050513268377105,0.9743084121975354,0.9536602195813106,1.0,HIGH,True
