gene_symbol,cohort,log2FC,FDR,p_value,SE,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,matched_in_DE,selected_source_file,direction,score_eligible,abs_log2FC
ABCC9,GSE141910_DCM,-0.3215703704370662,4.805002478637966e-05,1.7545409580074892e-05,0.0737868287839865,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.3215703704370662
ABCC9,GSE57338_DCM_HF,0.1381634530554594,0.0007879013186051,0.0002767864583305,0.0375637394332152,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1381634530554594
ACTC1,GSE141910_DCM,0.0780209335307846,0.1549847380334033,0.1153783643697058,0.0494231061555876,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0780209335307846
ACTC1,GSE57338_DCM_HF,0.0372540855456131,0.279212754153745,0.1959541050178263,0.0287465747471459,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0372540855456131
ACTN2,GSE141910_DCM,0.1799809302708368,0.0001993450657632,8.096340676681766e-05,0.045091498858302,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1799809302708368
ACTN2,GSE57338_DCM_HF,0.0458978699381864,0.2823827570286588,0.1986069043688606,0.035627308079715,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0458978699381864
BAG3,GSE141910_DCM,-0.0309932419271632,0.5947773147178703,0.5360174425561892,0.0500298081731803,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0309932419271632
BAG3,GSE57338_DCM_HF,-0.2041462578094455,2.582211143241132e-07,5.226294338325206e-08,0.0365829461106507,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2041462578094455
CCDC30,GSE141910_DCM,0.4621840713503067,3.597654731712733e-16,3.33666784116608e-17,0.0518311712312042,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.4621840713503067
CCDC30,GSE57338_DCM_HF,0.1139079115749832,1.586508677679958e-06,3.598930931910673e-07,0.0219004550776219,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1139079115749832
CEP85L,GSE141910_DCM,-0.4628697638846426,3.201817525757662e-08,7.493909868259034e-09,0.0780092064135839,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.4628697638846426
CEP85L,GSE57338_DCM_HF,,,,,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,False,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
CSRP3,GSE141910_DCM,0.4372676400607425,1.1776381361171431e-09,2.2779247909228594e-10,0.0668123133992913,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.4372676400607425
CSRP3,GSE57338_DCM_HF,0.1015672308435533,0.0491585830068332,0.0261850584202168,0.0454616727590616,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1015672308435533
