gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_dcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier
ABCC9,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0917034586908034,0.32508090413238416,4.805002478637966e-05,2,0.0,0.0,1.0,0.25,UNSTABLE
ACTC1,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.05763750953819885,0.028826514657915907,0.1549847380334033,0,1.0,0.7499326836908928,0.0,0.6624764392918125,MODERATE
ACTN2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.1129394001045116,0.0948110412034621,0.0001993450657632,1,1.0,0.5802570178532644,0.5,0.7280899562486426,HIGH
BAG3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.11756974986830436,0.12243767171326378,2.582211143241132e-07,1,1.0,0.4792977281553622,0.5,0.6927542048543768,MODERATE
CCDC30,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.288045991462645,0.24626843430274073,3.597654731712733e-16,2,1.0,0.5725189004501772,1.0,0.850381615157562,HIGH
CEP85L,DCM,,ClinVar_PLP_review2plus,False,True,1,GSE141910_DCM,-0.4628697638846426,,3.201817525757662e-08,1,,,1.0,,INSUFFICIENT_COVERAGE
CSRP3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.2694174354521479,0.23737603580457345,1.1776381361171431e-09,2,1.0,0.5594642280552504,1.0,0.8458124798193376,HIGH
DES,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.07884775384332515,0.003433439431688537,7.482416185069021e-05,1,1.0,0.9782274112810432,0.5,0.8673795939483651,HIGH
DMD,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.08459127836579759,0.26569049229299624,0.0028712500259473,2,0.0,0.0,1.0,0.25,UNSTABLE
DSG2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.1077868771151764,0.3350070591241029,0.0001024970663117,2,0.0,0.0,1.0,0.25,UNSTABLE
