gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_dcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_DCM_log2FC,GSE141910_DCM_FDR,GSE141910_DCM_p_value,GSE141910_DCM_SE,GSE141910_DCM_direction,GSE57338_DCM_HF_log2FC,GSE57338_DCM_HF_FDR,GSE57338_DCM_HF_p_value,GSE57338_DCM_HF_SE,GSE57338_DCM_HF_direction,DCM_uncertainty_method,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_majority_tier,bootstrap_tier_matches_primary,same_direction_across_two_DCM_cohorts,both_DCM_cohorts_FDR_lt_0_05,one_or_more_DCM_cohorts_FDR_lt_0_05,absolute_log2FC_difference_between_DCM_cohorts,note
ABCC9,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0917034586908034,0.32508090413238416,4.805002478637966e-05,2,0.0,0.0,1.0,0.25,UNSTABLE,-0.3215703704370662,4.805002478637966e-05,1.7545409580074892e-05,0.0737868287839865,DOWN,0.1381634530554594,0.0007879013186051,0.0002767864583305,0.0375637394332152,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.4597338234925256,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
ACTC1,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.05763750953819885,0.028826514657915907,0.1549847380334033,0,1.0,0.7499326836908928,0.0,0.6624764392918125,MODERATE,0.0780209335307846,0.1549847380334033,0.1153783643697058,0.0494231061555876,UP,0.0372540855456131,0.279212754153745,0.1959541050178263,0.0287465747471459,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,False,0.040766847985171495,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
ACTN2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.1129394001045116,0.0948110412034621,0.0001993450657632,1,1.0,0.5802570178532644,0.5,0.7280899562486426,HIGH,0.1799809302708368,0.0001993450657632,8.096340676681766e-05,0.045091498858302,UP,0.0458978699381864,0.2823827570286588,0.1986069043688606,0.035627308079715,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.1340830603326504,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
BAG3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.11756974986830436,0.12243767171326378,2.582211143241132e-07,1,1.0,0.4792977281553622,0.5,0.6927542048543768,MODERATE,-0.0309932419271632,0.5947773147178703,0.5360174425561892,0.0500298081731803,DOWN,-0.2041462578094455,2.582211143241132e-07,5.226294338325206e-08,0.0365829461106507,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.1731530158822823,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
CCDC30,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.288045991462645,0.24626843430274073,3.597654731712733e-16,2,1.0,0.5725189004501772,1.0,0.850381615157562,HIGH,0.4621840713503067,3.597654731712733e-16,3.33666784116608e-17,0.0518311712312042,UP,0.1139079115749832,1.586508677679958e-06,3.598930931910673e-07,0.0219004550776219,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,True,True,0.3482761597753235,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
CEP85L,DCM,,ClinVar_PLP_review2plus,False,True,1,GSE141910_DCM,-0.4628697638846426,,3.201817525757662e-08,1,,,1.0,,INSUFFICIENT_COVERAGE,-0.4628697638846426,3.201817525757662e-08,7.493909868259034e-09,0.0780092064135839,DOWN,,,,,,INSUFFICIENT_COVERAGE,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,,,,,Insufficient DCM cohort coverage.
CSRP3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.2694174354521479,0.23737603580457345,1.1776381361171431e-09,2,1.0,0.5594642280552504,1.0,0.8458124798193376,HIGH,0.4372676400607425,1.1776381361171431e-09,2.2779247909228594e-10,0.0668123133992913,UP,0.1015672308435533,0.0491585830068332,0.0261850584202168,0.0454616727590616,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,True,True,0.3357004092171892,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
DES,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.07884775384332515,0.003433439431688537,7.482416185069021e-05,1,1.0,0.9782274112810432,0.5,0.8673795939483651,HIGH,-0.0812755621482654,0.2283397478818067,0.178362291045147,0.0602627263232128,DOWN,-0.0764199455383849,7.482416185069021e-05,2.2121607948619707e-05,0.0177391108016759,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.0048556166098805,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
DMD,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.08459127836579759,0.26569049229299624,0.0028712500259473,2,0.0,0.0,1.0,0.25,UNSTABLE,-0.2724628271629674,0.0150066714871756,0.0087569314576761,0.103318288614163,DOWN,0.1032802704313722,0.0028712500259473,0.0011267374796199,0.0314165165330403,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.37574309759433955,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
DSG2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.1077868771151764,0.3350070591241029,0.0001024970663117,2,0.0,0.0,1.0,0.25,UNSTABLE,-0.3446726403671922,0.0001024970663117,3.9547297483551545e-05,0.0827248049962348,DOWN,0.1290988861368394,0.0024328283609784,0.0009411448918546,0.0386572389132256,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.4737715265040316,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
