member,gsm_id,gene_column_used,value_column_used,rows_read,status
GSM4215858_C00039.csv.gz,GSM4215858,Unnamed: 0,C00039,20781,read_success
GSM4215859_C00055.csv.gz,GSM4215859,Unnamed: 0,C00055,20781,read_success
GSM4215860_C00074.csv.gz,GSM4215860,Unnamed: 0,C00074,20781,read_success
GSM4215861_C00085.csv.gz,GSM4215861,Unnamed: 0,C00085,20781,read_success
GSM4215862_C00105.csv.gz,GSM4215862,Unnamed: 0,C00105,20781,read_success
GSM4215863_C00120.csv.gz,GSM4215863,Unnamed: 0,C00120,20781,read_success
GSM4215864_C00132.csv.gz,GSM4215864,Unnamed: 0,C00132,20781,read_success
GSM4215865_C00158.csv.gz,GSM4215865,Unnamed: 0,C00158,20781,read_success
GSM4215866_C00168.csv.gz,GSM4215866,Unnamed: 0,C00168,20781,read_success
GSM4215867_C00186.csv.gz,GSM4215867,Unnamed: 0,C00186,20781,read_success
GSM4215868_C00188.csv.gz,GSM4215868,Unnamed: 0,C00188,20781,read_success
GSM4215869_C00190.csv.gz,GSM4215869,Unnamed: 0,C00190,20781,read_success
GSM4215870_C00192.csv.gz,GSM4215870,Unnamed: 0,C00192,20781,read_success
GSM4215871_C00193.csv.gz,GSM4215871,Unnamed: 0,C00193,20781,read_success
GSM4215872_C00195.csv.gz,GSM4215872,Unnamed: 0,C00195,20781,read_success
GSM4215873_C00196.csv.gz,GSM4215873,Unnamed: 0,C00196,20781,read_success
GSM4215874_C00197.csv.gz,GSM4215874,Unnamed: 0,C00197,20781,read_success
GSM4215875_C00198.csv.gz,GSM4215875,Unnamed: 0,C00198,20781,read_success
GSM4215876_C00199.csv.gz,GSM4215876,Unnamed: 0,C00199,20781,read_success
GSM4215877_C00202.csv.gz,GSM4215877,Unnamed: 0,C00202,20781,read_success
GSM4215878_C01413.csv.gz,GSM4215878,Unnamed: 0,C01413,20781,read_success
GSM4215879_C01418.csv.gz,GSM4215879,Unnamed: 0,C01418,20781,read_success
