member,gsm_id,gene_column_used,count_column_used,rows_read,status
GSM4887610_C19.count.txt.gz,GSM4887610,0,1,44290,read_success
GSM4887611_C20.count.txt.gz,GSM4887611,0,1,44290,read_success
GSM4887612_C21.count.txt.gz,GSM4887612,0,1,44290,read_success
GSM4887613_C22.count.txt.gz,GSM4887613,0,1,44290,read_success
GSM4887614_C23.count.txt.gz,GSM4887614,0,1,44290,read_success
GSM4887615_C1.count.txt.gz,GSM4887615,0,1,44290,read_success
GSM4887616_C2.count.txt.gz,GSM4887616,0,1,44290,read_success
GSM4887617_C3.count.txt.gz,GSM4887617,0,1,44290,read_success
GSM4887618_C4.count.txt.gz,GSM4887618,0,1,44290,read_success
GSM4887619_C5.count.txt.gz,GSM4887619,0,1,44290,read_success
GSM4887620_C6.count.txt.gz,GSM4887620,0,1,44290,read_success
GSM4887621_C7.count.txt.gz,GSM4887621,0,1,44290,read_success
GSM4887622_C8.count.txt.gz,GSM4887622,0,1,44290,read_success
GSM4887623_C9.count.txt.gz,GSM4887623,0,1,44290,read_success
GSM4887624_C10.count.txt.gz,GSM4887624,0,1,44290,read_success
GSM4887625_C11.count.txt.gz,GSM4887625,0,1,44290,read_success
GSM4887626_C12.count.txt.gz,GSM4887626,0,1,44290,read_success
GSM4887627_C13.count.txt.gz,GSM4887627,0,1,44290,read_success
GSM4887628_C14.count.txt.gz,GSM4887628,0,1,44290,read_success
GSM4887629_C15.count.txt.gz,GSM4887629,0,1,44290,read_success
GSM4887630_C16.count.txt.gz,GSM4887630,0,1,44290,read_success
GSM4887631_C17.count.txt.gz,GSM4887631,0,1,44290,read_success
GSM4887632_C18.count.txt.gz,GSM4887632,0,1,44290,read_success
GSM4887633_D1.vcf.gz,GSM4887633,0,1,456169,read_success
GSM4887634_D2.vcf.gz,GSM4887634,0,1,418616,read_success
GSM4887635_D3.vcf.gz,GSM4887635,0,1,400736,read_success
GSM4887636_D4.vcf.gz,GSM4887636,0,1,483992,read_success
GSM4887637_D5.vcf.gz,GSM4887637,0,1,314635,read_success
GSM4887638_D6.vcf.gz,GSM4887638,0,1,293255,read_success
GSM4887639_D7.vcf.gz,GSM4887639,0,1,374955,read_success
GSM4887640_D8.vcf.gz,GSM4887640,0,1,459751,read_success
GSM4887641_D9.vcf.gz,GSM4887641,0,1,258588,read_success
GSM4887642_D10.vcf.gz,GSM4887642,0,1,85959,read_success
GSM4887643_D11.vcf.gz,GSM4887643,0,1,358420,read_success
GSM4887644_D12.vcf.gz,GSM4887644,0,1,469044,read_success
GSM4887645_D13.vcf.gz,GSM4887645,0,1,3342,read_success
GSM4887646_D14.vcf.gz,GSM4887646,0,1,357150,read_success
GSM4887647_D15.vcf.gz,GSM4887647,0,1,367343,read_success
GSM4887648_D16.vcf.gz,GSM4887648,0,1,428104,read_success
GSM4887649_D17.vcf.gz,GSM4887649,0,1,423067,read_success
GSM4887650_D18.vcf.gz,GSM4887650,0,1,386262,read_success
