gsm_id,library_size,disease_group
GSM4887610,9571129,Control
GSM4887611,10945348,Control
GSM4887612,11089503,Control
GSM4887613,7017425,Control
GSM4887614,10403201,Control
GSM4887615,8188793,HCM
GSM4887616,8383727,HCM
GSM4887617,9147539,HCM
GSM4887618,7322183,HCM
GSM4887619,7869895,HCM
GSM4887620,8148043,HCM
GSM4887621,7204981,HCM
GSM4887622,15223201,HCM
GSM4887623,8133827,HCM
GSM4887624,8787391,HCM
GSM4887625,9966259,HCM
GSM4887626,5748196,HCM
GSM4887627,8280039,HCM
GSM4887628,8397066,HCM
GSM4887629,4117714,HCM
GSM4887630,5936848,HCM
GSM4887631,6656023,HCM
GSM4887632,9496108,HCM
GSM4887633,33472338432470,HCM
GSM4887634,30906994714402,HCM
GSM4887635,29314870005721,HCM
GSM4887636,35618784856884,HCM
GSM4887637,22900868793154,HCM
GSM4887638,21411133632118,HCM
GSM4887639,27532106071429,HCM
GSM4887640,33837476727921,HCM
GSM4887641,22345245804332,HCM
GSM4887642,6610234036510,HCM
GSM4887643,26253309245963,HCM
GSM4887644,34343104584005,HCM
GSM4887645,18893890826,HCM
GSM4887646,26163788021311,HCM
GSM4887647,26796149049382,HCM
GSM4887648,31397121155941,HCM
GSM4887649,31174857761775,HCM
GSM4887650,28423234762041,HCM
