gsm_id,library_size_total_counts,detected_ensembl_genes_count_gt_0,title,disease_group
GSM7967163,55212654,29523,10,HCM
GSM7967222,56399915,26210,12_2_03__R,Control
GSM7967164,51832885,30143,13,HCM
GSM7967165,54345493,28888,14,HCM
GSM7967223,57325611,27125,17_11_02__R,Control
GSM7967224,57469779,28224,17_5_03,Control
GSM7967225,47806760,27591,19_10_02,Control
GSM7967166,59206148,29322,20,HCM
GSM7967167,48370093,27541,22,HCM
GSM7967226,56968355,27268,25_1_01,Control
GSM7967227,51949554,27250,25_R,HCM
GSM7967228,60407011,27645,26_3_09__R,Control
GSM7967168,60365279,28228,27,HCM
GSM7967229,60884311,27834,28_9_97,Control
GSM7967169,48844162,28650,28,HCM
GSM7967230,55437842,27757,29_R,HCM
GSM7967231,55899868,27428,3_145,Control
GSM7967232,51547595,27680,30_03_05,Control
GSM7967170,48622197,27948,30,HCM
GSM7967171,51701666,29270,33,HCM
GSM7967172,52588520,30306,36,HCM
GSM7967173,109606788,32339,37,HCM
GSM7967184,54534595,30427,370118,HCM
GSM7967174,58713066,29106,38,HCM
GSM7967175,49800764,28280,39,HCM
GSM7967233,55626547,28667,4_102,Control
GSM7967176,59687104,28717,41,HCM
GSM7967177,56152772,28266,43,HCM
GSM7967178,59932663,27944,44,HCM
GSM7967179,56897511,29100,46,HCM
GSM7967180,54536340,28556,47,HCM
GSM7967181,57670440,28487,48,HCM
GSM7967182,48912678,27624,49,HCM
GSM7967234,53933216,29002,5_059,Control
GSM7967235,55823540,28345,5_084,Control
GSM7967236,51463652,27720,5_092,Control
GSM7967237,60725968,29619,5_126,Control
GSM7967238,55834575,29210,5_128,Control
GSM7967239,58438146,29340,5_133,Control
GSM7967240,61371455,27368,5_14,Control
GSM7967183,49315657,27117,56,HCM
GSM7967185,51642579,27711,587005,HCM
GSM7967186,56216585,28053,588103,HCM
GSM7967241,60087050,28811,6_008,Control
GSM7967242,46830741,27521,6_038,Control
GSM7967243,53846243,28372,6_052,Control
GSM7967244,50835442,26019,6_086_R,Control
GSM7967187,46232854,27381,610700,HCM
GSM7967188,59462610,28477,619278,HCM
GSM7967189,56534671,28531,629740,HCM
GSM7967190,62968048,27829,631131,HCM
GSM7967191,57457669,28090,631132,HCM
GSM7967192,46666088,26725,632093,HCM
GSM7967245,54218476,28778,632698_R,HCM
GSM7967193,53366353,29259,633322,HCM
GSM7967194,54212383,26033,633573,HCM
GSM7967195,59109582,29880,634021,HCM
GSM7967246,53629440,29377,634935_R,HCM
GSM7967196,49681904,27030,635263,HCM
GSM7967197,54009167,27185,638751,HCM
GSM7967247,48018376,27747,639123_R,HCM
GSM7967198,52676242,28900,639124,HCM
GSM7967199,52335815,27473,639649,HCM
GSM7967200,46559112,28916,644621,HCM
GSM7967201,54224176,28130,645586,HCM
GSM7967202,52093817,27355,647526,HCM
GSM7967203,44926826,27947,647527,HCM
GSM7967204,45273569,26788,649284,HCM
GSM7967205,44338780,25537,653447,HCM
GSM7967206,46746619,25610,653448,HCM
GSM7967207,53116664,27644,653513,HCM
GSM7967208,44782041,26533,653809,HCM
GSM7967209,52609505,27896,655638,HCM
GSM7967210,53242151,28935,656880,HCM
GSM7967211,53680223,27611,661552,HCM
GSM7967212,60824700,28315,663118,HCM
GSM7967213,50450198,28286,666295,HCM
GSM7967214,53453034,28954,669841,HCM
GSM7967248,44975008,27770,670934_R,HCM
GSM7967215,61268757,28495,671852,HCM
GSM7967249,52105679,29479,671993_R,HCM
GSM7967250,52929935,28697,673367_R,HCM
GSM7967251,51325181,27587,673368_R,HCM
GSM7967216,56939420,28373,673482,HCM
GSM7967217,57813363,27208,676073,HCM
GSM7967218,64402987,30170,676236,HCM
GSM7967219,53455152,27820,680701,HCM
GSM7967220,52277541,27847,683304,HCM
GSM7967252,55677758,28169,7_012,Control
GSM7967253,56030930,28559,7_028,Control
GSM7967221,53656944,25790,7433514,HCM
GSM7967254,51960484,28142,NM03,HCM
GSM7967255,58243823,29656,NM05,HCM
GSM7967256,61247882,28894,NM06,HCM
GSM7967257,47713707,27203,NM08,HCM
GSM7967258,105431039,32166,R1,HCM
GSM7967259,47586846,27960,R16_R,HCM
GSM7967260,54406497,27326,R26,HCM
GSM7967261,59969150,27796,R32,HCM
GSM7967262,52863422,29193,R34,HCM
GSM7967263,51093373,28873,R342632,HCM
GSM7967264,58918469,28187,R35,HCM
GSM7967265,53644394,29054,R40,HCM
GSM7967266,50382617,27057,R50,HCM
GSM7967267,50870210,26130,R53,HCM
GSM7967268,53768177,28085,R57,HCM
GSM7967269,53928944,28861,R58,HCM
GSM7967270,50670941,26999,R59,HCM
GSM7967271,56856974,27172,R620009_R,HCM
GSM7967272,55021944,28551,R643724,HCM
GSM7967273,42135002,25390,R655639,HCM
GSM7967274,56719423,28355,R656518,HCM
GSM7967275,45351510,26143,R670152,HCM
GSM7967276,63891486,29075,R8,HCM
GSM7967277,48422159,27555,RNM01,HCM
GSM7967278,57088298,29060,RNM02,HCM
GSM7967279,54901368,28056,RNM04,HCM
GSM7967280,49548810,27059,RNM07,HCM
GSM7967281,48904121,28249,RR607466_R,HCM
GSM7967282,50176883,26882,RRNM09,HCM
