gene_symbol,matched_in_GSE57338_gene_symbol_matrix
ABCC9,True
ACTC1,True
ACTN2,True
ALPK3,True
BAG3,True
CACNA1C,True
CASR,True
CAV3,True
CCDC30,True
CEP85L,False
COQ9,True
CSRP3,True
DES,True
DMD,True
DSG2,True
DSP,True
EMD,True
EYA4,True
FKTN,True
FLNC,True
GATA4,True
GLA,True
JPH2,True
KCNH2,True
KIF5B,True
LAMP2,True
LDB3,True
LMNA,True
LZTR1,True
MHRT,False
MRPL44,True
MT-TI,False
MT-TL1,False
MTO1,True
MYBPC3,True
MYH6,True
MYH7,True
MYL2,True
MYL3,True
MYO6,True
MYPN,True
NCAPH2,True
NEXN,True
NKX2-5,True
PKP2,True
PLN,True
PMS2,True
PPCS,True
PPP1R13L,True
PRKAG2,True
PSEN1,True
PTPN11,True
RAF1,True
RBM20,False
RNF220,True
RPL36A-HNRNPH2,False
SCN5A,True
SCO2,True
SDHA,True
SGCB,True
SGCD,True
SLC25A4,True
SSUH2,False
TAB2,True
TARID,False
TCAP,True
TINF2,True
TMEM43,True
TNNC1,True
TNNI3,True
TNNT2,True
TPM1,True
TRIM63,True
TSFM,True
TTN,True
