gse_id,level,gsm_id,file_url_or_value,looks_useful_for_expression
GSE36961,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36961/suppl/GSE36961_non-normalized.txt.gz,True
GSE249925,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249925/suppl/GSE249925_20231208-For-GEO-Raw-Counts.tsv.gz,True
GSE141910,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141910/suppl/GSE141910_RAW.tar,True
GSE160997,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160997/suppl/GSE160997_RAW.tar,True
GSE57338,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57338/suppl/GSE57338_RAW.tar,True
GSE57338,sample,GSM1379812,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379812/suppl/GSM1379812_C02065_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379813,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379813/suppl/GSM1379813_C02066_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379814,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379814/suppl/GSM1379814_C02070_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379815,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379815/suppl/GSM1379815_C02071_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379816,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379816/suppl/GSM1379816_C02085_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379817,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379817/suppl/GSM1379817_C02086_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379818,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379818/suppl/GSM1379818_C02155_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379819,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379819/suppl/GSM1379819_C02146_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379820,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379820/suppl/GSM1379820_C02182_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379821,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379821/suppl/GSM1379821_C02142_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379822,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379822/suppl/GSM1379822_C02082_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379823,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379823/suppl/GSM1379823_C02187_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379824,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379824/suppl/GSM1379824_C02141_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379825,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379825/suppl/GSM1379825_C02136_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379826,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379826/suppl/GSM1379826_C02053_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379827,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379827/suppl/GSM1379827_C01984_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379828,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379828/suppl/GSM1379828_C02034_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379829,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379829/suppl/GSM1379829_C02042_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379830,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379830/suppl/GSM1379830_P01119_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379831,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379831/suppl/GSM1379831_P01151_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379832,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379832/suppl/GSM1379832_P01160_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379833,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379833/suppl/GSM1379833_P01185_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379834,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379834/suppl/GSM1379834_P01199_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379835,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379835/suppl/GSM1379835_P01207_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379836,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379836/suppl/GSM1379836_P01215_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379837,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379837/suppl/GSM1379837_P01225_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379838,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379838/suppl/GSM1379838_P01238_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379839,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379839/suppl/GSM1379839_P01248_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379840,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379840/suppl/GSM1379840_P01249_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379841,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379841/suppl/GSM1379841_P01251_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379842,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379842/suppl/GSM1379842_P01277_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379843,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379843/suppl/GSM1379843_P01202_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379844,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379844/suppl/GSM1379844_P01200_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379845,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379845/suppl/GSM1379845_P01273_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379846,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379846/suppl/GSM1379846_P01256_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379847,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379847/suppl/GSM1379847_P01281_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379848,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379848/suppl/GSM1379848_P01025_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379849,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379849/suppl/GSM1379849_P01257_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379850,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379850/suppl/GSM1379850_P01226_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379851,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379851/suppl/GSM1379851_P01259_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379852,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379852/suppl/GSM1379852_P01122_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379853,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379853/suppl/GSM1379853_P01171_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379854,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379854/suppl/GSM1379854_P01197_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379855,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379855/suppl/GSM1379855_P01237_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379856,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379856/suppl/GSM1379856_C00145_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379857,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379857/suppl/GSM1379857_C00086_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379858,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379858/suppl/GSM1379858_C00094_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379859,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379859/suppl/GSM1379859_C00134_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379860,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379860/suppl/GSM1379860_C00146_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379861,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379861/suppl/GSM1379861_C00091_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379862,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379862/suppl/GSM1379862_C00075_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379863,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379863/suppl/GSM1379863_P01279_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379864,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379864/suppl/GSM1379864_P01232_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379865,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379865/suppl/GSM1379865_P01176_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379866,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379866/suppl/GSM1379866_P01136_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379867,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379867/suppl/GSM1379867_P01138_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379868,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379868/suppl/GSM1379868_P01252_HuGene1.1ST.CEL.gz,True
