gene_symbol,MCI_original_from_step5,MCI_bootstrap_point_estimate,MCI_original_minus_bootstrap_point,MCI_CI95_lower,MCI_CI95_upper,MCI_original_inside_bootstrap_CI,bootstrap_point_inside_bootstrap_CI,MCI_tier,bootstrap_majority_tier
MYH6,0.968060359673416,0.9680603596734159,1.1102230246251565e-16,0.9617837957178976,1.0,True,True,HIGH,HIGH
TNNI3,0.9617210925247786,0.9617210925247786,0.0,0.9536602195813106,1.0,True,True,HIGH,HIGH
GLA,0.9600291718029872,0.9600291718029872,0.0,0.9509437988197817,1.0,True,True,HIGH,HIGH
ACTN2,0.9347924185794564,0.9347924185794565,-1.1102230246251565e-16,0.9177188161943441,1.0,True,True,HIGH,HIGH
TMEM43,0.9294960052251762,0.9294960052251762,0.0,0.9042704134486832,1.0,True,True,HIGH,HIGH
TINF2,0.9040539606172328,0.9040539606172329,-1.1102230246251565e-16,0.8588218279454006,1.0,True,True,HIGH,HIGH
KCNH2,0.8813520672732007,0.8813520672732007,0.0,0.8037036585699497,1.0,True,True,HIGH,HIGH
BAG3,0.8281811808437982,0.8281811808437982,0.0,0.7046833992655648,1.0,True,True,HIGH,HIGH
TRIM63,0.8197933145443262,0.8197933145443262,0.0,0.7447549899346929,1.0,True,True,HIGH,HIGH
RBM20,0.8035740008093487,0.8035740008093487,0.0,0.6521712865278577,1.0,True,True,HIGH,HIGH
CAV3,0.8000427752056666,0.8000427752056666,0.0,0.6412562876994091,1.0,True,True,HIGH,HIGH
ALPK3,0.7976057316404546,0.7976057316404546,0.0,0.6397575936793855,1.0,True,True,HIGH,HIGH
PMS2,0.7754141536439366,0.7754141536439366,0.0,0.6746318002650559,1.0,True,True,HIGH,HIGH
TNNC1,0.7751828097694213,0.7751828097694213,0.0,0.6743865142816066,1.0,True,True,HIGH,HIGH
KIF5B,0.7695246707816087,0.7695246707816087,0.0,0.5484836045565706,1.0,True,True,HIGH,HIGH
MYL3,0.7526322412963301,0.7526322412963301,0.0,0.6108987375679494,1.0,True,True,HIGH,HIGH
FLNC,0.7283850847571424,0.7283850847571424,0.0,0.5626445724244521,1.0,True,True,HIGH,HIGH
MT-TL1,0.7086829235607361,0.7086829235607361,0.0,0.7086829235607361,1.0,True,True,HIGH,HIGH
LAMP2,0.6903439971857486,0.6903439971857486,0.0,0.5810674459569171,1.0,True,True,MODERATE,MODERATE
RAF1,0.6752302474844579,0.6752302474844579,0.0,0.6470003306746381,1.0,True,True,MODERATE,MODERATE
SSUH2,0.6571492956096299,0.6571492956096299,0.0,0.6571492956096299,1.0,True,True,MODERATE,MODERATE
CSRP3,0.6431434629210778,0.6431434629210778,0.0,0.6164098516536075,1.0,True,True,MODERATE,MODERATE
SLC25A4,0.5959726762202882,0.5959726762202882,0.0,0.5863013653604052,1.0,True,True,MODERATE,HIGH
PRKAG2,0.5838875374447547,0.5838875374447547,0.0,0.5703568397147402,1.0,True,True,MODERATE,MODERATE
TPM1,0.5680418520168269,0.5680418520168269,0.0,0.5205612837145948,1.0,True,True,MODERATE,MODERATE
MT-TI,0.5439293516517061,0.5439293516517061,0.0,0.5439293516517061,0.75,True,True,MODERATE,MODERATE
PTPN11,0.4333303385227627,0.4333303385227627,0.0,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
PLN,0.4130468243349183,0.41304682433491835,-5.551115123125783e-17,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
LZTR1,0.4113290672251504,0.4113290672251504,0.0,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
LMNA,0.3999888656354379,0.3999888656354379,0.0,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
MYL2,0.3921424779050579,0.3921424779050579,0.0,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
MRPL44,0.3858025289641727,0.3858025289641727,0.0,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
PKP2,0.3,0.3,0.0,0.21666666666666667,1.0,True,True,UNSTABLE,UNSTABLE
MYH7,0.292774455340535,0.292774455340535,0.0,0.13333333333333333,1.0,True,True,UNSTABLE,UNSTABLE
TCAP,0.2731064436543995,0.27310644365439957,-5.551115123125783e-17,0.13333333333333333,1.0,True,True,UNSTABLE,UNSTABLE
ACTC1,0.2166666666666666,0.21666666666666667,-8.326672684688674e-17,0.21666666666666667,1.0,False,True,UNSTABLE,UNSTABLE
COQ9,0.2166666666666666,0.21666666666666667,-8.326672684688674e-17,0.21666666666666667,1.0,False,True,UNSTABLE,UNSTABLE
