gene_symbol,n_cohorts_available,D_g_recomputed,S_g_recomputed,R_g_recomputed,MCI_recomputed_from_DE,MCI_tier_recomputed_from_DE
ACTC1,3,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
ACTN2,3,1.0,0.8136926245127329,1.0,0.9347924185794565,HIGH
ALPK3,3,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH
BAG3,3,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH
CACNA1C,3,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
CASR,1,,,,,INSUFFICIENT_COVERAGE
CAV3,3,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH
CEP85L,2,0.0,0.0,0.0,0.0,UNSTABLE
COQ9,3,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
CSRP3,3,1.0,0.45660037025069833,0.3333333333333333,0.6431434629210778,MODERATE
DES,3,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
FLNC,3,1.0,0.46205262311564477,0.6666666666666666,0.7283850847571424,HIGH
GLA,3,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH
JPH2,3,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
KCNH2,3,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH
KIF5B,3,1.0,0.579594297471263,0.6666666666666666,0.7695246707816087,HIGH
LAMP2,3,1.0,0.591459039578329,0.3333333333333333,0.6903439971857486,MODERATE
LMNA,3,0.3333333333333333,0.28568247324410834,0.6666666666666666,0.3999888656354379,UNSTABLE
LZTR1,3,0.3333333333333333,0.3180830492147154,0.6666666666666666,0.4113290672251504,UNSTABLE
MRPL44,3,0.3333333333333333,0.24515008275477923,0.6666666666666666,0.3858025289641727,UNSTABLE
MT-TI,2,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE
MT-TL1,2,1.0,0.5248083530306746,0.5,0.7086829235607361,HIGH
MTO1,3,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
MYBPC3,3,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
MYH6,3,1.0,0.9087438847811883,1.0,0.9680603596734159,HIGH
MYH7,3,0.3333333333333333,0.2174508247824809,0.3333333333333333,0.292774455340535,UNSTABLE
MYL2,3,0.3333333333333333,0.2632642225858798,0.6666666666666666,0.3921424779050579,UNSTABLE
MYL3,3,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,HIGH
MYO6,3,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
NEXN,3,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
PKP2,3,0.3333333333333333,0.0,0.6666666666666666,0.3,UNSTABLE
PLN,3,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.41304682433491835,UNSTABLE
PMS2,3,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,HIGH
PRKAG2,3,1.0,0.2872977260326324,0.3333333333333333,0.5838875374447547,MODERATE
PTPN11,3,0.3333333333333333,0.3809438243507508,0.6666666666666666,0.4333303385227627,UNSTABLE
RAF1,3,1.0,0.5482768975746417,0.3333333333333333,0.6752302474844579,MODERATE
RBM20,3,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH
RPL36A-HNRNPH2,1,,,,,INSUFFICIENT_COVERAGE
SLC25A4,3,1.0,0.3218266939627278,0.3333333333333333,0.5959726762202882,MODERATE
SSUH2,2,1.0,0.37756941602751404,0.5,0.6571492956096299,MODERATE
TCAP,3,0.3333333333333333,0.16125650567923688,0.3333333333333333,0.27310644365439957,UNSTABLE
TINF2,3,1.0,0.7258684589063796,1.0,0.9040539606172329,HIGH
TMEM43,3,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH
TNNC1,3,1.0,0.8338556469602514,0.3333333333333333,0.7751828097694213,HIGH
TNNI3,3,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH
TNNT2,3,0.3333333333333333,0.23124905364430404,0.0,0.21427050210883974,UNSTABLE
TPM1,3,1.0,0.24202433909569576,0.3333333333333333,0.5680418520168269,MODERATE
TRIM63,3,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH
TTN,3,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
