gene_symbol,n_cohorts_bootstrapped,n_bootstrap_iterations,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_majority_tier
ABCC9,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.499,INSUFFICIENT_COVERAGE
ACTC1,2,1000,0.6624764392918125,0.6624764392918125,0.0,0.6624764392918122,0.6624764392918125,5.1124102330771915e-15,0.0,0.475,0.0,INSUFFICIENT_COVERAGE
ACTN2,2,1000,0.7280899562486426,0.7280899562486426,0.0,0.7280899562486424,0.7280899562486426,5.668020167357421e-15,0.482,0.0,0.0,INSUFFICIENT_COVERAGE
BAG3,2,1000,0.6927542048543768,0.6927542048543768,0.0,0.6927542048543766,0.6927542048543768,2.8893017692638598e-15,0.0,0.531,0.0,MODERATE
CCDC30,2,1000,0.850381615157562,0.850381615157562,0.0,0.8503816151575622,0.850381615157562,7.001732878054586e-15,0.478,0.0,0.0,INSUFFICIENT_COVERAGE
CSRP3,2,1000,0.8458124798193376,0.8458124798193376,0.0,0.8458124798193375,0.8458124798193376,6.44572961993759e-15,0.501,0.0,0.0,HIGH
DES,2,1000,0.8673795939483651,0.8673795939483651,0.0,0.8673795939483652,0.8673795939483651,6.890141107522079e-15,0.51,0.0,0.0,HIGH
DMD,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.486,INSUFFICIENT_COVERAGE
DSG2,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.507,UNSTABLE
DSP,2,1000,0.6381496264725628,0.6381496264725628,0.0,0.6381496264725629,0.6381496264725628,4.22307267990602e-15,0.0,0.5,0.0,MODERATE
EMD,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.51,UNSTABLE
EYA4,2,1000,0.6353524956732798,0.6353524956732798,0.0,0.6353524956732797,0.6353524956732798,1.778097512859945e-15,0.0,0.511,0.0,MODERATE
FKTN,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.487,INSUFFICIENT_COVERAGE
FLNC,2,1000,0.7004028491452671,0.7004028491452671,0.0,0.7004028491452671,0.7004028491452671,4.7786927294169425e-15,0.505,0.0,0.0,HIGH
GATA4,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,UNSTABLE
KIF5B,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.486,INSUFFICIENT_COVERAGE
LAMP2,2,1000,0.8092147798376992,0.8092147798376992,0.0,0.8092147798376992,0.8092147798376992,3.2227470579005724e-15,0.52,0.0,0.0,HIGH
LDB3,2,1000,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.477,INSUFFICIENT_COVERAGE
LMNA,2,1000,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.491,INSUFFICIENT_COVERAGE
MYBPC3,2,1000,0.8216765726764936,0.8216765726764936,0.0,0.8216765726764934,0.8216765726764936,1.000228178189535e-15,0.487,0.0,0.0,INSUFFICIENT_COVERAGE
MYH7,2,1000,0.7405165973635002,0.7405165973635002,0.0,0.7405165973635003,0.7405165973635002,4.4454029093115724e-15,0.493,0.0,0.0,INSUFFICIENT_COVERAGE
MYPN,2,1000,0.13820514050029067,0.13820514050029067,0.0,0.13820514050029067,0.13820514050029067,6.112233746222535e-16,0.0,0.0,0.509,UNSTABLE
NCAPH2,2,1000,0.6517695170273172,0.6517695170273172,0.0,0.651769517027317,0.6517695170273172,1.5558974589917486e-15,0.0,0.491,0.0,INSUFFICIENT_COVERAGE
NEXN,2,1000,0.20304628314176965,0.20304628314176965,0.0,0.20304628314176965,0.20304628314176965,6.667930270242627e-16,0.0,0.0,0.506,UNSTABLE
NKX2-5,2,1000,0.7007554850773668,0.7007554850773668,0.0,0.700755485077367,0.7007554850773668,8.890320272202571e-16,0.521,0.0,0.0,HIGH
PLN,2,1000,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.516,UNSTABLE
PMS2,2,1000,0.7058383042229218,0.7058383042229218,0.0,0.7058383042229218,0.7058383042229218,1.111366995072513e-15,0.486,0.0,0.0,INSUFFICIENT_COVERAGE
PPCS,2,1000,0.8892684463320002,0.8892684463320002,0.0,0.8892684463320001,0.8892684463320002,4.4456240040502556e-15,0.47,0.0,0.0,INSUFFICIENT_COVERAGE
PPP1R13L,2,1000,0.06151138749507738,0.06151138749507738,0.0,0.061511387495077376,0.06151138749507738,1.389130733153471e-16,0.0,0.0,0.514,UNSTABLE
PSEN1,2,1000,0.6963818472202158,0.6963818472202158,0.0,0.6963818472202157,0.6963818472202158,5.2233484184410975e-15,0.0,0.493,0.0,INSUFFICIENT_COVERAGE
