gene_symbol,n_dcm_cohorts_available,cohorts_available,mean_log2FC,min_FDR
RAF1,2,GSE141910_DCM;GSE57338_DCM_HF,-0.23488543699782835,3.4092658791208954e-19
TAB2,2,GSE141910_DCM;GSE57338_DCM_HF,-0.3164098297559934,2.8220091595067293e-18
RNF220,2,GSE141910_DCM;GSE57338_DCM_HF,-0.17116191197332625,1.912024535214917e-16
CCDC30,2,GSE141910_DCM;GSE57338_DCM_HF,0.288045991462645,3.597654731712733e-16
TMEM43,2,GSE141910_DCM;GSE57338_DCM_HF,-0.38343965391777246,3.1994331007202776e-15
DSP,2,GSE141910_DCM;GSE57338_DCM_HF,-0.3105689438453476,3.5252948218303726e-14
EYA4,2,GSE141910_DCM;GSE57338_DCM_HF,-0.3904417263803052,1.0196698817534137e-13
FLNC,2,GSE141910_DCM;GSE57338_DCM_HF,-0.25763217845958003,4.885842031786312e-13
PSEN1,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0936505258050248,1.8968761697045797e-12
PMS2,2,GSE141910_DCM;GSE57338_DCM_HF,0.12642529587221515,1.114406143625992e-11
LAMP2,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2235513529684185,3.520998950752583e-11
NKX2-5,2,GSE141910_DCM;GSE57338_DCM_HF,-0.16848172554060586,4.495591713467499e-11
TNNI3,2,GSE141910_DCM;GSE57338_DCM_HF,0.37644992185026815,1.4464505836092324e-10
PPCS,2,GSE141910_DCM;GSE57338_DCM_HF,0.11823699169003585,4.692329193341367e-10
CSRP3,2,GSE141910_DCM;GSE57338_DCM_HF,0.2694174354521479,1.1776381361171431e-09
SCN5A,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2567912469347695,1.6534296006727982e-08
CEP85L,2,GSE141910_DCM;GSE57338_DCM_HF,-0.4628697638846426,3.201817525757662e-08
MYPN,2,GSE141910_DCM;GSE57338_DCM_HF,0.17000963497037438,3.52250073232424e-08
LMNA,2,GSE141910_DCM;GSE57338_DCM_HF,-0.04223004240848405,9.67462508536026e-08
BAG3,2,GSE141910_DCM;GSE57338_DCM_HF,-0.11756974986830436,2.582211143241132e-07
TARID,2,GSE141910_DCM;GSE57338_DCM_HF,0.6525448560371148,3.634157629617123e-07
TTN,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2970414489059951,4.285229590046254e-07
KIF5B,2,GSE141910_DCM;GSE57338_DCM_HF,-0.015144181183810453,5.567600260192524e-07
NEXN,2,GSE141910_DCM;GSE57338_DCM_HF,-0.1391814950015964,1.4808797991155796e-05
SDHA,2,GSE141910_DCM;GSE57338_DCM_HF,0.13492470117099659,2.1421044128663265e-05
ABCC9,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0917034586908034,4.805002478637966e-05
DES,2,GSE141910_DCM;GSE57338_DCM_HF,-0.07884775384332515,7.482416185069021e-05
DSG2,2,GSE141910_DCM;GSE57338_DCM_HF,-0.1077868771151764,0.0001024970663117
FKTN,2,GSE141910_DCM;GSE57338_DCM_HF,-0.045497194903381555,0.0001957316010845
ACTN2,2,GSE141910_DCM;GSE57338_DCM_HF,0.1129394001045116,0.0001993450657632
EMD,2,GSE141910_DCM;GSE57338_DCM_HF,0.014266671294871802,0.0002567434234338
SGCB,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0634562051316303,0.0002846260790684
NCAPH2,2,GSE141910_DCM;GSE57338_DCM_HF,0.15980740965092094,0.0005330841948107
PLN,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0707427573499575,0.0006190668624264
MYH7,2,GSE141910_DCM;GSE57338_DCM_HF,0.1446634589781972,0.0009387530668674
SGCD,2,GSE141910_DCM;GSE57338_DCM_HF,-0.037518630693309046,0.0016874719897758
DMD,2,GSE141910_DCM;GSE57338_DCM_HF,-0.08459127836579759,0.0028712500259473
MYBPC3,2,GSE141910_DCM;GSE57338_DCM_HF,0.11584341429393105,0.0035362810189397
TSFM,2,GSE141910_DCM;GSE57338_DCM_HF,0.10027532783542689,0.0048729204942736
TNNC1,2,GSE141910_DCM;GSE57338_DCM_HF,0.09335360233758065,0.0232797853228534
TCAP,2,GSE141910_DCM;GSE57338_DCM_HF,-0.017316076974209345,0.0235514295363015
SCO2,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0580360978160516,0.027742196165253
LDB3,2,GSE141910_DCM;GSE57338_DCM_HF,0.0450965530894014,0.0317616830480918
TPM1,2,GSE141910_DCM;GSE57338_DCM_HF,0.016538026083173098,0.0478461118132925
MT-TI,2,GSE141910_DCM;GSE57338_DCM_HF,-0.2579354447695561,0.0757133202673077
GATA4,2,GSE141910_DCM;GSE57338_DCM_HF,0.032775089042508,0.1204022101326409
ACTC1,2,GSE141910_DCM;GSE57338_DCM_HF,0.05763750953819885,0.1549847380334033
TNNT2,2,GSE141910_DCM;GSE57338_DCM_HF,-0.045075260139311596,0.2064188329218385
PPP1R13L,2,GSE141910_DCM;GSE57338_DCM_HF,0.0478075500731157,0.2177912405684711
RBM20,2,GSE141910_DCM;GSE57338_DCM_HF,0.0643586308869696,0.3785931273471833
MHRT,2,GSE141910_DCM;GSE57338_DCM_HF,,
