gene_symbol,gtex_name,n_gtex_lv_samples,gtex_lv_mean_log2_tpm_plus1,sigma_GTEx,gtex_expression_scale,gtex_tissue,gtex_release
TRIM63,ENSG00000158022.6,432,6.293670647254856,1.6249011549739085,log2(TPM+1),Heart - Left Ventricle,GTEx v8
NEXN,ENSG00000162614.18,432,6.688931423588912,1.753056261783391,log2(TPM+1),Heart - Left Ventricle,GTEx v8
LMNA,ENSG00000160789.19,432,5.555370280051081,0.8589479191421264,log2(TPM+1),Heart - Left Ventricle,GTEx v8
TNNT2,ENSG00000118194.18,432,10.88813428142424,1.484321584042947,log2(TPM+1),Heart - Left Ventricle,GTEx v8
ACTN2,ENSG00000077522.12,432,8.44747987332358,1.8361160700874373,log2(TPM+1),Heart - Left Ventricle,GTEx v8
TTN,ENSG00000155657.26,432,5.497645726050964,1.5957061443964062,log2(TPM+1),Heart - Left Ventricle,GTEx v8
DES,ENSG00000175084.11,432,12.599413623936087,1.3523201435725676,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MRPL44,ENSG00000135900.3,432,4.1329234416592575,1.2523608811481486,log2(TPM+1),Heart - Left Ventricle,GTEx v8
SSUH2,ENSG00000125046.14,432,0.6297141031445939,0.3319408192640829,log2(TPM+1),Heart - Left Ventricle,GTEx v8
CAV3,ENSG00000182533.6,432,3.4164179149553697,1.2030298080947512,log2(TPM+1),Heart - Left Ventricle,GTEx v8
RAF1,ENSG00000132155.11,432,5.7064597914609045,1.145914023906225,log2(TPM+1),Heart - Left Ventricle,GTEx v8
TMEM43,ENSG00000170876.7,432,4.712111237387202,0.9582135539646427,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MYL3,ENSG00000160808.9,432,11.451827877106858,1.3173105590017526,log2(TPM+1),Heart - Left Ventricle,GTEx v8
TNNC1,ENSG00000114854.7,432,11.201639011631515,1.6381750671385276,log2(TPM+1),Heart - Left Ventricle,GTEx v8
CASR,ENSG00000036828.15,432,0.0024114411533397153,0.0044773819239756355,log2(TPM+1),Heart - Left Ventricle,GTEx v8
SLC25A4,ENSG00000151729.10,432,8.312843371254392,1.7375027656808533,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MTO1,ENSG00000135297.15,432,1.516910622104164,0.5184181562113528,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MYO6,ENSG00000196586.13,432,1.7932237159716975,0.4317294160182036,log2(TPM+1),Heart - Left Ventricle,GTEx v8
CEP85L,ENSG00000111860.13,432,1.545122933006951,0.5868907395473557,log2(TPM+1),Heart - Left Ventricle,GTEx v8
PLN,ENSG00000198523.5,432,8.791448015084574,2.006740516398898,log2(TPM+1),Heart - Left Ventricle,GTEx v8
PMS2,ENSG00000122512.14,432,1.4995184625245908,0.5238867546599433,log2(TPM+1),Heart - Left Ventricle,GTEx v8
FLNC,ENSG00000128591.15,432,7.838582862616504,1.9823579418245152,log2(TPM+1),Heart - Left Ventricle,GTEx v8
KCNH2,ENSG00000055118.14,432,4.2974556706536235,1.4776507918776602,log2(TPM+1),Heart - Left Ventricle,GTEx v8
PRKAG2,ENSG00000106617.13,432,4.0860805605924995,1.263276407834176,log2(TPM+1),Heart - Left Ventricle,GTEx v8
KIF5B,ENSG00000170759.10,432,4.886066513370049,0.9762431109747615,log2(TPM+1),Heart - Left Ventricle,GTEx v8
RBM20,ENSG00000203867.7,432,4.374347567338185,1.4297909889891085,log2(TPM+1),Heart - Left Ventricle,GTEx v8
BAG3,ENSG00000151929.9,432,6.113659264907202,1.4558911584160967,log2(TPM+1),Heart - Left Ventricle,GTEx v8
CSRP3,ENSG00000129170.8,432,9.044095227947626,1.9162485049386353,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MYBPC3,ENSG00000134571.10,432,9.71458066461108,1.7125313792921362,log2(TPM+1),Heart - Left Ventricle,GTEx v8
CACNA1C,ENSG00000151067.21,432,3.2451611695071283,1.0103277505664787,log2(TPM+1),Heart - Left Ventricle,GTEx v8
PKP2,ENSG00000057294.14,432,5.340300998802248,1.8719725464521473,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MYL2,ENSG00000111245.14,432,13.33394595197749,1.622826634441314,log2(TPM+1),Heart - Left Ventricle,GTEx v8
PTPN11,ENSG00000179295.17,432,4.026556210649911,1.2275037797598383,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MYH6,ENSG00000197616.11,432,7.989057813613346,2.6323670951169484,log2(TPM+1),Heart - Left Ventricle,GTEx v8
MYH7,ENSG00000092054.12,432,11.54774558221735,1.7404733502156617,log2(TPM+1),Heart - Left Ventricle,GTEx v8
TINF2,ENSG00000092330.15,432,4.167165991340742,0.7162623622139433,log2(TPM+1),Heart - Left Ventricle,GTEx v8
ACTC1,ENSG00000159251.6,432,10.506316196151788,2.0651256513367566,log2(TPM+1),Heart - Left Ventricle,GTEx v8
