gene_symbol,n_disease_cohorts,sigma_disease,mean_log2FC_across_HCM_cohorts,min_log2FC_across_HCM_cohorts,max_log2FC_across_HCM_cohorts
ACTC1,3,0.17532386697691157,0.060467316647778435,-0.043513132533908,0.2628886150655369
ACTN2,3,0.09130074305875979,0.2450271837600965,0.1618142522048826,0.3426919379487149
ALPK3,3,0.18532844302157916,0.27240234189019363,0.06823707330624,0.4300191019143207
BAG3,3,0.19252474426121322,-0.38076109242545275,-0.5495780678896001,-0.1710872912614531
CACNA1C,3,0.14756850168146585,-0.06433562070645103,-0.202467326923923,0.0911373298630856
CASR,1,,-0.0135691425418498,-0.0135691425418498,-0.0135691425418498
CAV3,3,0.24060969370296414,0.36104691646393516,0.0848428805938757,0.5251589830466012
CEP85L,2,0.2277294062193911,-0.1119601171554263,-0.2729891245687437,0.0490688902578911
COQ9,3,0.23099630182490757,-0.026583918028694264,-0.2858347422931078,0.1573650529472631
CSRP3,3,0.21757464817755648,0.20019764117058278,0.0526345920651192,0.4500688798851911
DES,3,0.1535557298408887,-0.04731092095298547,-0.2004016464597313,0.1067056267005272
FLNC,3,0.5044500897403315,-0.4688656469169615,-1.0243574877286916,-0.0393254442316739
GLA,3,0.1196058963285282,-0.5236576974168555,-0.6492459624229141,-0.4111015190743852
JPH2,3,0.11944476190361214,0.0199939792573354,-0.0938695591396107,0.1443302892079416
KCNH2,3,0.3163765295613309,-0.4666401799070477,-0.710044935498903,-0.1090147168190623
KIF5B,3,0.27066868526408333,0.321913670100112,0.0104653151712822,0.5002537455498299
LAMP2,3,0.09587344710483538,-0.117336395114312,-0.2152729454452217,-0.0236686575166918
LMNA,3,0.4945396786888619,-0.34616235789064165,-0.7357543737749255,0.2102038917295147
LZTR1,3,0.2775036453680588,-0.20347319790811044,-0.4620491362058299,0.0897114957127529
MRPL44,3,0.1116092000106587,0.0739280732903633,-0.0549470524501667,0.1384881148981819
MT-TI,2,0.24130922882324193,-0.20492542427824587,-0.3755568163420565,-0.0342940322144352
MT-TL1,2,0.37868972391744404,-0.3984599964379101,-0.6662340681855963,-0.1306859246902239
MTO1,3,0.13411550628848903,-0.04789477930583247,-0.2021744104116211,0.0408775594649229
MYBPC3,3,0.06415827852147833,0.019033105743145737,-0.0496806247194024,0.0773712582059218
MYH6,3,0.44094915612907926,-2.4159978488662484,-2.743184915210445,-1.9145469108563165
MYH7,3,0.3687196073331015,0.23558877768327555,-0.0994236668916344,0.630645313784695
MYL2,3,0.37454578501296715,0.2541927489442626,-0.1154626826124831,0.633444464042233
MYL3,3,0.2850764072358427,-0.3041335448558479,-0.6203883311351372,-0.0669129119350639
MYO6,3,0.05297862863076702,0.0005354183293971351,-0.0603474456040541,0.0361433530825707
NEXN,3,0.2893329595762849,0.1231790161141297,-0.2083352623915912,0.3248147542428604
PKP2,3,0.4491018598370247,0.1993440246583064,-0.3178644496181332,0.4905676749051761
PLN,3,0.360495812616969,0.2662414927797327,-0.1218955742620339,0.590576844046081
PMS2,3,0.11062951965188356,0.1370606832033087,0.0614469709251586,0.2640348848509517
PRKAG2,3,0.19047563279092028,-0.13362917430486657,-0.3534387964355984,-0.0171089115421354
PTPN11,3,0.4131719225570806,0.33371117098036956,-0.1423931905591081,0.5983060585041104
RAF1,3,0.1420532234473193,-0.15723484440425742,-0.3194775548119728,-0.0552066606163541
RBM20,3,0.3841103832087607,0.5943737956123486,0.150925016046866,0.8235595133730028
RPL36A-HNRNPH2,1,,-0.4262889373630525,-0.4262889373630525,-0.4262889373630525
SLC25A4,3,0.114269854115312,-0.08424826891448876,-0.2161473585797954,-0.015204831932416
SSUH2,2,0.7148060414612941,0.5742054293823804,0.0687612302319869,1.079649628532774
TCAP,3,0.2655612360216872,-0.15830896920204773,-0.3958408204354153,0.1284055640736555
TINF2,3,0.182099934622269,-0.332139698146006,-0.4407610905193525,-0.1219077685477436
TMEM43,3,0.2262460836142161,-0.5615719330364249,-0.7768090303163863,-0.3257268882396701
TNNC1,3,0.04318963590441976,0.12997623787456383,0.0806688900510401,0.1611055382049729
TNNI3,3,0.09247562371886907,0.4227715788721958,0.3384252288340567,0.5216546375856148
TNNT2,3,0.07516763628662797,-0.048889459351539065,-0.0926914436942204,0.0379053936284437
TPM1,3,0.07225105436659779,0.04766053720009856,0.0010659348838885,0.1308904849986678
TRIM63,3,0.01687362208966747,-0.21808565495412738,-0.2365548866116291,-0.2034765871615884
TTN,3,0.2803379728801225,-0.0577673178640442,-0.3700376070092879,0.1722246403847425
