gene_symbol,n_hcm_cohorts_available,cohorts_available,mean_abs_log2FC,min_FDR,stratum
ACTC1,3,GSE141910|GSE249925|GSE36961,0.12904748556831377,0.0075797885381488,DCM_TTN_related|HCM_sarcomeric
ACTN2,3,GSE141910|GSE249925|GSE36961,0.2616697700711393,7.89448560835886e-09,
ALPK3,3,GSE141910|GSE249925|GSE36961,0.27240234189019363,8.067123952508962e-05,
BAG3,3,GSE141910|GSE249925|GSE36961,0.42269585265825277,2.492225589324881e-06,HCM_non_sarcomeric
CACNA1C,3,GSE141910|GSE249925|GSE36961,0.12509384061517476,0.0513617441302739,
CAV3,3,GSE141910|GSE249925|GSE36961,0.36104691646393516,3.2513003854312975e-13,
COQ9,3,GSE141910|GSE249925|GSE36961,0.1639725768333776,0.0080675917319001,
CSRP3,3,GSE141910|GSE249925|GSE36961,0.1502233934276611,0.0016196160006942,HCM_non_sarcomeric
DES,3,GSE141910|GSE249925|GSE36961,0.13249025788405389,0.1301612926694358,
FLNC,3,GSE141910|GSE249925|GSE36961,0.5547736874540191,1.016185552118092e-05,HCM_non_sarcomeric
GLA,3,GSE141910|GSE249925|GSE36961,0.5236576974168555,3.5664993852147904e-20,
JPH2,3,GSE141910|GSE249925|GSE36961,0.0825736853504092,0.1762792525917891,HCM_non_sarcomeric
KCNH2,3,GSE141910|GSE249925|GSE36961,0.4666401799070477,4.693406821358356e-07,
KIF5B,3,GSE141910|GSE249925|GSE36961,0.384203341085878,2.5057561219281534e-09,
LAMP2,3,GSE141910|GSE249925|GSE36961,0.09774908504813005,0.0135238106609304,
LMNA,3,GSE141910|GSE249925|GSE36961,0.5415171645064787,2.5909063902644696e-16,DCM_RNA_processing|HCM_non_sarcomeric
LZTR1,3,GSE141910|GSE249925|GSE36961,0.2632808617166124,6.145025628838597e-05,
MRPL44,3,GSE141910|GSE249925|GSE36961,0.11055944159047443,0.0087221468856378,
MTO1,3,GSE141910|GSE249925|GSE36961,0.0868881609685816,0.0032713764106017,
MYBPC3,3,GSE141910|GSE249925|GSE36961,0.05670248991871325,0.698704809303921,HCM_sarcomeric
MYH6,3,GSE141910|GSE249925|GSE36961,2.415997848866249,1.0223913546866435e-35,
MYH7,3,GSE141910|GSE249925|GSE36961,0.327136529501885,3.624606772096488e-05,HCM_sarcomeric
MYL2,3,GSE141910|GSE249925|GSE36961,0.33116787068591796,8.171591169210441e-11,HCM_sarcomeric
MYL3,3,GSE141910|GSE249925|GSE36961,0.3041335448558479,2.143243221901844e-05,HCM_sarcomeric
MYO6,3,GSE141910|GSE249925|GSE36961,0.04076704873209987,0.6450664126415696,
NEXN,3,GSE141910|GSE249925|GSE36961,0.2728159767719104,7.321173813635676e-08,
PKP2,3,GSE141910|GSE249925|GSE36961,0.41125365773706185,1.9796343058738784e-08,
PLN,3,GSE141910|GSE249925|GSE36961,0.39262713589289955,0.0002921462667866,DCM_RNA_processing|HCM_non_sarcomeric
PMS2,3,GSE141910|GSE249925|GSE36961,0.1521834256589387,0.0001046892457475,
PRKAG2,3,GSE141910|GSE249925|GSE36961,0.13362917430486657,1.5538981905361973e-05,
PTPN11,3,GSE141910|GSE249925|GSE36961,0.4286399646864416,1.0519159325724516e-18,
RAF1,3,GSE141910|GSE249925|GSE36961,0.12478630232271433,0.0001988088629154,
