gene_symbol,n_hcm_cohorts_available,MCI,MCI_tier,bootstrap_n,MCI_bootstrap_mean,MCI_bootstrap_median,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority
ACTC1,3,0.2166666666666666,UNSTABLE,1000,0.45849333595511194,0.4574227493244788,0.21666666666666667,1.0,0.7833333333333333,0.339,0.567,0.433,UNSTABLE
ACTN2,3,0.9347924185794564,HIGH,1000,0.9519340136821807,0.9577236529209789,0.9177188161943441,1.0,0.08228118380565586,1.0,1.0,0.0,HIGH
ALPK3,3,0.7976057316404546,HIGH,1000,0.8144570343681291,0.7985343062627502,0.6397575936793855,1.0,0.36024240632061455,0.789,1.0,0.0,HIGH
BAG3,3,0.8281811808437982,HIGH,1000,0.8471164940574705,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,1.0,1.0,0.0,HIGH
CACNA1C,3,0.1333333333333333,UNSTABLE,1000,0.3314061101024562,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.125,0.342,0.658,UNSTABLE
CASR,1,,INSUFFICIENT_COHORT_COVERAGE,0,,,,,,,,,INSUFFICIENT_COHORT_COVERAGE
CAV3,3,0.8000427752056666,HIGH,1000,0.8185351573465472,0.8000427752056666,0.6412562876994091,1.0,0.3587437123005909,0.763,1.0,0.0,HIGH
CEP85L,2,0.0,UNSTABLE,1000,0.375,0.375,0.0,0.75,0.75,0.5,0.5,0.5,UNSTABLE
COQ9,3,0.2166666666666666,UNSTABLE,1000,0.4212210253658579,0.3257509977888742,0.21666666666666667,1.0,0.7833333333333333,0.108,0.46,0.54,UNSTABLE
CSRP3,3,0.6431434629210778,MODERATE,1000,0.7107020814089364,0.6824805945744021,0.6164098516536075,1.0,0.3835901483463925,0.328,1.0,0.0,MODERATE
DES,3,0.1333333333333333,UNSTABLE,1000,0.30976605726914397,0.16681621749870454,0.13333333333333333,0.75,0.6166666666666667,0.091,0.312,0.688,UNSTABLE
FLNC,3,0.7283850847571424,HIGH,1000,0.7629415990015539,0.7736751959038533,0.5626445724244521,1.0,0.4373554275755479,0.748,1.0,0.0,HIGH
GLA,3,0.9600291718029872,HIGH,1000,0.9711129268032611,0.9748475714213589,0.9509437988197817,1.0,0.04905620118021825,1.0,1.0,0.0,HIGH
JPH2,3,0.1333333333333333,UNSTABLE,1000,0.31689348181954574,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.107,0.34,0.66,UNSTABLE
KCNH2,3,0.8813520672732007,HIGH,1000,0.9042808098783424,0.8813520672732007,0.8037036585699497,1.0,0.19629634143005026,1.0,1.0,0.0,HIGH
KIF5B,3,0.7695246707816087,HIGH,1000,0.7878946592488424,0.7698187720499566,0.5484836045565706,1.0,0.45151639544342936,0.774,1.0,0.0,HIGH
LAMP2,3,0.6903439971857486,MODERATE,1000,0.7205232401898026,0.6903439971857486,0.5810674459569171,1.0,0.41893255404308294,0.451,1.0,0.0,MODERATE
LMNA,3,0.3999888656354379,UNSTABLE,1000,0.5570695182697102,0.3999888656354379,0.21666666666666667,1.0,0.7833333333333333,0.358,0.358,0.642,UNSTABLE
LZTR1,3,0.4113290672251504,UNSTABLE,1000,0.5551979702467771,0.4113290672251504,0.21666666666666667,1.0,0.7833333333333333,0.356,0.356,0.644,UNSTABLE
MRPL44,3,0.3858025289641727,UNSTABLE,1000,0.5472566490347283,0.3858025289641727,0.21666666666666667,1.0,0.7833333333333333,0.341,0.341,0.659,UNSTABLE
MT-TI,2,0.5439293516517061,MODERATE,1000,0.6440796867489769,0.5439293516517061,0.5439293516517061,0.75,0.20607064834829392,0.486,1.0,0.0,MODERATE
MT-TL1,2,0.7086829235607361,HIGH,1000,0.792630681315443,0.75,0.7086829235607361,1.0,0.29131707643926386,1.0,1.0,0.0,HIGH
MTO1,3,0.2166666666666666,UNSTABLE,1000,0.43874346166249756,0.44731213728366526,0.21666666666666667,1.0,0.7833333333333333,0.117,0.45,0.55,UNSTABLE
MYBPC3,3,0.1333333333333333,UNSTABLE,1000,0.30442512890797446,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.093,0.309,0.691,UNSTABLE
MYH6,3,0.968060359673416,HIGH,1000,0.9765992011063438,0.9680941232395492,0.9617837957178976,1.0,0.03821620428210237,1.0,1.0,0.0,HIGH
MYH7,3,0.292774455340535,UNSTABLE,1000,0.43839379649794036,0.292774455340535,0.13333333333333333,1.0,0.8666666666666667,0.22,0.449,0.551,UNSTABLE
MYL2,3,0.3921424779050579,UNSTABLE,1000,0.5275597704035857,0.3921424779050579,0.21666666666666667,1.0,0.7833333333333333,0.326,0.453,0.547,UNSTABLE
MYL3,3,0.7526322412963301,HIGH,1000,0.7933290868364073,0.7883768003265806,0.6108987375679494,1.0,0.38910126243205057,0.766,1.0,0.0,HIGH
MYO6,3,0.1333333333333333,UNSTABLE,1000,0.3455423190117161,0.1374233752022481,0.13333333333333333,0.75,0.6166666666666667,0.343,0.343,0.657,UNSTABLE
NEXN,3,0.2166666666666666,UNSTABLE,1000,0.3977485553579638,0.21666666666666667,0.13333333333333333,1.0,0.8666666666666667,0.308,0.308,0.692,UNSTABLE
PKP2,3,0.3,UNSTABLE,1000,0.5071715107566732,0.3,0.21666666666666667,1.0,0.7833333333333333,0.34,0.34,0.66,UNSTABLE
PLN,3,0.4130468243349183,UNSTABLE,1000,0.5533853720950171,0.41304682433491835,0.21666666666666667,1.0,0.7833333333333333,0.346,0.346,0.654,UNSTABLE
PMS2,3,0.7754141536439366,HIGH,1000,0.8294314500121889,0.8125030462739969,0.6746318002650559,1.0,0.32536819973494413,0.908,1.0,0.0,HIGH
PRKAG2,3,0.5838875374447547,MODERATE,1000,0.6773830858345482,0.6878786990644548,0.5703568397147402,1.0,0.42964316028525984,0.321,1.0,0.0,MODERATE
PTPN11,3,0.4333303385227627,UNSTABLE,1000,0.5719075302145818,0.4333303385227627,0.21666666666666667,1.0,0.7833333333333333,0.343,0.343,0.657,UNSTABLE
RAF1,3,0.6752302474844579,MODERATE,1000,0.7301968194013095,0.6991505365938835,0.6470003306746381,1.0,0.35299966932536186,0.443,1.0,0.0,MODERATE
RBM20,3,0.8035740008093487,HIGH,1000,0.8186375091151197,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,0.771,1.0,0.0,HIGH
RPL36A-HNRNPH2,1,,INSUFFICIENT_COHORT_COVERAGE,0,,,,,,,,,INSUFFICIENT_COHORT_COVERAGE
SLC25A4,3,0.5959726762202882,MODERATE,1000,0.6923303661033497,0.7137936315718616,0.5863013653604052,1.0,0.4136986346395948,0.579,1.0,0.0,HIGH
SSUH2,2,0.6571492956096299,MODERATE,1000,0.7615748731511519,0.6571492956096299,0.6571492956096299,1.0,0.34285070439037013,0.465,1.0,0.0,MODERATE
TCAP,3,0.2731064436543995,UNSTABLE,1000,0.44705147217502955,0.2731064436543996,0.13333333333333333,1.0,0.8666666666666667,0.349,0.349,0.651,UNSTABLE
TINF2,3,0.9040539606172328,HIGH,1000,0.9269957180987914,0.9040539606172329,0.8588218279454006,1.0,0.14117817205459937,1.0,1.0,0.0,HIGH
TMEM43,3,0.9294960052251762,HIGH,1000,0.9471680485590526,0.9369884392064927,0.9042704134486832,1.0,0.0957295865513168,1.0,1.0,0.0,HIGH
TNNC1,3,0.7751828097694213,HIGH,1000,0.7906359012171638,0.7751828097694213,0.6743865142816066,1.0,0.32561348571839344,0.787,1.0,0.0,HIGH
TNNI3,3,0.9617210925247786,HIGH,1000,0.9724444345564045,0.9743084121975354,0.9536602195813106,1.0,0.04633978041868936,1.0,1.0,0.0,HIGH
TNNT2,3,0.2142705021088397,UNSTABLE,1000,0.36513132088528644,0.21427050210883974,0.13333333333333333,0.75,0.6166666666666667,0.315,0.315,0.685,UNSTABLE
TPM1,3,0.5680418520168269,MODERATE,1000,0.6376757066750749,0.5957759261690173,0.5205612837145948,1.0,0.47943871628540524,0.314,1.0,0.0,MODERATE
TRIM63,3,0.8197933145443262,HIGH,1000,0.8226550399667713,0.8197933145443262,0.7447549899346929,1.0,0.2552450100653071,1.0,1.0,0.0,HIGH
TTN,3,0.1333333333333333,UNSTABLE,1000,0.3361981627415705,0.193883051434433,0.13333333333333333,0.75,0.6166666666666667,0.112,0.35,0.65,UNSTABLE
