gene_symbol,disease_group,source_resource_layer,stratum,is_prespecified_h4_gene,MCI,Adj_MCI,MCI_tier,bootstrap_majority_tier,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_median_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,sigma_disease,sigma_GTEx,sigma_disease_to_GTEx_ratio,GTEx_low_confidence_flag,GTEx_adjustment_status,n_cohorts_available,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,resource_interpretation,has_DCM_generalization_entry,DCM_MCI_if_available,DCM_tier_if_available,resource_version,resource_release_date_utc,primary_data_type,resource_status
MYH6,HCM,primary_HCM_bulk_RNA_resource,,False,0.968060359673416,1.1843594468897292,HIGH,HIGH,0.9617837957178976,1.0,0.03821620428210237,,1.0,0.0,0.0,0.4409491561290792,2.6323670951169484,0.167510510576979,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.9087438847811884,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
TNNI3,HCM,primary_HCM_bulk_RNA_resource,HCM_sarcomeric,True,0.9617210925247786,1.050513268377105,HIGH,HIGH,0.9536602195813106,1.0,0.04633978041868936,,1.0,0.0,0.0,0.092475623718869,1.399283286140379,0.0660878498548661,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.8906316929279386,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.8461154543292415,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
GLA,HCM,primary_HCM_bulk_RNA_resource,,False,0.9600291718029872,1.185175064753784,HIGH,HIGH,0.9509437988197816,1.0,0.04905620118021836,,1.0,0.0,0.0,0.1196058963285282,0.6775958072198032,0.1765151068736315,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.8857976337228206,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
ACTN2,HCM,primary_HCM_bulk_RNA_resource,,False,0.9347924185794564,1.0002384823478871,HIGH,HIGH,0.917718816194344,1.0,0.08228118380565597,,1.0,0.0,0.0,0.0913007430587597,1.8361160700874373,0.0497249300009731,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.8136926245127329,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.7280899562486426,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
TMEM43,HCM,primary_HCM_bulk_RNA_resource,,False,0.9294960052251762,1.213745096319404,HIGH,HIGH,0.9042704134486832,1.0,0.0957295865513168,,1.0,0.0,0.0,0.2262460836142161,0.9582135539646428,0.2361123808759695,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.7985600149290748,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.9988035210312916,HIGH,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
TINF2,HCM,primary_HCM_bulk_RNA_resource,,False,0.9040539606172328,1.199507154573321,HIGH,HIGH,0.8588218279454006,1.0,0.14117817205459937,,1.0,0.0,0.0,0.182099934622269,0.7162623622139433,0.2542363583916431,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.7258684589063796,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
KCNH2,HCM,primary_HCM_bulk_RNA_resource,,False,0.8813520672732007,1.1280394250871606,HIGH,HIGH,0.8037036585699497,1.0,0.19629634143005026,,1.0,0.0,0.0,0.3163765295613309,1.4776507918776602,0.2141077792536552,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.6610059064948592,1.0,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
BAG3,HCM,primary_HCM_bulk_RNA_resource,HCM_non_sarcomeric,True,0.8281811808437982,0.9765728481841062,HIGH,HIGH,0.7046833992655648,1.0,0.2953166007344352,,1.0,0.0,0.0,0.1925247442612132,1.4558911584160967,0.132238418475366,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.7471843262203759,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",True,0.6927542048543768,MODERATE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
TRIM63,HCM,primary_HCM_bulk_RNA_resource,,False,0.8197933145443262,0.8320117341291485,HIGH,HIGH,0.7447549899346929,1.0,0.2552450100653071,,1.0,0.0,0.0,0.0168736220896674,1.6249011549739083,0.0103843990989952,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.9613142320314082,0.3333333333333333,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
RBM20,HCM,primary_HCM_bulk_RNA_resource,HCM_non_sarcomeric,True,0.8035740008093487,1.0794343248820968,HIGH,HIGH,0.6521712865278577,1.0,0.3478287134721423,,0.771,0.229,0.0,0.3841103832087607,1.4297909889891085,0.2686479255826997,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.6768780975505202,0.6666666666666666,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence.",False,,INSUFFICIENT_COVERAGE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
