gene_symbol,included_in_MCI_resource_v0_2,planned_scrna_fields
ACTC1,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
ACTN2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
ALPK3,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
BAG3,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
CACNA1C,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
CASR,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
CAV3,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
CEP85L,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
COQ9,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
CSRP3,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
DES,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
FLNC,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
GLA,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
JPH2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
KCNH2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
KIF5B,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
LAMP2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
LMNA,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
LZTR1,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MRPL44,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MT-TI,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MT-TL1,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MTO1,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MYBPC3,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MYH6,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MYH7,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MYL2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MYL3,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
MYO6,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
NEXN,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
PKP2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
PLN,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
PMS2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
PRKAG2,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
PTPN11,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
RAF1,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
RBM20,True,"cardiomyocyte_expression,fibroblast_expression,endothelial_expression,immune_expression,dominant_cell_type,cell_type_specificity_score"
