gene_symbol,method,original_MCI,benchmark_score,original_MCI_rank,benchmark_rank,rank_displacement,absolute_rank_displacement
MYH6,Equal-weight composite,0.968060359673416,0.9695812949270628,1.0,1.0,0.0,0.0
TNNI3,Equal-weight composite,0.9617210925247786,0.963543897642646,2.0,2.0,0.0,0.0
GLA,Equal-weight composite,0.9600291718029872,0.9619325445742736,3.0,3.0,0.0,0.0
ACTN2,Equal-weight composite,0.9347924185794564,0.9378975415042442,4.0,4.0,0.0,0.0
TMEM43,Equal-weight composite,0.9294960052251762,0.9328533383096916,5.0,5.0,0.0,0.0
TINF2,Equal-weight composite,0.9040539606172328,0.90862281963546,6.0,6.0,0.0,0.0
KCNH2,Equal-weight composite,0.8813520672732007,0.8870019688316196,7.0,7.0,0.0,0.0
BAG3,Equal-weight composite,0.8281811808437982,0.8046169976290142,8.0,8.0,0.0,0.0
TRIM63,Equal-weight composite,0.8197933145443262,0.7648825217882472,9.0,12.0,3.0,3.0
RBM20,Equal-weight composite,0.8035740008093487,0.7811815880723957,10.0,9.0,-1.0,1.0
CAV3,Equal-weight composite,0.8000427752056666,0.7778185160688889,11.0,10.0,-1.0,1.0
ALPK3,Equal-weight composite,0.7976057316404546,0.7754975221972583,12.0,11.0,-1.0,1.0
PMS2,Equal-weight composite,0.7754141536439366,0.7543626860100985,13.0,13.0,0.0,0.0
TNNC1,Equal-weight composite,0.7751828097694213,0.7223963267645283,14.0,16.0,2.0,2.0
KIF5B,Equal-weight composite,0.7695246707816087,0.7487536547126431,15.0,14.0,-1.0,1.0
MYL3,Equal-weight composite,0.7526322412963301,0.7326656266314254,16.0,15.0,-1.0,1.0
FLNC,Equal-weight composite,0.7283850847571424,0.7095730965941037,17.0,17.0,0.0,0.0
MT-TL1,Equal-weight composite,0.7086829235607361,0.6749361176768915,18.0,18.0,0.0,0.0
LAMP2,Equal-weight composite,0.6903439971857486,0.6415974576372208,19.0,19.0,0.0,0.0
RAF1,Equal-weight composite,0.6752302474844579,0.6272034103026584,20.0,20.0,0.0,0.0
SSUH2,Equal-weight composite,0.6571492956096299,0.6258564720091714,21.0,21.0,0.0,0.0
CSRP3,Equal-weight composite,0.6431434629210778,0.5966445678613438,22.0,22.0,0.0,0.0
SLC25A4,Equal-weight composite,0.5959726762202882,0.551720009098687,23.0,23.0,0.0,0.0
PRKAG2,Equal-weight composite,0.5838875374447547,0.5402103531219885,24.0,24.0,0.0,0.0
TPM1,Equal-weight composite,0.5680418520168269,0.5251192241430097,25.0,25.0,0.0,0.0
MT-TI,Equal-weight composite,0.5439293516517061,0.4704089063349581,26.0,26.0,0.0,0.0
PTPN11,Equal-weight composite,0.4333303385227627,0.4603146081169169,27.0,27.0,0.0,0.0
PLN,Equal-weight composite,0.4130468243349183,0.4409969755570651,28.0,28.0,0.0,0.0
LZTR1,Equal-weight composite,0.4113290672251504,0.4393610164049051,29.0,29.0,0.0,0.0
LMNA,Equal-weight composite,0.3999888656354379,0.4285608244147028,30.0,30.0,0.0,0.0
MYL2,Equal-weight composite,0.3921424779050579,0.4210880741952933,31.0,31.0,0.0,0.0
MRPL44,Equal-weight composite,0.3858025289641727,0.4150500275849264,32.0,32.0,0.0,0.0
PKP2,Equal-weight composite,0.3,0.3333333333333333,33.0,33.0,0.0,0.0
MYH7,Equal-weight composite,0.292774455340535,0.2947058304830491,34.0,34.0,0.0,0.0
TCAP,Equal-weight composite,0.2731064436543995,0.2759743907819678,35.0,35.0,0.0,0.0
ACTC1,Equal-weight composite,0.2166666666666666,0.2222222222222222,37.5,37.5,0.0,0.0
COQ9,Equal-weight composite,0.2166666666666666,0.2222222222222222,37.5,37.5,0.0,0.0
MTO1,Equal-weight composite,0.2166666666666666,0.2222222222222222,37.5,37.5,0.0,0.0
NEXN,Equal-weight composite,0.2166666666666666,0.2222222222222222,37.5,37.5,0.0,0.0
TNNT2,Equal-weight composite,0.2142705021088397,0.1881941289925457,40.0,40.0,0.0,0.0
CACNA1C,Equal-weight composite,0.1333333333333333,0.1111111111111111,43.5,43.5,0.0,0.0
DES,Equal-weight composite,0.1333333333333333,0.1111111111111111,43.5,43.5,0.0,0.0
JPH2,Equal-weight composite,0.1333333333333333,0.1111111111111111,43.5,43.5,0.0,0.0
MYBPC3,Equal-weight composite,0.1333333333333333,0.1111111111111111,43.5,43.5,0.0,0.0
MYO6,Equal-weight composite,0.1333333333333333,0.1111111111111111,43.5,43.5,0.0,0.0
TTN,Equal-weight composite,0.1333333333333333,0.1111111111111111,43.5,43.5,0.0,0.0
CEP85L,Equal-weight composite,0.0,0.0,47.0,47.0,0.0,0.0
MYH6,Direction vote,0.968060359673416,1.0,1.0,13.5,12.5,12.5
TNNI3,Direction vote,0.9617210925247786,1.0,2.0,13.5,11.5,11.5
GLA,Direction vote,0.9600291718029872,1.0,3.0,13.5,10.5,10.5
ACTN2,Direction vote,0.9347924185794564,1.0,4.0,13.5,9.5,9.5
TMEM43,Direction vote,0.9294960052251762,1.0,5.0,13.5,8.5,8.5
TINF2,Direction vote,0.9040539606172328,1.0,6.0,13.5,7.5,7.5
KCNH2,Direction vote,0.8813520672732007,1.0,7.0,13.5,6.5,6.5
BAG3,Direction vote,0.8281811808437982,1.0,8.0,13.5,5.5,5.5
TRIM63,Direction vote,0.8197933145443262,1.0,9.0,13.5,4.5,4.5
RBM20,Direction vote,0.8035740008093487,1.0,10.0,13.5,3.5,3.5
CAV3,Direction vote,0.8000427752056666,1.0,11.0,13.5,2.5,2.5
ALPK3,Direction vote,0.7976057316404546,1.0,12.0,13.5,1.5,1.5
PMS2,Direction vote,0.7754141536439366,1.0,13.0,13.5,0.5,0.5
TNNC1,Direction vote,0.7751828097694213,1.0,14.0,13.5,-0.5,0.5
KIF5B,Direction vote,0.7695246707816087,1.0,15.0,13.5,-1.5,1.5
MYL3,Direction vote,0.7526322412963301,1.0,16.0,13.5,-2.5,2.5
FLNC,Direction vote,0.7283850847571424,1.0,17.0,13.5,-3.5,3.5
MT-TL1,Direction vote,0.7086829235607361,1.0,18.0,13.5,-4.5,4.5
LAMP2,Direction vote,0.6903439971857486,1.0,19.0,13.5,-5.5,5.5
RAF1,Direction vote,0.6752302474844579,1.0,20.0,13.5,-6.5,6.5
SSUH2,Direction vote,0.6571492956096299,1.0,21.0,13.5,-7.5,7.5
CSRP3,Direction vote,0.6431434629210778,1.0,22.0,13.5,-8.5,8.5
SLC25A4,Direction vote,0.5959726762202882,1.0,23.0,13.5,-9.5,9.5
PRKAG2,Direction vote,0.5838875374447547,1.0,24.0,13.5,-10.5,10.5
TPM1,Direction vote,0.5680418520168269,1.0,25.0,13.5,-11.5,11.5
MT-TI,Direction vote,0.5439293516517061,1.0,26.0,13.5,-12.5,12.5
PTPN11,Direction vote,0.4333303385227627,0.6666666666666666,27.0,36.5,9.5,9.5
PLN,Direction vote,0.4130468243349183,0.6666666666666666,28.0,36.5,8.5,8.5
LZTR1,Direction vote,0.4113290672251504,0.6666666666666666,29.0,36.5,7.5,7.5
LMNA,Direction vote,0.3999888656354379,0.6666666666666666,30.0,36.5,6.5,6.5
MYL2,Direction vote,0.3921424779050579,0.6666666666666666,31.0,36.5,5.5,5.5
MRPL44,Direction vote,0.3858025289641727,0.6666666666666666,32.0,36.5,4.5,4.5
PKP2,Direction vote,0.3,0.6666666666666666,33.0,36.5,3.5,3.5
MYH7,Direction vote,0.292774455340535,0.6666666666666666,34.0,36.5,2.5,2.5
TCAP,Direction vote,0.2731064436543995,0.6666666666666666,35.0,36.5,1.5,1.5
ACTC1,Direction vote,0.2166666666666666,0.6666666666666666,37.5,36.5,-1.0,1.0
COQ9,Direction vote,0.2166666666666666,0.6666666666666666,37.5,36.5,-1.0,1.0
MTO1,Direction vote,0.2166666666666666,0.6666666666666666,37.5,36.5,-1.0,1.0
NEXN,Direction vote,0.2166666666666666,0.6666666666666666,37.5,36.5,-1.0,1.0
TNNT2,Direction vote,0.2142705021088397,0.6666666666666666,40.0,36.5,-3.5,3.5
CACNA1C,Direction vote,0.1333333333333333,0.6666666666666666,43.5,36.5,-7.0,7.0
DES,Direction vote,0.1333333333333333,0.6666666666666666,43.5,36.5,-7.0,7.0
JPH2,Direction vote,0.1333333333333333,0.6666666666666666,43.5,36.5,-7.0,7.0
MYBPC3,Direction vote,0.1333333333333333,0.6666666666666666,43.5,36.5,-7.0,7.0
MYO6,Direction vote,0.1333333333333333,0.6666666666666666,43.5,36.5,-7.0,7.0
TTN,Direction vote,0.1333333333333333,0.6666666666666666,43.5,36.5,-7.0,7.0
CEP85L,Direction vote,0.0,0.5,47.0,47.0,0.0,0.0
MYH6,Fisher combined significance,0.968060359673416,84.01174498119327,1.0,1.0,0.0,0.0
TNNI3,Fisher combined significance,0.9617210925247786,10.10839313168044,2.0,14.0,12.0,12.0
GLA,Fisher combined significance,0.9600291718029872,38.43895647781985,3.0,2.0,-1.0,1.0
ACTN2,Fisher combined significance,0.9347924185794564,11.819787931565456,4.0,10.0,6.0,6.0
TMEM43,Fisher combined significance,0.9294960052251762,22.843997065604142,5.0,4.0,-1.0,1.0
TINF2,Fisher combined significance,0.9040539606172328,19.253030928911937,6.0,7.0,1.0,1.0
KCNH2,Fisher combined significance,0.8813520672732007,11.487379038346322,7.0,12.0,5.0,5.0
BAG3,Fisher combined significance,0.8281811808437982,9.7034283746126,8.0,15.0,7.0,7.0
TRIM63,Fisher combined significance,0.8197933145443262,2.941345149907204,9.0,29.0,20.0,20.0
RBM20,Fisher combined significance,0.8035740008093487,27.136864047652917,10.0,3.0,-7.0,7.0
CAV3,Fisher combined significance,0.8000427752056666,17.569610168322196,11.0,8.0,-3.0,3.0
ALPK3,Fisher combined significance,0.7976057316404546,5.313914331199888,12.0,23.0,11.0,11.0
PMS2,Fisher combined significance,0.7754141536439366,6.367784988303421,13.0,20.0,7.0,7.0
TNNC1,Fisher combined significance,0.7751828097694213,1.8557064224607889,14.0,34.0,20.0,20.0
KIF5B,Fisher combined significance,0.7695246707816087,10.180377144224442,15.0,13.0,-2.0,2.0
MYL3,Fisher combined significance,0.7526322412963301,7.585861597356741,16.0,18.0,2.0,2.0
FLNC,Fisher combined significance,0.7283850847571424,7.248845725708581,17.0,19.0,2.0,2.0
MT-TL1,Fisher combined significance,0.7086829235607361,1.905080740323012,18.0,33.0,15.0,15.0
LAMP2,Fisher combined significance,0.6903439971857486,1.7700251913465157,19.0,35.0,16.0,16.0
RAF1,Fisher combined significance,0.6752302474844579,4.60965055392826,20.0,24.0,4.0,4.0
SSUH2,Fisher combined significance,0.6571492956096299,8.087368708398445,21.0,17.0,-4.0,4.0
CSRP3,Fisher combined significance,0.6431434629210778,2.356515653425484,22.0,31.0,9.0,9.0
SLC25A4,Fisher combined significance,0.5959726762202882,1.5209872871686243,23.0,36.0,13.0,13.0
PRKAG2,Fisher combined significance,0.5838875374447547,4.079787287088238,24.0,26.0,2.0,2.0
TPM1,Fisher combined significance,0.5680418520168269,0.6995330900494787,25.0,42.0,17.0,17.0
MT-TI,Fisher combined significance,0.5439293516517061,0.5717005759445057,26.0,44.0,18.0,18.0
PTPN11,Fisher combined significance,0.4333303385227627,21.955067413513813,27.0,5.0,-22.0,22.0
PLN,Fisher combined significance,0.4130468243349183,6.280632333389464,28.0,21.0,-7.0,7.0
LZTR1,Fisher combined significance,0.4113290672251504,5.982776478487293,29.0,22.0,-7.0,7.0
LMNA,Fisher combined significance,0.3999888656354379,20.667087499928297,30.0,6.0,-24.0,24.0
MYL2,Fisher combined significance,0.3921424779050579,11.488942727810036,31.0,11.0,-20.0,20.0
MRPL44,Fisher combined significance,0.3858025289641727,3.502752412339641,32.0,28.0,-4.0,4.0
PKP2,Fisher combined significance,0.3,11.86405346721294,33.0,9.0,-24.0,24.0
MYH7,Fisher combined significance,0.292774455340535,4.487097259848499,34.0,25.0,-9.0,9.0
TCAP,Fisher combined significance,0.2731064436543995,3.5378640839992594,35.0,27.0,-8.0,8.0
ACTC1,Fisher combined significance,0.2166666666666666,1.4775223665921642,37.5,37.0,-0.5,0.5
COQ9,Fisher combined significance,0.2166666666666666,2.7800329344544736,37.5,30.0,-7.5,7.5
