gene_symbol,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,PRIMARY_40D_35S_25R__score,PRIMARY_40D_35S_25R__tier,PRIMARY_40D_35S_25R__rank,EQUAL_33D_33S_33R__score,EQUAL_33D_33S_33R__tier,EQUAL_33D_33S_33R__rank,ALT_45D_35S_20R__score,ALT_45D_35S_20R__tier,ALT_45D_35S_20R__rank,ALT_35D_40S_25R__score,ALT_35D_40S_25R__tier,ALT_35D_40S_25R__rank,ALT_35D_30S_35R__score,ALT_35D_30S_35R__tier,ALT_35D_30S_35R__rank,DIRECTION_HEAVY_55D_25S_20R__score,DIRECTION_HEAVY_55D_25S_20R__tier,DIRECTION_HEAVY_55D_25S_20R__rank,CONSISTENCY_HEAVY_25D_55S_20R__score,CONSISTENCY_HEAVY_25D_55S_20R__tier,CONSISTENCY_HEAVY_25D_55S_20R__rank,REPRODUCIBILITY_HEAVY_25D_20S_55R__score,REPRODUCIBILITY_HEAVY_25D_20S_55R__tier,REPRODUCIBILITY_HEAVY_25D_20S_55R__rank,LEAVE_OUT_R_RENORMALIZED__score,LEAVE_OUT_R_RENORMALIZED__tier,LEAVE_OUT_R_RENORMALIZED__rank,LEAVE_OUT_S_RENORMALIZED__score,LEAVE_OUT_S_RENORMALIZED__tier,LEAVE_OUT_S_RENORMALIZED__rank,LEAVE_OUT_D_RENORMALIZED__score,LEAVE_OUT_D_RENORMALIZED__tier,LEAVE_OUT_D_RENORMALIZED__rank,minimum_sensitivity_score,maximum_sensitivity_score,sensitivity_score_range,n_distinct_tiers_across_all_scenarios,n_nonprimary_scenarios_changing_tier,any_weight_sensitivity_tier_change,tier_stable_across_all_weight_scenarios
MT-TL1,1.0,0.5248083530306746,0.5,0.7086829235607361,HIGH,0.7086829235607361,HIGH,18.0,0.6749361176768914,MODERATE,18.0,0.7336829235607362,HIGH,18.0,0.6849233412122698,MODERATE,18.0,0.6824425059092023,MODERATE,18.0,0.7812020882576687,HIGH,18.0,0.638644594166871,MODERATE,18.0,0.629961670606135,MODERATE,16.0,0.7782438980809815,HIGH,19.0,0.8076923076923077,HIGH,16.5,0.5144715392678936,MODERATE,18.0,0.5144715392678936,0.8076923076923077,0.29322076842441414,2,6,True,False
PTPN11,0.3333333333333333,0.3809438243507508,0.6666666666666666,0.4333303385227627,UNSTABLE,0.4333303385227627,UNSTABLE,27.0,0.46031460811691693,MODERATE,27.0,0.4166636718560961,UNSTABLE,27.0,0.4357108630736336,UNSTABLE,27.0,0.46428314730522524,MODERATE,27.0,0.4119026227543544,UNSTABLE,27.0,0.4261857700595796,UNSTABLE,27.0,0.5261887648701502,MODERATE,22.0,0.3555515624747948,UNSTABLE,27.0,0.4615384615384615,MODERATE,30.0,0.4999950086490491,MODERATE,19.0,0.3555515624747948,0.5261887648701502,0.1706372023953554,2,5,True,False
SSUH2,1.0,0.377569416027514,0.5,0.6571492956096299,MODERATE,0.6571492956096299,MODERATE,21.0,0.6258564720091713,MODERATE,21.0,0.6821492956096299,MODERATE,21.0,0.6260277664110055,MODERATE,21.0,0.6382708248082541,MODERATE,20.0,0.7443923540068785,HIGH,21.0,0.5576631788151327,MODERATE,22.0,0.6005138832055028,MODERATE,18.0,0.7095323941461732,HIGH,23.0,0.8076923076923077,HIGH,16.5,0.42858215934938315,UNSTABLE,26.0,0.42858215934938315,0.8076923076923077,0.37911014834292456,3,4,True,False
CSRP3,1.0,0.4566003702506983,0.3333333333333333,0.6431434629210778,MODERATE,0.6431434629210778,MODERATE,22.0,0.5966445678613439,MODERATE,22.0,0.676476796254411,MODERATE,22.0,0.6159734814336126,MODERATE,22.0,0.6036467777418761,MODERATE,22.0,0.7308167592293413,HIGH,22.0,0.5677968703045507,MODERATE,21.0,0.524653407383473,MODERATE,23.0,0.7464135061169925,HIGH,21.0,0.7435897435897436,HIGH,21.5,0.40523910486846293,UNSTABLE,28.0,0.40523910486846293,0.7464135061169925,0.3411744012485296,3,4,True,False
RAF1,1.0,0.5482768975746417,0.3333333333333333,0.6752302474844579,MODERATE,0.6752302474844579,MODERATE,20.0,0.6272034103026582,MODERATE,20.0,0.7085635808177912,HIGH,20.0,0.6526440923631901,MODERATE,20.0,0.6311497359390592,MODERATE,21.0,0.7537358910603271,HIGH,20.0,0.6182189603327196,MODERATE,20.0,0.5429887128482617,MODERATE,21.0,0.7891958855348328,HIGH,17.0,0.7435897435897436,HIGH,21.5,0.45871707914076326,MODERATE,23.0,0.45871707914076326,0.7891958855348328,0.3304788063940695,2,4,True,False
LAMP2,1.0,0.591459039578329,0.3333333333333333,0.6903439971857486,MODERATE,0.6903439971857486,MODERATE,19.0,0.6415974576372208,MODERATE,19.0,0.7236773305190818,HIGH,19.0,0.6699169491646649,MODERATE,19.0,0.6441043785401653,MODERATE,19.0,0.764531426561249,HIGH,19.0,0.6419691384347477,MODERATE,17.0,0.5516251412489992,MODERATE,20.0,0.8093475518032202,HIGH,15.0,0.7435897435897436,HIGH,21.5,0.4839066619762475,MODERATE,20.0,0.4839066619762475,0.8093475518032202,0.32544088982697267,2,4,True,False
MT-TI,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE,0.5439293516517061,MODERATE,26.0,0.47040890633495813,MODERATE,26.0,0.5939293516517061,MODERATE,26.0,0.5144906876019498,MODERATE,26.0,0.4733680157014623,MODERATE,26.0,0.6528066797512186,MODERATE,26.0,0.476174695452681,MODERATE,24.0,0.3322453438009749,UNSTABLE,33.0,0.725239135535608,HIGH,22.0,0.6153846153846154,MODERATE,26.0,0.23988225275284347,UNSTABLE,34.0,0.23988225275284347,0.725239135535608,0.48535688278276456,3,3,True,False
TPM1,1.0,0.2420243390956957,0.3333333333333333,0.5680418520168269,MODERATE,0.5680418520168269,MODERATE,25.0,0.5251192241430096,MODERATE,25.0,0.6013751853501601,MODERATE,25.0,0.5301430689716116,MODERATE,25.0,0.5392739683953753,MODERATE,25.0,0.6771727514405906,MODERATE,25.0,0.4497800531692993,UNSTABLE,26.0,0.4817382011524725,MODERATE,31.0,0.6462780249113247,MODERATE,26.0,0.7435897435897436,HIGH,21.5,0.28006975336137807,UNSTABLE,31.0,0.28006975336137807,0.7435897435897436,0.46351999022836554,3,3,True,False
LZTR1,0.3333333333333333,0.3180830492147154,0.6666666666666666,0.4113290672251504,UNSTABLE,0.4113290672251504,UNSTABLE,29.0,0.4393610164049051,UNSTABLE,29.0,0.3946624005584837,UNSTABLE,29.0,0.4105665530192195,UNSTABLE,29.0,0.4454249147644146,UNSTABLE,29.0,0.39618742897034553,UNSTABLE,29.0,0.39161234373476017,UNSTABLE,29.0,0.5136166098429431,MODERATE,25.0,0.32621653407797824,UNSTABLE,29.0,0.4615384615384615,MODERATE,30.0,0.46332622315302846,MODERATE,22.0,0.32621653407797824,0.5136166098429431,0.18740007576496487,2,3,True,False
PLN,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.4130468243349183,UNSTABLE,0.41304682433491835,UNSTABLE,28.0,0.4409969755570651,UNSTABLE,28.0,0.39638015766825163,UNSTABLE,28.0,0.41252970400181144,UNSTABLE,28.0,0.44689727800135853,UNSTABLE,28.0,0.39741439833446546,UNSTABLE,28.0,0.3943116763358241,UNSTABLE,28.0,0.5145981853342391,MODERATE,24.0,0.3285068768910022,UNSTABLE,28.0,0.4615384615384615,MODERATE,30.0,0.46618915166930835,MODERATE,21.0,0.3285068768910022,0.5145981853342391,0.18609130844323685,2,3,True,False
PRKAG2,1.0,0.2872977260326324,0.3333333333333333,0.5838875374447547,MODERATE,0.5838875374447547,MODERATE,24.0,0.5402103531219886,MODERATE,24.0,0.617220870778088,MODERATE,24.0,0.5482524237463863,MODERATE,24.0,0.5528559844764563,MODERATE,24.0,0.6884910981748248,MODERATE,24.0,0.47468041598461447,MODERATE,25.0,0.4907928785398598,MODERATE,30.0,0.6674056054818951,MODERATE,25.0,0.7435897435897436,HIGH,21.5,0.30647922907459113,UNSTABLE,30.0,0.30647922907459113,0.7435897435897436,0.4371105145151525,3,2,True,False
SLC25A4,1.0,0.3218266939627278,0.3333333333333333,0.5959726762202882,MODERATE,0.5959726762202882,MODERATE,23.0,0.551720009098687,MODERATE,23.0,0.6293060095536214,MODERATE,23.0,0.5620640109184245,MODERATE,23.0,0.5632146748554849,MODERATE,23.0,0.6971233401573487,MODERATE,23.0,0.49367134834616694,MODERATE,23.0,0.4976986721258789,MODERATE,29.0,0.6835191238492729,MODERATE,24.0,0.7435897435897436,HIGH,21.5,0.3266211270338134,UNSTABLE,29.0,0.3266211270338134,0.7435897435897436,0.4169686165559302,3,2,True,False
TRIM63,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH,0.8197933145443262,HIGH,9.0,0.7648825217882471,HIGH,12.0,0.8531266478776596,HIGH,8.0,0.8178590261458967,HIGH,8.0,0.7550609362760892,HIGH,14.0,0.8569952246745187,HIGH,9.0,0.8453894942839412,HIGH,7.0,0.625596179739615,MODERATE,17.0,0.9819466416146572,HIGH,1.0,0.7435897435897436,HIGH,21.5,0.6996555242405438,MODERATE,9.0,0.625596179739615,0.9819466416146572,0.35635046187504216,2,2,True,False
FLNC,1.0,0.4620526231156447,0.6666666666666666,0.7283850847571424,HIGH,0.7283850847571423,HIGH,17.0,0.7095730965941037,HIGH,17.0,0.745051751423809,HIGH,17.0,0.7014877159129245,HIGH,17.0,0.7219491202680267,HIGH,16.0,0.7988464891122445,HIGH,17.0,0.637462276046938,MODERATE,19.0,0.7090771912897956,HIGH,15.0,0.7489578907873008,HIGH,20.0,0.8717948717948718,HIGH,11.5,0.5473084745952372,MODERATE,17.0,0.5473084745952372,0.8717948717948718,0.32448639719963457,2,2,True,False
TNNC1,1.0,0.8338556469602514,0.3333333333333333,0.7751828097694213,HIGH,0.7751828097694213,HIGH,14.0,0.7223963267645281,HIGH,16.0,0.8085161431027545,HIGH,13.0,0.766875592117434,HIGH,13.0,0.7168233607547421,HIGH,17.0,0.8251305784067295,HIGH,15.0,0.775287272494805,HIGH,10.0,0.6001044627253836,MODERATE,19.0,0.9224659685814506,HIGH,5.0,0.7435897435897436,HIGH,21.5,0.6253046829490356,MODERATE,14.0,0.6001044627253836,0.9224659685814506,0.32236150585606693,2,2,True,False
MYL3,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,HIGH,0.7526322412963301,HIGH,16.0,0.7326656266314255,HIGH,15.0,0.7692989079629968,HIGH,16.0,0.7291987519577107,HIGH,16.0,0.7427323973016162,HIGH,15.0,0.8161658866402358,HIGH,16.0,0.6755649506085188,MODERATE,16.0,0.7229327093121887,HIGH,14.0,0.7812874328395513,HIGH,18.0,0.8717948717948718,HIGH,11.5,0.5877204021605503,MODERATE,16.0,0.5877204021605503,0.8717948717948718,0.2840744696343215,2,2,True,False
PKP2,0.3333333333333333,0.0,0.6666666666666666,0.3,UNSTABLE,0.3,UNSTABLE,33.0,0.3333333333333333,UNSTABLE,33.0,0.2833333333333333,UNSTABLE,34.0,0.2833333333333333,UNSTABLE,34.0,0.35,UNSTABLE,33.0,0.31666666666666665,UNSTABLE,33.0,0.21666666666666667,UNSTABLE,35.0,0.45,MODERATE,32.0,0.17777777777777776,UNSTABLE,41.0,0.4615384615384615,MODERATE,30.0,0.2777777777777778,UNSTABLE,32.0,0.17777777777777776,0.4615384615384615,0.28376068376068375,2,2,True,False
MRPL44,0.3333333333333333,0.2451500827547792,0.6666666666666666,0.3858025289641727,UNSTABLE,0.38580252896417266,UNSTABLE,32.0,0.4150500275849264,UNSTABLE,32.0,0.36913586229750606,UNSTABLE,32.0,0.381393366435245,UNSTABLE,32.0,0.42354502482643375,UNSTABLE,32.0,0.37795418735536146,UNSTABLE,32.0,0.35149921218179525,UNSTABLE,32.0,0.49903001655095586,MODERATE,28.0,0.292181149730008,UNSTABLE,32.0,0.4615384615384615,MODERATE,30.0,0.42078199271806566,UNSTABLE,27.0,0.292181149730008,0.49903001655095586,0.20684886682094783,2,2,True,False
MYL2,0.3333333333333333,0.2632642225858798,0.6666666666666666,0.3921424779050579,UNSTABLE,0.3921424779050579,UNSTABLE,31.0,0.42108807419529326,UNSTABLE,31.0,0.37547581123839124,UNSTABLE,31.0,0.3886390223676852,UNSTABLE,31.0,0.4289792667757639,UNSTABLE,31.0,0.3824827223131366,UNSTABLE,31.0,0.3614619890889006,UNSTABLE,31.0,0.502652844517176,MODERATE,27.0,0.30063441498452165,UNSTABLE,31.0,0.4615384615384615,MODERATE,30.0,0.43134857428620765,UNSTABLE,25.0,0.30063441498452165,0.502652844517176,0.2020184295326543,2,2,True,False
