scenario,scenario_type,D_weight,S_weight,R_weight,n_genes,score_min,score_median,score_max,unique_score_values,spearman_rho_vs_primary,spearman_p_value,kendall_tau_vs_primary,kendall_p_value,mean_absolute_rank_shift,median_absolute_rank_shift,maximum_absolute_rank_shift,exact_tier_matches,n_tier_changes,percent_tier_changes,n_HIGH,n_MODERATE,n_UNSTABLE,top_n_cutoff,top_n_inclusive_size,original_HIGH_overlap,original_HIGH_recall,original_HIGH_jaccard
PRIMARY_40D_35S_25R,Primary,0.4,0.35,0.25,47,0.0,0.5838875374447547,0.9680603596734159,39,0.9999999999999999,0.0,1.0,1.8285566520619018e-22,0.0,0.0,0.0,47,0,0.0,18,8,21,0.7086829235607361,18,18,1.0,1.0
EQUAL_33D_33S_33R,Equal weight,0.3333333333333333,0.3333333333333333,0.3333333333333333,47,0.0,0.5402103531219886,0.9695812949270628,39,0.9989565822271173,5.7113810139253105e-62,0.9905660377358492,4.506691522782062e-22,0.2127659574468085,0.0,3.0,45,2,4.25531914893617,17,10,20,0.6749361176768914,18,18,1.0,1.0
ALT_45D_35S_20R,Plausible alternative,0.45,0.35,0.2,47,0.0,0.617220870778088,0.9680603596734159,39,0.9984928409947249,2.228106553382449e-58,0.9867924528301887,6.449691296956698e-22,0.2978723404255319,0.0,4.0,45,2,4.25531914893617,20,6,21,0.7336829235607362,18,18,1.0,1.0
ALT_35D_40S_25R,Plausible alternative,0.35,0.4,0.25,47,0.0,0.5482524237463863,0.9634975539124754,39,0.9984928409947249,2.228106553382449e-58,0.9867924528301887,6.449691296956698e-22,0.2978723404255319,0.0,4.0,46,1,2.127659574468085,17,9,21,0.6849233412122698,18,18,1.0,1.0
ALT_35D_30S_35R,Plausible alternative,0.35,0.3,0.35,47,0.0,0.5528559844764563,0.9726231654343565,39,0.997333487913744,8.2775067401643e-53,0.9830188679245282,9.218027346531122e-22,0.3829787234042553,0.0,5.0,45,2,4.25531914893617,17,10,20,0.6824425059092023,18,18,1.0,1.0
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,0.55,0.25,0.2,47,0.0,0.6884910981748248,0.977185971195297,39,0.9998840646919018,1.9517834221029555e-83,0.9981132075471699,2.1915398486038253e-22,0.0425531914893617,0.0,1.0,43,4,8.51063829787234,22,4,21,0.7812020882576687,18,18,1.0,1.0
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,0.25,0.55,0.2,47,0.0,0.476174695452681,0.9498091366296537,39,0.9960581995246652,5.390010784193235e-49,0.9660377358490566,4.5225387697942e-21,0.723404255319149,0.0,4.0,43,4,8.51063829787234,15,10,22,0.638644594166871,18,17,0.9444444444444444,0.8947368421052632
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,0.25,0.2,0.55,47,0.0,0.5145981853342391,0.9817487769562377,39,0.9777404208451683,3.6746292071319286e-32,0.9226415094339623,2.328645436664237e-19,1.7446808510638299,1.0,8.0,36,11,23.404255319148938,15,17,15,0.6005138832055028,18,17,0.9444444444444444,0.8947368421052632
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,0.5333333333333333,0.4666666666666666,0.0,47,0.0,0.6835191238492729,0.9819466416146572,37,0.9734737742157082,1.8175713041531284e-30,0.9013661418626032,3.501033760710957e-18,2.1702127659574466,2.0,9.0,42,5,10.638297872340425,23,3,21,0.7812874328395513,18,16,0.8888888888888888,0.8
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,0.6153846153846154,0.0,0.3846153846153846,47,0.0,0.7435897435897436,1.0,9,0.9752604466602252,3.8564891678351096e-31,0.912741284941722,1.903618128809699e-17,2.0638297872340425,1.5,12.5,33,14,29.78723404255319,25,8,14,0.7435897435897436,25,18,1.0,0.72
LEAVE_OUT_D_RENORMALIZED,Leave-one-component-out,0.0,0.5833333333333334,0.4166666666666667,47,0.0,0.4444258871701743,0.9467672661223598,38,0.9701576579562693,2.4860848735492282e-29,0.9195874314067635,3.63977397488742e-19,1.872340425531915,0.0,8.0,28,19,40.42553191489362,8,15,24,0.5144715392678936,18,18,1.0,1.0
