scenario,scenario_type,primary_tier,scenario_tier,n_genes
PRIMARY_40D_35S_25R,Primary,HIGH,HIGH,18
PRIMARY_40D_35S_25R,Primary,HIGH,MODERATE,0
PRIMARY_40D_35S_25R,Primary,HIGH,UNSTABLE,0
PRIMARY_40D_35S_25R,Primary,MODERATE,HIGH,0
PRIMARY_40D_35S_25R,Primary,MODERATE,MODERATE,8
PRIMARY_40D_35S_25R,Primary,MODERATE,UNSTABLE,0
PRIMARY_40D_35S_25R,Primary,UNSTABLE,HIGH,0
PRIMARY_40D_35S_25R,Primary,UNSTABLE,MODERATE,0
PRIMARY_40D_35S_25R,Primary,UNSTABLE,UNSTABLE,21
EQUAL_33D_33S_33R,Equal weight,HIGH,HIGH,17
EQUAL_33D_33S_33R,Equal weight,HIGH,MODERATE,1
EQUAL_33D_33S_33R,Equal weight,HIGH,UNSTABLE,0
EQUAL_33D_33S_33R,Equal weight,MODERATE,HIGH,0
EQUAL_33D_33S_33R,Equal weight,MODERATE,MODERATE,8
EQUAL_33D_33S_33R,Equal weight,MODERATE,UNSTABLE,0
EQUAL_33D_33S_33R,Equal weight,UNSTABLE,HIGH,0
EQUAL_33D_33S_33R,Equal weight,UNSTABLE,MODERATE,1
EQUAL_33D_33S_33R,Equal weight,UNSTABLE,UNSTABLE,20
ALT_45D_35S_20R,Plausible alternative,HIGH,HIGH,18
ALT_45D_35S_20R,Plausible alternative,HIGH,MODERATE,0
ALT_45D_35S_20R,Plausible alternative,HIGH,UNSTABLE,0
ALT_45D_35S_20R,Plausible alternative,MODERATE,HIGH,2
ALT_45D_35S_20R,Plausible alternative,MODERATE,MODERATE,6
ALT_45D_35S_20R,Plausible alternative,MODERATE,UNSTABLE,0
ALT_45D_35S_20R,Plausible alternative,UNSTABLE,HIGH,0
ALT_45D_35S_20R,Plausible alternative,UNSTABLE,MODERATE,0
ALT_45D_35S_20R,Plausible alternative,UNSTABLE,UNSTABLE,21
ALT_35D_40S_25R,Plausible alternative,HIGH,HIGH,17
ALT_35D_40S_25R,Plausible alternative,HIGH,MODERATE,1
ALT_35D_40S_25R,Plausible alternative,HIGH,UNSTABLE,0
ALT_35D_40S_25R,Plausible alternative,MODERATE,HIGH,0
ALT_35D_40S_25R,Plausible alternative,MODERATE,MODERATE,8
ALT_35D_40S_25R,Plausible alternative,MODERATE,UNSTABLE,0
ALT_35D_40S_25R,Plausible alternative,UNSTABLE,HIGH,0
ALT_35D_40S_25R,Plausible alternative,UNSTABLE,MODERATE,0
ALT_35D_40S_25R,Plausible alternative,UNSTABLE,UNSTABLE,21
ALT_35D_30S_35R,Plausible alternative,HIGH,HIGH,17
ALT_35D_30S_35R,Plausible alternative,HIGH,MODERATE,1
ALT_35D_30S_35R,Plausible alternative,HIGH,UNSTABLE,0
ALT_35D_30S_35R,Plausible alternative,MODERATE,HIGH,0
ALT_35D_30S_35R,Plausible alternative,MODERATE,MODERATE,8
ALT_35D_30S_35R,Plausible alternative,MODERATE,UNSTABLE,0
ALT_35D_30S_35R,Plausible alternative,UNSTABLE,HIGH,0
ALT_35D_30S_35R,Plausible alternative,UNSTABLE,MODERATE,1
ALT_35D_30S_35R,Plausible alternative,UNSTABLE,UNSTABLE,20
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,HIGH,HIGH,18
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,HIGH,MODERATE,0
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,HIGH,UNSTABLE,0
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,MODERATE,HIGH,4
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,MODERATE,MODERATE,4
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,MODERATE,UNSTABLE,0
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,UNSTABLE,HIGH,0
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,UNSTABLE,MODERATE,0
DIRECTION_HEAVY_55D_25S_20R,Component-heavy adversarial,UNSTABLE,UNSTABLE,21
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,HIGH,HIGH,15
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,HIGH,MODERATE,3
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,HIGH,UNSTABLE,0
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,MODERATE,HIGH,0
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,MODERATE,MODERATE,7
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,MODERATE,UNSTABLE,1
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,UNSTABLE,HIGH,0
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,UNSTABLE,MODERATE,0
CONSISTENCY_HEAVY_25D_55S_20R,Component-heavy adversarial,UNSTABLE,UNSTABLE,21
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,HIGH,HIGH,15
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,HIGH,MODERATE,3
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,HIGH,UNSTABLE,0
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,MODERATE,HIGH,0
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,MODERATE,MODERATE,7
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,MODERATE,UNSTABLE,1
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,UNSTABLE,HIGH,0
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,UNSTABLE,MODERATE,7
REPRODUCIBILITY_HEAVY_25D_20S_55R,Component-heavy adversarial,UNSTABLE,UNSTABLE,14
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,HIGH,HIGH,18
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,HIGH,MODERATE,0
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,HIGH,UNSTABLE,0
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,MODERATE,HIGH,5
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,MODERATE,MODERATE,3
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,MODERATE,UNSTABLE,0
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,UNSTABLE,HIGH,0
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,UNSTABLE,MODERATE,0
LEAVE_OUT_R_RENORMALIZED,Leave-one-component-out,UNSTABLE,UNSTABLE,21
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,HIGH,HIGH,18
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,HIGH,MODERATE,0
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,HIGH,UNSTABLE,0
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,MODERATE,HIGH,7
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,MODERATE,MODERATE,1
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,MODERATE,UNSTABLE,0
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,UNSTABLE,HIGH,0
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,UNSTABLE,MODERATE,7
LEAVE_OUT_S_RENORMALIZED,Leave-one-component-out,UNSTABLE,UNSTABLE,14
LEAVE_OUT_D_RENORMALIZED,Leave-one-component-out,HIGH,HIGH,8
LEAVE_OUT_D_RENORMALIZED,Leave-one-component-out,HIGH,MODERATE,10
LEAVE_OUT_D_RENORMALIZED,Leave-one-component-out,HIGH,UNSTABLE,0
LEAVE_OUT_D_RENORMALIZED,Leave-one-component-out,MODERATE,HIGH,0
