gene_symbol,MCI,primary_tier,MOD_0.400__HIGH_0.650__tier,MOD_0.400__HIGH_0.675__tier,MOD_0.400__HIGH_0.700__tier,MOD_0.400__HIGH_0.725__tier,MOD_0.400__HIGH_0.750__tier,MOD_0.425__HIGH_0.650__tier,MOD_0.425__HIGH_0.675__tier,MOD_0.425__HIGH_0.700__tier,MOD_0.425__HIGH_0.725__tier,MOD_0.425__HIGH_0.750__tier,MOD_0.450__HIGH_0.650__tier,MOD_0.450__HIGH_0.675__tier,MOD_0.450__HIGH_0.700__tier,MOD_0.450__HIGH_0.725__tier,MOD_0.450__HIGH_0.750__tier,MOD_0.475__HIGH_0.650__tier,MOD_0.475__HIGH_0.675__tier,MOD_0.475__HIGH_0.700__tier,MOD_0.475__HIGH_0.725__tier,MOD_0.475__HIGH_0.750__tier,MOD_0.500__HIGH_0.650__tier,MOD_0.500__HIGH_0.675__tier,MOD_0.500__HIGH_0.700__tier,MOD_0.500__HIGH_0.725__tier,MOD_0.500__HIGH_0.750__tier,n_distinct_tiers_across_threshold_grid,n_threshold_scenarios_changing_primary_tier,percent_threshold_scenarios_changing_primary_tier,tier_stable_across_all_threshold_scenarios,always_HIGH_across_grid,always_MODERATE_across_grid,always_UNSTABLE_across_grid,distance_from_MODERATE_threshold_0_45,distance_from_HIGH_threshold_0_70,distance_from_nearest_primary_threshold,n_scenarios_HIGH,n_scenarios_MODERATE,n_scenarios_UNSTABLE
MT-TL1,0.7086829235607361,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,HIGH,HIGH,HIGH,MODERATE,MODERATE,HIGH,HIGH,HIGH,MODERATE,MODERATE,HIGH,HIGH,HIGH,MODERATE,MODERATE,HIGH,HIGH,HIGH,MODERATE,MODERATE,2,10,40.0,False,False,False,False,0.25868292356073613,0.008682923560736189,0.008682923560736189,15,10,0
LAMP2,0.6903439971857486,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,2,10,40.0,False,False,False,False,0.24034399718574856,0.009656002814251385,0.009656002814251385,10,15,0
PTPN11,0.4333303385227627,UNSTABLE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,2,10,40.0,False,False,False,False,0.016669661477237308,0.26666966147723725,0.016669661477237308,0,10,15
RAF1,0.6752302474844579,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,2,10,40.0,False,False,False,False,0.2252302474844579,0.02476975251554203,0.02476975251554203,10,15,0
FLNC,0.7283850847571424,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,2,5,20.0,False,False,False,False,0.27838508475714235,0.02838508475714241,0.02838508475714241,20,5,0
PLN,0.4130468243349183,UNSTABLE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,2,5,20.0,False,False,False,False,0.03695317566508172,0.28695317566508166,0.03695317566508172,0,5,20
LZTR1,0.4113290672251504,UNSTABLE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,2,5,20.0,False,False,False,False,0.03867093277484962,0.28867093277484956,0.03867093277484962,0,5,20
SSUH2,0.6571492956096299,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,2,5,20.0,False,False,False,False,0.20714929560962986,0.04285070439037009,0.04285070439037009,5,20,0
LMNA,0.3999888656354379,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.050011134364562115,0.30001113436456206,0.050011134364562115,0,0,25
MYL3,0.7526322412963301,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.3026322412963301,0.05263224129633015,0.05263224129633015,25,0,0
