scenario,moderate_threshold,high_threshold,is_primary_threshold_pair,n_genes,exact_tier_matches,n_tier_changes,percent_tier_changes,n_promoted_relative_to_primary,n_demoted_relative_to_primary,n_HIGH,n_MODERATE,n_UNSTABLE
MOD_0.400__HIGH_0.650,0.4,0.65,False,47,41,6,12.76595744680851,6,0,21,8,18
MOD_0.400__HIGH_0.675,0.4,0.675,False,47,42,5,10.638297872340425,5,0,20,9,18
MOD_0.400__HIGH_0.700,0.4,0.7,False,47,44,3,6.382978723404255,3,0,18,11,18
MOD_0.400__HIGH_0.725,0.4,0.725,False,47,43,4,8.51063829787234,3,1,17,12,18
MOD_0.400__HIGH_0.750,0.4,0.75,False,47,42,5,10.638297872340425,3,2,16,13,18
MOD_0.425__HIGH_0.650,0.425,0.65,False,47,43,4,8.51063829787234,4,0,21,6,20
MOD_0.425__HIGH_0.675,0.425,0.675,False,47,44,3,6.382978723404255,3,0,20,7,20
MOD_0.425__HIGH_0.700,0.425,0.7,False,47,46,1,2.127659574468085,1,0,18,9,20
MOD_0.425__HIGH_0.725,0.425,0.725,False,47,45,2,4.25531914893617,1,1,17,10,20
MOD_0.425__HIGH_0.750,0.425,0.75,False,47,44,3,6.382978723404255,1,2,16,11,20
MOD_0.450__HIGH_0.650,0.45,0.65,False,47,44,3,6.382978723404255,3,0,21,5,21
MOD_0.450__HIGH_0.675,0.45,0.675,False,47,45,2,4.25531914893617,2,0,20,6,21
MOD_0.450__HIGH_0.700,0.45,0.7,True,47,47,0,0.0,0,0,18,8,21
MOD_0.450__HIGH_0.725,0.45,0.725,False,47,46,1,2.127659574468085,0,1,17,9,21
MOD_0.450__HIGH_0.750,0.45,0.75,False,47,45,2,4.25531914893617,0,2,16,10,21
MOD_0.475__HIGH_0.650,0.475,0.65,False,47,44,3,6.382978723404255,3,0,21,5,21
MOD_0.475__HIGH_0.675,0.475,0.675,False,47,45,2,4.25531914893617,2,0,20,6,21
MOD_0.475__HIGH_0.700,0.475,0.7,False,47,47,0,0.0,0,0,18,8,21
MOD_0.475__HIGH_0.725,0.475,0.725,False,47,46,1,2.127659574468085,0,1,17,9,21
MOD_0.475__HIGH_0.750,0.475,0.75,False,47,45,2,4.25531914893617,0,2,16,10,21
MOD_0.500__HIGH_0.650,0.5,0.65,False,47,44,3,6.382978723404255,3,0,21,5,21
MOD_0.500__HIGH_0.675,0.5,0.675,False,47,45,2,4.25531914893617,2,0,20,6,21
MOD_0.500__HIGH_0.700,0.5,0.7,False,47,47,0,0.0,0,0,18,8,21
MOD_0.500__HIGH_0.725,0.5,0.725,False,47,46,1,2.127659574468085,0,1,17,9,21
MOD_0.500__HIGH_0.750,0.5,0.75,False,47,45,2,4.25531914893617,0,2,16,10,21
