scenario,moderate_threshold,high_threshold,primary_tier,scenario_tier,n_genes
MOD_0.400__HIGH_0.650,0.4,0.65,HIGH,HIGH,18
MOD_0.400__HIGH_0.650,0.4,0.65,HIGH,MODERATE,0
MOD_0.400__HIGH_0.650,0.4,0.65,HIGH,UNSTABLE,0
MOD_0.400__HIGH_0.650,0.4,0.65,MODERATE,HIGH,3
MOD_0.400__HIGH_0.650,0.4,0.65,MODERATE,MODERATE,5
MOD_0.400__HIGH_0.650,0.4,0.65,MODERATE,UNSTABLE,0
MOD_0.400__HIGH_0.650,0.4,0.65,UNSTABLE,HIGH,0
MOD_0.400__HIGH_0.650,0.4,0.65,UNSTABLE,MODERATE,3
MOD_0.400__HIGH_0.650,0.4,0.65,UNSTABLE,UNSTABLE,18
MOD_0.400__HIGH_0.675,0.4,0.675,HIGH,HIGH,18
MOD_0.400__HIGH_0.675,0.4,0.675,HIGH,MODERATE,0
MOD_0.400__HIGH_0.675,0.4,0.675,HIGH,UNSTABLE,0
MOD_0.400__HIGH_0.675,0.4,0.675,MODERATE,HIGH,2
MOD_0.400__HIGH_0.675,0.4,0.675,MODERATE,MODERATE,6
MOD_0.400__HIGH_0.675,0.4,0.675,MODERATE,UNSTABLE,0
MOD_0.400__HIGH_0.675,0.4,0.675,UNSTABLE,HIGH,0
MOD_0.400__HIGH_0.675,0.4,0.675,UNSTABLE,MODERATE,3
MOD_0.400__HIGH_0.675,0.4,0.675,UNSTABLE,UNSTABLE,18
MOD_0.400__HIGH_0.700,0.4,0.7,HIGH,HIGH,18
MOD_0.400__HIGH_0.700,0.4,0.7,HIGH,MODERATE,0
MOD_0.400__HIGH_0.700,0.4,0.7,HIGH,UNSTABLE,0
MOD_0.400__HIGH_0.700,0.4,0.7,MODERATE,HIGH,0
MOD_0.400__HIGH_0.700,0.4,0.7,MODERATE,MODERATE,8
MOD_0.400__HIGH_0.700,0.4,0.7,MODERATE,UNSTABLE,0
MOD_0.400__HIGH_0.700,0.4,0.7,UNSTABLE,HIGH,0
MOD_0.400__HIGH_0.700,0.4,0.7,UNSTABLE,MODERATE,3
MOD_0.400__HIGH_0.700,0.4,0.7,UNSTABLE,UNSTABLE,18
MOD_0.400__HIGH_0.725,0.4,0.725,HIGH,HIGH,17
MOD_0.400__HIGH_0.725,0.4,0.725,HIGH,MODERATE,1
MOD_0.400__HIGH_0.725,0.4,0.725,HIGH,UNSTABLE,0
MOD_0.400__HIGH_0.725,0.4,0.725,MODERATE,HIGH,0
MOD_0.400__HIGH_0.725,0.4,0.725,MODERATE,MODERATE,8
MOD_0.400__HIGH_0.725,0.4,0.725,MODERATE,UNSTABLE,0
MOD_0.400__HIGH_0.725,0.4,0.725,UNSTABLE,HIGH,0
MOD_0.400__HIGH_0.725,0.4,0.725,UNSTABLE,MODERATE,3
MOD_0.400__HIGH_0.725,0.4,0.725,UNSTABLE,UNSTABLE,18
MOD_0.400__HIGH_0.750,0.4,0.75,HIGH,HIGH,16
MOD_0.400__HIGH_0.750,0.4,0.75,HIGH,MODERATE,2
MOD_0.400__HIGH_0.750,0.4,0.75,HIGH,UNSTABLE,0
MOD_0.400__HIGH_0.750,0.4,0.75,MODERATE,HIGH,0
MOD_0.400__HIGH_0.750,0.4,0.75,MODERATE,MODERATE,8
MOD_0.400__HIGH_0.750,0.4,0.75,MODERATE,UNSTABLE,0
MOD_0.400__HIGH_0.750,0.4,0.75,UNSTABLE,HIGH,0
MOD_0.400__HIGH_0.750,0.4,0.75,UNSTABLE,MODERATE,3
MOD_0.400__HIGH_0.750,0.4,0.75,UNSTABLE,UNSTABLE,18
MOD_0.425__HIGH_0.650,0.425,0.65,HIGH,HIGH,18
MOD_0.425__HIGH_0.650,0.425,0.65,HIGH,MODERATE,0
MOD_0.425__HIGH_0.650,0.425,0.65,HIGH,UNSTABLE,0
MOD_0.425__HIGH_0.650,0.425,0.65,MODERATE,HIGH,3
MOD_0.425__HIGH_0.650,0.425,0.65,MODERATE,MODERATE,5
MOD_0.425__HIGH_0.650,0.425,0.65,MODERATE,UNSTABLE,0
MOD_0.425__HIGH_0.650,0.425,0.65,UNSTABLE,HIGH,0
MOD_0.425__HIGH_0.650,0.425,0.65,UNSTABLE,MODERATE,1
MOD_0.425__HIGH_0.650,0.425,0.65,UNSTABLE,UNSTABLE,20
MOD_0.425__HIGH_0.675,0.425,0.675,HIGH,HIGH,18
MOD_0.425__HIGH_0.675,0.425,0.675,HIGH,MODERATE,0
MOD_0.425__HIGH_0.675,0.425,0.675,HIGH,UNSTABLE,0
MOD_0.425__HIGH_0.675,0.425,0.675,MODERATE,HIGH,2
MOD_0.425__HIGH_0.675,0.425,0.675,MODERATE,MODERATE,6
MOD_0.425__HIGH_0.675,0.425,0.675,MODERATE,UNSTABLE,0
MOD_0.425__HIGH_0.675,0.425,0.675,UNSTABLE,HIGH,0
MOD_0.425__HIGH_0.675,0.425,0.675,UNSTABLE,MODERATE,1
MOD_0.425__HIGH_0.675,0.425,0.675,UNSTABLE,UNSTABLE,20
MOD_0.425__HIGH_0.700,0.425,0.7,HIGH,HIGH,18
MOD_0.425__HIGH_0.700,0.425,0.7,HIGH,MODERATE,0
MOD_0.425__HIGH_0.700,0.425,0.7,HIGH,UNSTABLE,0
MOD_0.425__HIGH_0.700,0.425,0.7,MODERATE,HIGH,0
MOD_0.425__HIGH_0.700,0.425,0.7,MODERATE,MODERATE,8
MOD_0.425__HIGH_0.700,0.425,0.7,MODERATE,UNSTABLE,0
MOD_0.425__HIGH_0.700,0.425,0.7,UNSTABLE,HIGH,0
MOD_0.425__HIGH_0.700,0.425,0.7,UNSTABLE,MODERATE,1
MOD_0.425__HIGH_0.700,0.425,0.7,UNSTABLE,UNSTABLE,20
MOD_0.425__HIGH_0.725,0.425,0.725,HIGH,HIGH,17
MOD_0.425__HIGH_0.725,0.425,0.725,HIGH,MODERATE,1
MOD_0.425__HIGH_0.725,0.425,0.725,HIGH,UNSTABLE,0
MOD_0.425__HIGH_0.725,0.425,0.725,MODERATE,HIGH,0
MOD_0.425__HIGH_0.725,0.425,0.725,MODERATE,MODERATE,8
MOD_0.425__HIGH_0.725,0.425,0.725,MODERATE,UNSTABLE,0
MOD_0.425__HIGH_0.725,0.425,0.725,UNSTABLE,HIGH,0
MOD_0.425__HIGH_0.725,0.425,0.725,UNSTABLE,MODERATE,1
MOD_0.425__HIGH_0.725,0.425,0.725,UNSTABLE,UNSTABLE,20
MOD_0.425__HIGH_0.750,0.425,0.75,HIGH,HIGH,16
MOD_0.425__HIGH_0.750,0.425,0.75,HIGH,MODERATE,2
MOD_0.425__HIGH_0.750,0.425,0.75,HIGH,UNSTABLE,0
MOD_0.425__HIGH_0.750,0.425,0.75,MODERATE,HIGH,0
MOD_0.425__HIGH_0.750,0.425,0.75,MODERATE,MODERATE,8
MOD_0.425__HIGH_0.750,0.425,0.75,MODERATE,UNSTABLE,0
MOD_0.425__HIGH_0.750,0.425,0.75,UNSTABLE,HIGH,0
