gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
MYH6,0.968060359673416,HIGH,1.0,GSE141910,GSE249925;GSE36961,2,1.0,0.8939350007588244,1.0,0.9628772502655885,HIGH,12.0,-0.005183109407827513,0.005183109407827513,11.0,11.0,True
TNNI3,0.9617210925247786,HIGH,2.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9338884308081513,1.0,0.976860950782853,HIGH,8.0,0.015139858258074401,0.015139858258074401,6.0,6.0,True
GLA,0.9600291718029872,HIGH,3.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9154911690717138,1.0,0.9704219091750999,HIGH,9.0,0.01039273737211266,0.01039273737211266,6.0,6.0,True
ACTN2,0.9347924185794564,HIGH,4.0,GSE141910,GSE249925;GSE36961,2,1.0,0.8617078073664085,1.0,0.951597732578243,HIGH,14.0,0.016805313998786597,0.016805313998786597,10.0,10.0,True
TMEM43,0.9294960052251762,HIGH,5.0,GSE141910,GSE249925;GSE36961,2,1.0,0.8987308943337559,1.0,0.9645558130168146,HIGH,11.0,0.03505980779163842,0.03505980779163842,6.0,6.0,True
TINF2,0.9040539606172328,HIGH,6.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9943312075320179,1.0,0.9980159226362062,HIGH,2.0,0.09396196201897344,0.09396196201897344,-4.0,4.0,True
KCNH2,0.8813520672732007,HIGH,7.0,GSE141910,GSE249925;GSE36961,2,1.0,0.5163684222852296,1.0,0.8307289477998303,HIGH,22.0,-0.05062311947337039,0.05062311947337039,15.0,15.0,True
BAG3,0.8281811808437982,HIGH,8.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9068349839549373,1.0,0.967392244384228,HIGH,10.0,0.13921106354042978,0.13921106354042978,2.0,2.0,True
TRIM63,0.8197933145443262,HIGH,9.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9468449616781329,0.5,0.8563957365873465,HIGH,20.0,0.03660242204302022,0.03660242204302022,11.0,11.0,True
RBM20,0.8035740008093487,HIGH,10.0,GSE141910,GSE249925;GSE36961,2,1.0,0.9935351460102991,1.0,0.9977373011036047,HIGH,3.0,0.194163300294256,0.194163300294256,-7.0,7.0,True
