gene_symbol,primary_MCI,primary_tier,n_leave_one_out_scenarios,n_valid_leave_one_out_scores,minimum_leave_one_out_MCI,maximum_leave_one_out_MCI,leave_one_out_MCI_range,mean_absolute_MCI_change,maximum_absolute_MCI_change,n_leave_one_out_tier_changes,tier_stable_across_all_valid_leave_one_out_scenarios,n_scenarios_becoming_insufficient
KIF5B,0.7695246707816087,HIGH,3,3,0.6376553197516595,0.9882816045287226,0.35062628477706315,0.16050335387662817,0.2187569337471139,2,False,0
FLNC,0.7283850847571424,HIGH,3,3,0.6458123484451493,0.8766531320496833,0.23084078360453397,0.09359646633881276,0.14826804729254095,2,False,0
RAF1,0.6752302474844579,MODERATE,3,3,0.6820202483545845,0.7428135930300086,0.06079334467542408,0.03319540466976486,0.06758334554555068,2,False,0
PKP2,0.3,UNSTABLE,3,3,0.125,0.9823716049473837,0.8573716049473837,0.3441238683157946,0.6823716049473838,1,False,0
NEXN,0.2166666666666666,UNSTABLE,3,3,0.0,0.8442682967061297,0.8442682967061297,0.31197832112426543,0.6276016300394631,1,False,0
MRPL44,0.3858025289641727,UNSTABLE,3,3,0.125,0.9997809286908408,0.8747809286908408,0.37852781921833784,0.6139783997266681,1,False,0
MYO6,0.1333333333333333,UNSTABLE,3,3,0.0,0.7087225882509807,0.7087225882509807,0.2806853071947713,0.5753892549176474,1,False,0
LMNA,0.3999888656354379,UNSTABLE,3,3,0.125,0.9558380822941226,0.8308380822941226,0.36860898264318687,0.5558492166586847,1,False,0
PTPN11,0.4333303385227627,UNSTABLE,3,3,0.125,0.9885110076436812,0.8635110076436812,0.3906137820554813,0.5551806691209185,1,False,0
TNNT2,0.2142705021088397,UNSTABLE,3,3,0.0,0.7489150900537624,0.7489150900537624,0.32106186405420073,0.5346445879449228,1,False,0
TCAP,0.2731064436543995,UNSTABLE,3,3,0.0,0.7977390479443979,0.7977390479443979,0.31528183053293246,0.5246326042899984,1,False,0
