held_out_cohort,primary_tier,leave_one_out_tier,n_genes
GSE141910,HIGH,HIGH,16
GSE141910,HIGH,MODERATE,1
GSE141910,HIGH,UNSTABLE,0
GSE141910,MODERATE,HIGH,1
GSE141910,MODERATE,MODERATE,5
GSE141910,MODERATE,UNSTABLE,0
GSE141910,UNSTABLE,HIGH,9
GSE141910,UNSTABLE,MODERATE,4
GSE141910,UNSTABLE,UNSTABLE,7
GSE249925,HIGH,HIGH,15
GSE249925,HIGH,MODERATE,2
GSE249925,HIGH,UNSTABLE,0
GSE249925,MODERATE,HIGH,2
GSE249925,MODERATE,MODERATE,4
GSE249925,MODERATE,UNSTABLE,0
GSE249925,UNSTABLE,HIGH,1
GSE249925,UNSTABLE,MODERATE,0
GSE249925,UNSTABLE,UNSTABLE,19
GSE36961,HIGH,HIGH,13
GSE36961,HIGH,MODERATE,5
GSE36961,HIGH,UNSTABLE,0
GSE36961,MODERATE,HIGH,2
GSE36961,MODERATE,MODERATE,6
GSE36961,MODERATE,UNSTABLE,0
GSE36961,UNSTABLE,HIGH,3
GSE36961,UNSTABLE,MODERATE,3
GSE36961,UNSTABLE,UNSTABLE,15
