gene_symbol,disease_group,stratum,n_hcm_cohorts_available,cohorts_available,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,equal_weight_composite,equal_weight_tier_same_thresholds,direction_vote_score,consensus_direction,fisher_combined_p,fisher_minus_log10_p,stouffer_signed_z,stouffer_combined_p,stouffer_minus_log10_p,random_effect_log2FC,random_effect_SE,random_effect_z,random_effect_p,random_effect_minus_log10_p,tau2,I2_percent,rank_original_MCI,rank_equal_weight,rank_direction_vote,rank_fisher,rank_stouffer,rank_random_effects,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,benchmark_n_cohorts,benchmark_cohorts,n_up_cohorts,n_down_cohorts,n_zero_cohorts,fisher_statistic,Q,heldout_matched,heldout_validated_strict,heldout_validated_directional,heldout_same_direction_as_primary,heldout_FDR_lt_0_05,heldout_nominal_p_lt_0_05,heldout_log2FC,heldout_FDR,heldout_p_value,catalog_hcm_gwas_match,gwas_matched,gwas_nominal_p_lt_0_05,gwas_FDR_lt_0_05,gwas_genomewide_p_lt_5e_8,gwas_p_value,minus_log10_gwas_p,gwas_top_decile_signal,top18__original_mci,top18__equal_weight_composite,top18__direction_vote,top18__fisher_combined_significance,top18__signed_stouffer_significance,top18__random_effects_meta_analysis
MYH6,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.9087438847811884,1.0,0.968060359673416,HIGH,0.9695812949270628,HIGH,1.0,DOWN,9.733185911191187e-85,84.01174498119327,-19.63465992585233,7.820259860489258e-86,85.10677881546937,-2.3895951151775314,0.2856465792845029,-8.365565312082746,5.982737879482302e-17,16.223100024399834,0.2125677502954709,88.33408870434707,1.0,1.0,13.5,1.0,1.0,2.0,ClinVar_PLP_review2plus,False,True,1,2.0,-2.4159978488662484,0.4409491561290792,1.0223913546866435e-35,3,3,GSE141910;GSE249925;GSE36961,0,3,0,406.782278805565,17.14396714764375,True,True,True,True,True,True,-6.395040268431153,0.0337379119570407,0.0016937426425773,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
TNNI3,HCM,HCM_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH,0.963543897642646,HIGH,1.0,UP,7.791245127843059e-11,10.10839313168044,6.6135395913170525,3.752375807923236e-11,10.42569367265596,0.3637128034893168,0.0501003937366614,7.259679542661284,3.8800845672174053e-13,12.411158808767745,0.0,0.0,2.0,2.0,13.5,14.0,11.0,3.0,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,0.4227715788721958,0.092475623718869,1.8888011868672745e-07,3,3,GSE141910;GSE249925;GSE36961,3,0,0,58.826233349973165,1.2865947324616596,True,False,False,False,False,False,-5.148034005283096,0.1166259440435557,0.0635924075147984,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
GLA,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH,0.9619325445742736,HIGH,1.0,DOWN,3.6395150716254844e-39,38.43895647781985,-13.053641878357997,6.058074704344137e-39,38.217665375525385,-0.5226714969233779,0.0589921793858115,-8.860013350330435,8.000485795347642e-19,18.09688364152889,0.006359080196173,61.06612016247362,3.0,3.0,13.5,2.0,2.0,1.0,ClinVar_PLP_review2plus,False,True,8,2.0,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,3,GSE141910;GSE249925;GSE36961,0,3,0,193.9711309960486,5.136914194902049,True,True,True,True,True,True,-1.7528743987797095,0.0261165996528698,0.0011812371291197,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
ACTN2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.8136926245127329,1.0,0.9347924185794564,HIGH,0.9378975415042442,HIGH,1.0,UP,1.51430050937204e-12,11.819787931565456,7.065060656712902,1.6054584985362214e-12,11.794400916562548,0.250278323915746,0.0557519509059813,4.489140197762927,7.15112230454457e-06,5.145625794223905,0.0057737579472397,62.01103732596343,4.0,4.0,13.5,10.0,10.0,5.0,ClinVar_PLP_review2plus,False,True,2,2.0,0.2450271837600965,0.0913007430587597,7.89448560835886e-09,3,3,GSE141910;GSE249925;GSE36961,3,0,0,67.22433022865937,5.264687054397758,True,False,False,False,False,False,-4.80302959503042,0.125991309577757,0.070857663233156,True,True,True,True,True,8e-09,8.096910013008056,True,True,True,True,True,True,True
TMEM43,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH,0.9328533383096916,HIGH,1.0,DOWN,1.432197576164713e-23,22.843997065604142,-9.988916392834051,1.7043462818982526e-23,22.768442162480746,-0.5566338809780104,0.1178764948996671,-4.722178763898605,2.333314515909721e-06,5.6320267171352025,0.0332642930798231,80.38238771565788,5.0,5.0,13.5,4.0,4.0,4.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.5615719330364249,0.2262460836142161,3.0588594203661688e-12,3,3,GSE141910;GSE249925;GSE36961,0,3,0,120.26697406924262,10.194920620366776,True,False,True,True,False,True,-3.3746925733632755,0.0837533006647612,0.0221819847057628,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
TINF2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.7258684589063796,1.0,0.9040539606172328,HIGH,0.90862281963546,HIGH,1.0,DOWN,5.584304238874436e-20,19.253030928911937,-9.010470241972136,2.0517482014129265e-19,18.6878759386123,-0.3294352960948,0.1128294510075931,-2.9197633521466813,0.0035029727968252,2.455563235287085,0.0349316400990957,91.61370958337272,6.0,6.0,13.5,7.0,5.0,11.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.332139698146006,0.182099934622269,3.645971157622413e-10,3,3,GSE141910;GSE249925;GSE36961,0,3,0,103.12596176318048,23.84844669861002,True,False,True,True,False,True,-2.7319348241863564,0.0837533006647612,0.0117419993939497,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
KCNH2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH,0.8870019688316196,HIGH,1.0,DOWN,3.255524452039201e-12,11.487379038346322,-7.167836771974254,7.619206710855312e-13,12.11809024375656,-0.4544604592868678,0.2185508688787428,-2.079426458556032,0.0375781707141452,1.4250643649510035,0.1322748627687021,93.46033661993113,7.0,7.0,13.5,12.0,8.0,15.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.4666401799070476,0.3163765295613309,4.693406821358356e-07,3,3,GSE141910;GSE249925;GSE36961,0,3,0,65.59854836314769,30.58261387115825,True,False,True,True,False,True,-3.31535555448011,0.0837533006647612,0.0187139115787526,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
BAG3,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH,0.8046169976290142,HIGH,1.0,DOWN,1.9795734726002943e-10,9.7034283746126,-6.407076846594368,1.4833606428426708e-10,9.828753248057811,-0.374682528337101,0.1027580240336759,-3.646260541311204,0.0002660841982754,3.574980915773861,0.0215359349387429,68.54635065060673,8.0,8.0,13.5,15.0,12.0,8.0,PreSpecified_H4_Stratum,True,False,0,,-0.3807610924254528,0.1925247442612132,2.492225589324881e-06,2,3,GSE141910;GSE249925;GSE36961,0,3,0,56.827826207797685,6.358562651295592,True,False,True,True,False,True,-3.1484805682022707,0.0856341302840435,0.034567945809615,True,True,True,True,True,3e-67,66.52287874528034,True,True,True,True,True,True,True
TRIM63,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH,0.7648825217882472,HIGH,1.0,DOWN,0.0011446029215524,2.941345149907204,-3.844045121243144,0.0001210227390744,3.9171330220245655,-0.2208588231586462,0.0561413452852858,-3.933978105375597,8.355139748852778e-05,4.078046281659514,0.0,0.0,9.0,12.0,13.5,29.0,23.0,7.0,ClinVar_PLP_review2plus,False,True,1,2.0,-0.2180856549541273,0.0168736220896674,0.0146968358731026,1,3,GSE141910;GSE249925;GSE36961,0,3,0,22.13482186998128,0.0641119809410498,True,False,True,True,False,False,-3.321388172246438,0.1135443592861151,0.0611015314311899,False,True,False,False,False,1.0,-0.0,False,True,True,True,False,False,True
RBM20,HCM,HCM_non_sarcomeric,3,GSE141910|GSE249925|GSE36961,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH,0.7811815880723957,HIGH,1.0,UP,7.296858967268369e-28,27.136864047652917,10.012631987701935,1.3413561424530525e-23,22.872455897639032,0.5993121918854583,0.2047595989505938,2.926906454969496,0.0034235183596108,2.465527338760212,0.1163532123544443,92.63969384690972,10.0,9.0,13.5,3.0,3.0,10.0,PreSpecified_H4_Stratum,True,False,0,,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,3,GSE141910;GSE249925;GSE36961,3,0,0,140.653049061358,27.17278274029789,True,False,False,False,False,False,-3.6714438207904094,0.1252602175878581,0.0703180516507954,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
CAV3,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH,0.7778185160688889,HIGH,1.0,UP,2.693951865679612e-18,17.569610168322196,7.700113478080977,1.359454487639442e-14,13.866635327317312,0.4042735584366628,0.0986512380825072,4.098007955040031,4.167209628789953e-05,4.380154652089682,0.0191272346477746,67.61864865340719,11.0,10.0,13.5,8.0,6.0,6.0,ClinVar_PLP_review2plus,False,True,2,2.0,0.3610469164639351,0.2406096937029641,3.2513003854312975e-13,2,3,GSE141910;GSE249925;GSE36961,3,0,0,95.05408454848366,6.176394488892885,True,False,False,False,False,False,-1.9419938211998915,0.1042196737003151,0.0535637024114971,False,True,False,False,False,1.0,-0.0,False,True,True,True,True,True,True
ALPK3,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH,0.7754975221972583,HIGH,1.0,UP,4.853842374693278e-06,5.313914331199888,4.760051162454934,1.9354389065612174e-06,5.713220532927872,0.2605860061332913,0.1269522067535076,2.0526307718246213,0.0401084007876932,1.396764653972635,0.040083886560761,84.36358937903152,12.0,11.0,13.5,23.0,18.0,16.0,ClinVar_PLP_review2plus,False,True,7,2.0,0.2724023418901936,0.1853284430215791,8.067123952508962e-05,2,3,GSE141910;GSE249925;GSE36961,3,0,0,34.733245752847445,12.79065924066994,True,False,False,False,False,False,-3.6562246414699286,0.1579989160818521,0.0949951184406675,True,True,True,True,True,1e-16,16.0,True,True,True,True,False,True,True
PMS2,HCM,,3,GSE141910|GSE249925|GSE36961,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,HIGH,0.7543626860100985,HIGH,1.0,UP,4.287607398964948e-07,6.367784988303421,4.94272988568469,7.70361840186193e-07,6.11330523809409,0.1365777355978423,0.0631293338442302,2.163459160441068,0.0305058815823497,1.5156164199154034,0.0077612253058093,66.83562851615936,13.0,13.0,13.5,20.0,16.0,13.0,ClinVar_PLP_review2plus,False,True,1,3.0,0.1370606832033087,0.1106295196518835,0.0001046892457475,2,3,GSE141910;GSE249925;GSE36961,3,0,0,40.13374796241504,6.030568078078916,True,False,False,False,False,True,-1.506813558593923,0.0859949314284396,0.0349677255080358,False,True,False,False,False,1.0,-0.0,False,True,True,True,False,True,True
