gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,bootstrap_tier_majority,tier_stability_note,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,mean_log2FC_rounded,sd_log2FC_rounded,min_FDR_rounded,D_g_direction_agreement_rounded,S_g_effect_size_consistency_rounded,R_g_statistical_reproducibility_rounded,MCI_rounded,MCI_CI95_lower_rounded,MCI_CI95_upper_rounded,MCI_CI95_width_rounded,bootstrap_prob_HIGH_rounded,bootstrap_prob_MODERATE_or_HIGH_rounded,bootstrap_prob_UNSTABLE_rounded,n_disease_cohorts,sigma_disease,mean_log2FC_across_HCM_cohorts,min_log2FC_across_HCM_cohorts,max_log2FC_across_HCM_cohorts,gtex_name,n_gtex_lv_samples,gtex_lv_mean_log2_tpm_plus1,sigma_GTEx,gtex_expression_scale,gtex_tissue,gtex_release,sigma_GTEx_safe,sigma_disease_to_GTEx_ratio,Adj_MCI,GTEx_low_confidence_flag,GTEx_adjustment_status,MCI_original_from_step5,n_cohorts_bootstrapped,n_bootstrap_iterations,MCI_bootstrap_point_estimate,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_prob_MODERATE_or_HIGH,bootstrap_majority_tier,MCI_original_minus_bootstrap_point,MCI_original_inside_bootstrap_CI,bootstrap_point_inside_bootstrap_CI,primary_tier_matches_bootstrap_majority
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-2.4159978488662484,0.4409491561290792,1.0223913546866435e-35,3,1.0,0.9087438847811884,1.0,0.968060359673416,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-2.416,0.4409,0.0,1.0,0.9087,1.0,0.9681,0.9618,1.0,0.0382,1.0,1.0,0.0,3,0.4409491561290792,-2.4159978488662484,-2.743184915210445,-1.9145469108563165,ENSG00000197616.11,432.0,7.989057813613346,2.6323670951169484,log2(TPM+1),Heart - Left Ventricle,GTEx v8,2.6323670951169484,0.167510510576979,1.1843594468897292,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.968060359673416,3,1000,0.968060359673416,0.9617837957178976,1.0,0.0382162042821023,0.9765992011063438,0.9680941232395492,0.0139083884482433,1.0,0.0,0.0,1.0,HIGH,1.1102230246251563e-16,True,True,True
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,3,GSE141910|GSE249925|GSE36961,0.4227715788721958,0.092475623718869,1.8888011868672745e-07,3,1.0,0.8906316929279386,1.0,0.9617210925247786,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.4228,0.0925,0.0,1.0,0.8906,1.0,0.9617,0.9537,1.0,0.0463,1.0,1.0,0.0,3,0.092475623718869,0.4227715788721958,0.3384252288340567,0.5216546375856148,ENSG00000129991.12,432.0,11.8020406866428,1.399283286140379,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.399283286140379,0.0660878498548661,1.050513268377105,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.9617210925247786,3,1000,0.9617210925247786,0.9536602195813106,1.0,0.0463397804186893,0.9724444345564044,0.9743084121975354,0.0140816239044149,1.0,0.0,0.0,1.0,HIGH,0.0,True,True,True
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,3,GSE141910|GSE249925|GSE36961,-0.5236576974168555,0.1196058963285282,3.5664993852147904e-20,3,1.0,0.8857976337228206,1.0,0.9600291718029872,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.5237,0.1196,0.0,1.0,0.8858,1.0,0.96,0.9509,1.0,0.0491,1.0,1.0,0.0,3,0.1196058963285282,-0.5236576974168555,-0.6492459624229141,-0.4111015190743852,ENSG00000102393.9,432.0,2.364379976698297,0.6775958072198032,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.6775958072198032,0.1765151068736315,1.185175064753784,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.9600291718029872,3,1000,0.9600291718029872,0.9509437988197816,1.0,0.0490562011802182,0.9711129268032612,0.9748475714213588,0.0142298132089487,1.0,0.0,0.0,1.0,HIGH,0.0,True,True,True
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2450271837600965,0.0913007430587597,7.89448560835886e-09,3,1.0,0.8136926245127329,1.0,0.9347924185794564,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,0.245,0.0913,0.0,1.0,0.8137,1.0,0.9348,0.9177,1.0,0.0823,1.0,1.0,0.0,3,0.0913007430587597,0.2450271837600965,0.1618142522048826,0.3426919379487149,ENSG00000077522.12,432.0,8.44747987332358,1.8361160700874373,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.8361160700874373,0.0497249300009731,1.0002384823478871,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.9347924185794564,3,1000,0.9347924185794564,0.917718816194344,1.0,0.0822811838056558,0.9519340136821808,0.9577236529209788,0.0227513784552202,1.0,0.0,0.0,1.0,HIGH,-1.1102230246251563e-16,True,True,True
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.5615719330364249,0.2262460836142161,3.0588594203661688e-12,3,1.0,0.7985600149290748,1.0,0.9294960052251762,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.5616,0.2262,0.0,1.0,0.7986,1.0,0.9295,0.9043,1.0,0.0957,1.0,1.0,0.0,3,0.2262460836142161,-0.5615719330364249,-0.7768090303163863,-0.3257268882396701,ENSG00000170876.7,432.0,4.712111237387202,0.9582135539646428,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.9582135539646428,0.2361123808759695,1.213745096319404,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.9294960052251762,3,1000,0.9294960052251762,0.9042704134486832,1.0,0.0957295865513168,0.9471680485590526,0.9369884392064928,0.028053623665991,1.0,0.0,0.0,1.0,HIGH,0.0,True,True,True
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.332139698146006,0.182099934622269,3.645971157622413e-10,3,1.0,0.7258684589063796,1.0,0.9040539606172328,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3321,0.1821,0.0,1.0,0.7259,1.0,0.9041,0.8588,1.0,0.1412,1.0,1.0,0.0,3,0.182099934622269,-0.332139698146006,-0.4407610905193525,-0.1219077685477436,ENSG00000092330.15,432.0,4.167165991340742,0.7162623622139433,log2(TPM+1),Heart - Left Ventricle,GTEx v8,0.7162623622139433,0.2542363583916431,1.199507154573321,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.9040539606172328,3,1000,0.9040539606172328,0.8588218279454006,1.0,0.1411781720545993,0.9269957180987914,0.9040539606172328,0.0549701336632943,1.0,0.0,0.0,1.0,HIGH,-1.1102230246251563e-16,True,True,True
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.4666401799070476,0.3163765295613309,4.693406821358356e-07,3,1.0,0.6610059064948592,1.0,0.8813520672732007,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.4666,0.3164,0.0,1.0,0.661,1.0,0.8814,0.8037,1.0,0.1963,1.0,1.0,0.0,3,0.3163765295613309,-0.4666401799070477,-0.710044935498903,-0.1090147168190623,ENSG00000055118.14,432.0,4.297455670653624,1.4776507918776602,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.4776507918776602,0.2141077792536552,1.1280394250871606,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.8813520672732007,3,1000,0.8813520672732007,0.8037036585699497,1.0,0.1962963414300502,0.9042808098783424,0.8813520672732007,0.0656275831951404,1.0,0.0,0.0,1.0,HIGH,0.0,True,True,True
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,-0.3807610924254528,0.1925247442612132,2.492225589324881e-06,2,1.0,0.7471843262203759,0.6666666666666666,0.8281811808437982,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.3808,0.1925,0.0,1.0,0.7472,0.6667,0.8282,0.7047,1.0,0.2953,1.0,1.0,0.0,3,0.1925247442612132,-0.3807610924254527,-0.5495780678896001,-0.1710872912614531,ENSG00000151929.9,432.0,6.113659264907202,1.4558911584160967,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.4558911584160967,0.132238418475366,0.9765728481841062,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.8281811808437982,3,1000,0.8281811808437982,0.7046833992655648,1.0,0.2953166007344352,0.8471164940574705,0.8281811808437982,0.0968823922892152,1.0,0.0,0.0,1.0,HIGH,0.0,True,True,True
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.2180856549541273,0.0168736220896674,0.0146968358731026,1,1.0,0.9613142320314082,0.3333333333333333,0.8197933145443262,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,False,False,-0.2181,0.0169,0.0147,1.0,0.9613,0.3333,0.8198,0.7448,1.0,0.2552,1.0,1.0,0.0,3,0.0168736220896674,-0.2180856549541273,-0.2365548866116291,-0.2034765871615884,ENSG00000158022.6,432.0,6.293670647254856,1.6249011549739083,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.6249011549739083,0.0103843990989952,0.8320117341291485,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.8197933145443262,3,1000,0.8197933145443262,0.7447549899346929,1.0,0.2552450100653071,0.8226550399667713,0.8197933145443262,0.0654503247984447,1.0,0.0,0.0,1.0,HIGH,0.0,True,True,True
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,3,GSE141910|GSE249925|GSE36961,0.5943737956123486,0.3841103832087607,1.0031201789497473e-14,2,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH,HIGH,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY,True,False,0.5944,0.3841,0.0,1.0,0.6769,0.6667,0.8036,0.6522,1.0,0.3478,0.771,1.0,0.0,3,0.3841103832087607,0.5943737956123486,0.150925016046866,0.8235595133730028,ENSG00000203867.7,432.0,4.374347567338185,1.4297909889891085,log2(TPM+1),Heart - Left Ventricle,GTEx v8,1.4297909889891085,0.2686479255826997,1.0794343248820968,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,0.8035740008093487,3,1000,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,0.8186375091151197,0.8035740008093487,0.1231601011365405,0.771,0.229,0.0,1.0,HIGH,0.0,True,True,True
