gene_index,chromosome,ensembl_gene_id,gene_symbol,gene_start,gene_end,length
chr1@ENSG00000223972@DDX11L1@11869@14409,chr1,ENSG00000223972,DDX11L1,11869,14409,1735
chr1@ENSG00000227232@WASH7P@14404@29570,chr1,ENSG00000227232,WASH7P,14404,29570,1351
chr1@ENSG00000278267@MIR6859-1@17369@17436,chr1,ENSG00000278267,MIR6859-1,17369,17436,68
chr1@ENSG00000243485@MIR1302-11@29554@31109,chr1,ENSG00000243485,MIR1302-11,29554,31109,1021
chr1@ENSG00000274890@MIR1302-9@30366@30503,chr1,ENSG00000274890,MIR1302-9,30366,30503,138
chr1@ENSG00000237613@FAM138A@34554@36081,chr1,ENSG00000237613,FAM138A,34554,36081,1219
chr1@ENSG00000268020@OR4G4P@52473@53312,chr1,ENSG00000268020,OR4G4P,52473,53312,840
chr1@ENSG00000240361@OR4G11P@62948@63887,chr1,ENSG00000240361,OR4G11P,62948,63887,940
chr1@ENSG00000186092@OR4F5@69091@70008,chr1,ENSG00000186092,OR4F5,69091,70008,918
chr1@ENSG00000238009@RP11-34P13.7@89295@133723,chr1,ENSG00000238009,RP11-34P13.7,89295,133723,3726
chr1@ENSG00000239945@RP11-34P13.8@89551@91105,chr1,ENSG00000239945,RP11-34P13.8,89551,91105,1319
chr1@ENSG00000233750@CICP27@131025@134836,chr1,ENSG00000233750,CICP27,131025,134836,3812
chr1@ENSG00000268903@RP11-34P13.15@135141@135895,chr1,ENSG00000268903,RP11-34P13.15,135141,135895,755
chr1@ENSG00000269981@RP11-34P13.16@137682@137965,chr1,ENSG00000269981,RP11-34P13.16,137682,137965,284
chr1@ENSG00000239906@RP11-34P13.14@139790@140339,chr1,ENSG00000239906,RP11-34P13.14,139790,140339,323
chr1@ENSG00000241860@RP11-34P13.13@141474@173862,chr1,ENSG00000241860,RP11-34P13.13,141474,173862,6195
chr1@ENSG00000222623@RNU6-1100P@157784@157887,chr1,ENSG00000222623,RNU6-1100P,157784,157887,104
chr1@ENSG00000241599@RP11-34P13.9@160446@161525,chr1,ENSG00000241599,RP11-34P13.9,160446,161525,457
chr1@ENSG00000279928@FO538757.3@182393@184158,chr1,ENSG00000279928,FO538757.3,182393,184158,718
chr1@ENSG00000279457@FO538757.2@184923@200322,chr1,ENSG00000279457,FO538757.2,184923,200322,1982
chr1@ENSG00000273874@MIR6859-2@187891@187958,chr1,ENSG00000273874,MIR6859-2,187891,187958,68
chr1@ENSG00000275135@FO538757.1@200880@201017,chr1,ENSG00000275135,FO538757.1,200880,201017,138
chr1@ENSG00000228463@AP006222.2@257864@297502,chr1,ENSG00000228463,AP006222.2,257864,297502,3954
chr1@ENSG00000241670@AP006222.1@258568@259024,chr1,ENSG00000241670,AP006222.1,258568,259024,457
chr1@ENSG00000236679@RP4-669L17.1@347982@348366,chr1,ENSG00000236679,RP4-669L17.1,347982,348366,385
chr1@ENSG00000236743@RP5-857K21.15@357383@359681,chr1,ENSG00000236743,RP5-857K21.15,357383,359681,676
chr1@ENSG00000236601@RP4-669L17.2@358857@365704,chr1,ENSG00000236601,RP4-669L17.2,358857,365704,635
chr1@ENSG00000237094@RP4-669L17.10@365389@501617,chr1,ENSG00000237094,RP4-669L17.10,365389,501617,4565
chr1@ENSG00000269732@WBP1LP7@439870@440232,chr1,ENSG00000269732,WBP1LP7,439870,440232,363
chr1@ENSG00000278566@OR4F29@450740@451678,chr1,ENSG00000278566,OR4F29,450740,451678,939
chr1@ENSG00000224813@RP4-669L17.4@485032@485211,chr1,ENSG00000224813,RP4-669L17.4,485032,485211,180
chr1@ENSG00000233653@CICP7@487101@489906,chr1,ENSG00000233653,CICP7,487101,489906,2477
chr1@ENSG00000250575@RP4-669L17.8@491225@493241,chr1,ENSG00000250575,RP4-669L17.8,491225,493241,1239
chr1@ENSG00000278757@U6@516376@516479,chr1,ENSG00000278757,U6,516376,516479,104
chr1@ENSG00000231709@RP5-857K21.1@585989@588453,chr1,ENSG00000231709,RP5-857K21.1,585989,588453,842
chr1@ENSG00000235146@RP5-857K21.2@587629@594768,chr1,ENSG00000235146,RP5-857K21.2,587629,594768,635
chr1@ENSG00000239664@RP5-857K21.3@594453@597498,chr1,ENSG00000239664,RP5-857K21.3,594453,597498,639
chr1@ENSG00000230021@RP5-857K21.4@601436@724707,chr1,ENSG00000230021,RP5-857K21.4,601436,724707,1854
chr1@ENSG00000223659@RP5-857K21.5@627377@629010,chr1,ENSG00000223659,RP5-857K21.5,627377,629010,802
chr1@ENSG00000225972@MTND1P23@629062@629433,chr1,ENSG00000225972,MTND1P23,629062,629433,372
chr1@ENSG00000225630@MTND2P28@629640@630683,chr1,ENSG00000225630,MTND2P28,629640,630683,1044
chr1@ENSG00000276171@AC114498.1@630896@630958,chr1,ENSG00000276171,AC114498.1,630896,630958,63
chr1@ENSG00000237973@MIR6723@631074@632616,chr1,ENSG00000237973,MIR6723,631074,632616,1543
